id,lon,lat,taxonomy,number,structural,nonstructural,contents,retrofitting,day,night,transit,LandUse,GenOcc,OccClass,GenType,BldgType,BldEpoch,SSC_Zone,EqDesLev,SauidID,sauid,dauid,adauid,fsauid,csduid,csdname,cduid,cdname,SAC,eruid,ername,pruid,prname
71529-RES3E-URMM-LC,-123.1229662,49.27609331,RES3E-URMM-LC,1,1447191,6592759,578876.4,447643.06,9.52,51.34,30.06,RES-HD,Residential-HD,RES3E,URMasonry,URMM,1973-1989,SSC-4,LC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71532-COM1-C3M-LC,-123.1229662,49.27609331,COM1-C3M-LC,1,624466.67,1018866.67,562020,414815.31,42.23,0.18,22.33,RES-HD,Commercial,COM1,Concrete,C3M,1973-1989,SSC-4,LC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71535-COM4-S5L-LC,-123.1229662,49.27609331,COM4-S5L-LC,1,1552338,2532762,1397104.2,913849.6,25.81,0,13.27,RES-HD,Commercial,COM4,Steel,S5L,1973-1989,SSC-4,LC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71541-COM1-URML-LC,-123.1229662,49.27609331,COM1-URML-LC,2,1248933.33,2037733.33,1124040,267390.44,84.46,0.36,44.67,RES-HD,Commercial,COM1,URMasonry,URML,1973-1989,SSC-4,LC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71543-COM4-URML-LC,-123.1229662,49.27609331,COM4-URML-LC,1,1552338,2532762,1397104.2,237977.49,25.81,0,13.27,RES-HD,Commercial,COM4,URMasonry,URML,1973-1989,SSC-4,LC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71544-IND2-URML-LC,-123.1229662,49.27609331,IND2-URML-LC,1,614520,1661480,829602,223742.88,16.16,0,7.12,RES-HD,Industrial,IND2,URMasonry,URML,1973-1989,SSC-4,LC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71608-RES3B-URML-LC,-123.1253102,49.27968811,RES3B-URML-LC,1,257337,1172313,102934.8,111045.68,1.34,7.22,4.23,RES-HD,Residential-MD,RES3B,URMasonry,URML,1973-1989,SSC-4,LC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71609-RES3C-URML-LC,-123.1253102,49.27968811,RES3C-URML-LC,1,291208.5,1326616.5,116483.4,137548.79,3.01,16.24,9.51,RES-HD,Residential-MD,RES3C,URMasonry,URML,1973-1989,SSC-4,LC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71615-COM4-URMM-LC,-123.1253102,49.27968811,COM4-URMM-LC,1,3635840,5932160,3272256,578821.66,125.76,0.9,64.66,RES-HD,Commercial,COM4,URMasonry,URMM,1973-1989,SSC-4,LC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71622-COM3-URML-LC,-123.1253102,49.27968811,COM3-URML-LC,1,221920,362080,199728,57410.3,5.32,0.08,3.12,RES-HD,Commercial,COM3,URMasonry,URML,1973-1989,SSC-4,LC,59007564,59007564,59150782,59150312,V6Z,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
