[2020-10-26 18:06:57 #1322 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_AB4810-20.ini [--hc=1309]
[2020-10-26 18:06:57 #1322 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:06:58 #1322 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:06:58 #1322 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:06:58 #1322 INFO] Reading the risk model if present
[2020-10-26 18:07:01 #1322 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_AB4810-20.xml
[2020-10-26 18:07:07 #1322 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:07:10 #1322 INFO] Associated 62681 assets to 1289 sites
[2020-10-26 18:07:13 #1322 INFO] Reducing risk model from 4224 to 468 taxonomies
[2020-10-26 18:07:13 #1322 INFO] Storing risk model
[2020-10-26 18:07:14 #1322 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:07:15 #1322 INFO] Built 1296 risk inputs
[2020-10-26 18:07:17 #1322 INFO] Sent 129 tasks, 17.5 MB in 0 seconds
[2020-10-26 18:07:23 #1322 INFO] classical_damage   1% [129 submitted, 0 queued]
[2020-10-26 18:07:24 #1322 INFO] classical_damage   2% [129 submitted, 0 queued]
[2020-10-26 18:07:24 #1322 INFO] classical_damage   3% [129 submitted, 0 queued]
[2020-10-26 18:07:25 #1322 INFO] classical_damage   4% [129 submitted, 0 queued]
[2020-10-26 18:07:25 #1322 INFO] classical_damage   5% [129 submitted, 0 queued]
[2020-10-26 18:07:25 #1322 INFO] classical_damage   6% [129 submitted, 0 queued]
[2020-10-26 18:07:25 #1322 INFO] classical_damage   7% [129 submitted, 0 queued]
[2020-10-26 18:07:26 #1322 INFO] classical_damage   8% [129 submitted, 0 queued]
[2020-10-26 18:07:26 #1322 INFO] classical_damage   9% [129 submitted, 0 queued]
[2020-10-26 18:07:26 #1322 INFO] classical_damage  10% [129 submitted, 0 queued]
[2020-10-26 18:07:26 #1322 INFO] classical_damage  11% [129 submitted, 0 queued]
[2020-10-26 18:07:26 #1322 INFO] classical_damage  12% [129 submitted, 0 queued]
[2020-10-26 18:07:27 #1322 INFO] classical_damage  13% [129 submitted, 0 queued]
[2020-10-26 18:07:27 #1322 INFO] classical_damage  14% [129 submitted, 0 queued]
[2020-10-26 18:07:27 #1322 INFO] classical_damage  15% [129 submitted, 0 queued]
[2020-10-26 18:07:27 #1322 INFO] classical_damage  16% [129 submitted, 0 queued]
[2020-10-26 18:07:27 #1322 INFO] classical_damage  17% [129 submitted, 0 queued]
[2020-10-26 18:07:27 #1322 INFO] classical_damage  18% [129 submitted, 0 queued]
[2020-10-26 18:07:28 #1322 INFO] classical_damage  19% [129 submitted, 0 queued]
[2020-10-26 18:07:28 #1322 INFO] classical_damage  20% [129 submitted, 0 queued]
[2020-10-26 18:07:28 #1322 INFO] classical_damage  21% [129 submitted, 0 queued]
[2020-10-26 18:07:29 #1322 INFO] classical_damage  22% [129 submitted, 0 queued]
