[2020-10-15 16:08:17 #1216 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_BC5910.ini [--hc=1214]
[2020-10-15 16:08:17 #1216 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-15 16:08:18 #1216 WARNING] Using 64 cores on gem-compute
[2020-10-15 16:08:18 #1216 INFO] Checksum of the input files: 1508585000
[2020-10-15 16:08:18 #1216 INFO] Reading the risk model if present
[2020-10-15 16:08:21 #1216 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_BC5910.xml
[2020-10-15 16:08:26 #1216 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-15 16:08:27 #1216 INFO] Associated 51295 assets to 292 sites
[2020-10-15 16:08:29 #1216 INFO] Reducing risk model from 4224 to 603 taxonomies
[2020-10-15 16:08:29 #1216 INFO] Storing risk model
[2020-10-15 16:08:31 #1216 INFO] Building risk inputs from 50 realization(s)
[2020-10-15 16:08:32 #1216 INFO] Built 313 risk inputs
[2020-10-15 16:08:34 #1216 INFO] Sent 87 tasks, 12.2 MB in 0 seconds
[2020-10-15 16:08:41 #1216 INFO] classical_damage   1% [87 submitted, 0 queued]
[2020-10-15 16:08:42 #1216 INFO] classical_damage   2% [87 submitted, 0 queued]
[2020-10-15 16:08:42 #1216 INFO] classical_damage   3% [87 submitted, 0 queued]
[2020-10-15 16:08:42 #1216 INFO] classical_damage   4% [87 submitted, 0 queued]
[2020-10-15 16:08:42 #1216 INFO] classical_damage   5% [87 submitted, 0 queued]
[2020-10-15 16:08:43 #1216 INFO] classical_damage   6% [87 submitted, 0 queued]
[2020-10-15 16:08:43 #1216 INFO] classical_damage   8% [87 submitted, 0 queued]
[2020-10-15 16:08:43 #1216 INFO] classical_damage   9% [87 submitted, 0 queued]
[2020-10-15 16:08:43 #1216 INFO] classical_damage  10% [87 submitted, 0 queued]
[2020-10-15 16:08:43 #1216 INFO] classical_damage  11% [87 submitted, 0 queued]
[2020-10-15 16:08:44 #1216 INFO] classical_damage  12% [87 submitted, 0 queued]
[2020-10-15 16:08:44 #1216 INFO] classical_damage  13% [87 submitted, 0 queued]
[2020-10-15 16:08:44 #1216 INFO] classical_damage  14% [87 submitted, 0 queued]
[2020-10-15 16:08:45 #1216 INFO] classical_damage  16% [87 submitted, 0 queued]
[2020-10-15 16:08:45 #1216 INFO] classical_damage  17% [87 submitted, 0 queued]
[2020-10-15 16:08:45 #1216 INFO] classical_damage  18% [87 submitted, 0 queued]
[2020-10-15 16:08:45 #1216 INFO] classical_damage  19% [87 submitted, 0 queued]
[2020-10-15 16:08:45 #1216 INFO] classical_damage  20% [87 submitted, 0 queued]
[2020-10-15 16:08:46 #1216 INFO] classical_damage  21% [87 submitted, 0 queued]
[2020-10-15 16:08:46 #1216 INFO] classical_damage  22% [87 submitted, 0 queued]
[2020-10-15 16:08:46 #1216 INFO] classical_damage  24% [87 submitted, 0 queued]
[2020-10-15 16:08:46 #1216 INFO] classical_damage  25% [87 submitted, 0 queued]
[2020-10-15 16:08:46 #1216 INFO] classical_damage  26% [87 submitted, 0 queued]
[2020-10-15 16:08:46 #1216 INFO] classical_damage  27% [87 submitted, 0 queued]
[2020-10-15 16:08:46 #1216 INFO] classical_damage  28% [87 submitted, 0 queued]
[2020-10-15 16:08:47 #1216 INFO] classical_damage  29% [87 submitted, 0 queued]
[2020-10-15 16:08:47 #1216 INFO] classical_damage  31% [87 submitted, 0 queued]
[2020-10-15 16:08:47 #1216 INFO] classical_damage  32% [87 submitted, 0 queued]
[2020-10-15 16:08:47 #1216 INFO] classical_damage  33% [87 submitted, 0 queued]
[2020-10-15 16:08:47 #1216 INFO] classical_damage  34% [87 submitted, 0 queued]
[2020-10-15 16:08:47 #1216 INFO] classical_damage  35% [87 submitted, 0 queued]
[2020-10-15 16:08:48 #1216 INFO] classical_damage  36% [87 submitted, 0 queued]
[2020-10-15 16:08:48 #1216 INFO] classical_damage  37% [87 submitted, 0 queued]
[2020-10-15 16:08:48 #1216 INFO] classical_damage  39% [87 submitted, 0 queued]
[2020-10-15 16:08:48 #1216 INFO] classical_damage  40% [87 submitted, 0 queued]
[2020-10-15 16:08:49 #1216 INFO] classical_damage  41% [87 submitted, 0 queued]
[2020-10-15 16:08:49 #1216 INFO] classical_damage  42% [87 submitted, 0 queued]
[2020-10-15 16:08:49 #1216 INFO] classical_damage  43% [87 submitted, 0 queued]
[2020-10-15 16:08:49 #1216 INFO] classical_damage  44% [87 submitted, 0 queued]
[2020-10-15 16:08:49 #1216 INFO] classical_damage  45% [87 submitted, 0 queued]
[2020-10-15 16:08:49 #1216 INFO] classical_damage  47% [87 submitted, 0 queued]
[2020-10-15 16:08:49 #1216 INFO] classical_damage  48% [87 submitted, 0 queued]
[2020-10-15 16:08:49 #1216 INFO] classical_damage  49% [87 submitted, 0 queued]
[2020-10-15 16:08:50 #1216 INFO] classical_damage  50% [87 submitted, 0 queued]
[2020-10-15 16:08:50 #1216 INFO] classical_damage  51% [87 submitted, 0 queued]
[2020-10-15 16:08:50 #1216 INFO] classical_damage  52% [87 submitted, 0 queued]
[2020-10-15 16:08:50 #1216 INFO] classical_damage  54% [87 submitted, 0 queued]
[2020-10-15 16:08:50 #1216 INFO] classical_damage  55% [87 submitted, 0 queued]
[2020-10-15 16:08:50 #1216 INFO] classical_damage  56% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  57% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  58% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  59% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  60% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  62% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  63% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  64% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  65% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  66% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  67% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  68% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  70% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  71% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  72% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  73% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  74% [87 submitted, 0 queued]
[2020-10-15 16:08:51 #1216 INFO] classical_damage  75% [87 submitted, 0 queued]
[2020-10-15 16:08:52 #1216 INFO] classical_damage  77% [87 submitted, 0 queued]
[2020-10-15 16:08:52 #1216 INFO] classical_damage  78% [87 submitted, 0 queued]
[2020-10-15 16:08:52 #1216 INFO] classical_damage  79% [87 submitted, 0 queued]
[2020-10-15 16:08:52 #1216 INFO] classical_damage  80% [87 submitted, 0 queued]
[2020-10-15 16:08:52 #1216 INFO] classical_damage  81% [87 submitted, 0 queued]
[2020-10-15 16:08:52 #1216 INFO] classical_damage  82% [87 submitted, 0 queued]
[2020-10-15 16:08:52 #1216 INFO] classical_damage  83% [87 submitted, 0 queued]
[2020-10-15 16:08:52 #1216 INFO] classical_damage  85% [87 submitted, 0 queued]
[2020-10-15 16:08:52 #1216 INFO] classical_damage  86% [87 submitted, 0 queued]
[2020-10-15 16:08:52 #1216 INFO] classical_damage  87% [87 submitted, 0 queued]
[2020-10-15 16:08:52 #1216 INFO] classical_damage  88% [87 submitted, 0 queued]
[2020-10-15 16:08:52 #1216 INFO] classical_damage  89% [87 submitted, 0 queued]
[2020-10-15 16:08:52 #1216 INFO] classical_damage  90% [87 submitted, 0 queued]
[2020-10-15 16:08:52 #1216 INFO] classical_damage  91% [87 submitted, 0 queued]
[2020-10-15 16:08:52 #1216 INFO] classical_damage  93% [87 submitted, 0 queued]
[2020-10-15 16:08:53 #1216 INFO] classical_damage  94% [87 submitted, 0 queued]
[2020-10-15 16:08:53 #1216 INFO] classical_damage  95% [87 submitted, 0 queued]
[2020-10-15 16:08:53 #1216 INFO] classical_damage  96% [87 submitted, 0 queued]
[2020-10-15 16:08:55 #1216 INFO] classical_damage  97% [87 submitted, 0 queued]
[2020-10-15 16:08:56 #1216 INFO] classical_damage  98% [87 submitted, 0 queued]
[2020-10-15 16:09:01 #1216 INFO] classical_damage 100% [87 submitted, 0 queued]
[2020-10-15 16:09:01 #1216 INFO] Received {'tot': '56.55 MB'} in 27 seconds
[2020-10-15 16:09:01 #1216 INFO] Exposing the outputs to the database
[2020-10-15 16:09:02 #1216 INFO] Stored 73.48 MB on /mnt/data/murray.journeay/oqdata/calc_1216.hdf5 in 43 seconds
  id | name
5844 | Asset Damage Distributions
5845 | Asset Damage Statistics
5846 | Full Report
5847 | Realizations
