[2020-10-19 23:55:13 #1305 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_b0_BC5940-80.ini [--hc=1214]
[2020-10-19 23:55:13 #1305 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-19 23:55:14 #1305 WARNING] Using 64 cores on gem-compute
[2020-10-19 23:55:14 #1305 INFO] Checksum of the input files: 1508585000
[2020-10-19 23:55:14 #1305 INFO] Reading the risk model if present
[2020-10-19 23:55:17 #1305 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_BC5940-80.xml
[2020-10-19 23:55:23 #1305 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-19 23:55:24 #1305 INFO] Associated 57493 assets to 1439 sites
[2020-10-19 23:55:27 #1305 INFO] Reducing risk model from 4224 to 620 taxonomies
[2020-10-19 23:55:27 #1305 INFO] Storing risk model
[2020-10-19 23:55:29 #1305 INFO] Building risk inputs from 50 realization(s)
[2020-10-19 23:55:29 #1305 INFO] Built 1445 risk inputs
[2020-10-19 23:55:31 #1305 INFO] Sent 131 tasks, 16.8 MB in 0 seconds
[2020-10-19 23:55:37 #1305 INFO] classical_damage   1% [131 submitted, 0 queued]
[2020-10-19 23:55:37 #1305 INFO] classical_damage   2% [131 submitted, 0 queued]
[2020-10-19 23:55:37 #1305 INFO] classical_damage   3% [131 submitted, 0 queued]
[2020-10-19 23:55:38 #1305 INFO] classical_damage   4% [131 submitted, 0 queued]
[2020-10-19 23:55:38 #1305 INFO] classical_damage   5% [131 submitted, 0 queued]
[2020-10-19 23:55:38 #1305 INFO] classical_damage   6% [131 submitted, 0 queued]
[2020-10-19 23:55:38 #1305 INFO] classical_damage   7% [131 submitted, 0 queued]
[2020-10-19 23:55:39 #1305 INFO] classical_damage   8% [131 submitted, 0 queued]
[2020-10-19 23:55:39 #1305 INFO] classical_damage   9% [131 submitted, 0 queued]
[2020-10-19 23:55:40 #1305 INFO] classical_damage  10% [131 submitted, 0 queued]
[2020-10-19 23:55:40 #1305 INFO] classical_damage  11% [131 submitted, 0 queued]
[2020-10-19 23:55:40 #1305 INFO] classical_damage  12% [131 submitted, 0 queued]
[2020-10-19 23:55:41 #1305 INFO] classical_damage  13% [131 submitted, 0 queued]
[2020-10-19 23:55:41 #1305 INFO] classical_damage  14% [131 submitted, 0 queued]
