[2020-09-08 04:06:57 #795 INFO] murray.journeay running /mnt/data/shared/git/canada-2020/canada-srm2/cDamage/input/cDamage_BC5920B_r2.ini [--hc=786]
[2020-09-08 04:06:57 #795 INFO] Using engine version 3.10.0-gite32822a
[2020-09-08 04:06:58 #795 WARNING] Using 64 cores on gem-compute
[2020-09-08 04:06:58 #795 INFO] Checksum of the input files: 2314554279
[2020-09-08 04:06:58 #795 INFO] Reading the risk model if present
[2020-09-08 04:07:01 #795 INFO] Reading /mnt/data/shared/git/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_BC5920B.xml
[2020-09-08 04:07:07 #795 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-09-08 04:07:07 #795 INFO] Associated 60289 assets to 174 sites
[2020-09-08 04:07:10 #795 INFO] Reducing risk model from 4224 to 655 taxonomies
[2020-09-08 04:07:10 #795 INFO] Storing exposed_values/agg
[2020-09-08 04:07:22 #795 INFO] Building risk inputs from 4096 realization(s)
[2020-09-08 04:07:23 #795 INFO] Built 209 risk inputs
[2020-09-08 04:07:37 #795 INFO] classical_damage 648.6 MB sent, 64 submitted, 19 queued
[2020-09-08 04:18:23 #795 INFO] classical_damage   1% [65 submitted, 18 queued]
[2020-09-08 04:18:28 #795 INFO] classical_damage   2% [66 submitted, 17 queued]
[2020-09-08 04:18:38 #795 INFO] classical_damage   3% [67 submitted, 16 queued]
[2020-09-08 04:19:36 #795 INFO] classical_damage   4% [68 submitted, 15 queued]
[2020-09-08 04:19:58 #795 INFO] classical_damage   6% [69 submitted, 14 queued]
[2020-09-08 04:21:22 #795 INFO] classical_damage   7% [70 submitted, 13 queued]
[2020-09-08 04:21:25 #795 INFO] classical_damage   8% [71 submitted, 12 queued]
[2020-09-08 04:21:48 #795 INFO] classical_damage   9% [72 submitted, 11 queued]
[2020-09-08 04:22:02 #795 INFO] classical_damage  10% [73 submitted, 10 queued]
[2020-09-08 04:22:02 #795 INFO] classical_damage  12% [74 submitted, 9 queued]
[2020-09-08 04:22:28 #795 INFO] classical_damage  13% [75 submitted, 8 queued]
[2020-09-08 04:22:30 #795 INFO] classical_damage  14% [76 submitted, 7 queued]
[2020-09-08 04:23:38 #795 INFO] classical_damage  15% [77 submitted, 6 queued]
[2020-09-08 04:23:57 #795 INFO] classical_damage  16% [78 submitted, 5 queued]
[2020-09-08 04:24:16 #795 INFO] classical_damage  18% [79 submitted, 4 queued]
[2020-09-08 04:25:46 #795 INFO] classical_damage  19% [80 submitted, 3 queued]
[2020-09-08 04:26:25 #795 INFO] classical_damage  20% [81 submitted, 2 queued]
[2020-09-08 04:27:59 #795 INFO] classical_damage  21% [82 submitted, 1 queued]
[2020-09-08 04:28:17 #795 INFO] classical_damage  22% [83 submitted, 0 queued]
[2020-09-08 04:28:42 #795 INFO] classical_damage  24% [83 submitted, 0 queued]
[2020-09-08 04:28:51 #795 INFO] classical_damage  25% [83 submitted, 0 queued]
[2020-09-08 04:29:07 #795 INFO] classical_damage  26% [83 submitted, 0 queued]
[2020-09-08 04:29:18 #795 INFO] classical_damage  27% [83 submitted, 0 queued]
[2020-09-08 04:29:33 #795 INFO] classical_damage  28% [83 submitted, 0 queued]
[2020-09-08 04:29:52 #795 INFO] classical_damage  30% [83 submitted, 0 queued]
[2020-09-08 04:30:02 #795 INFO] classical_damage  31% [83 submitted, 0 queued]
[2020-09-08 04:31:03 #795 INFO] classical_damage  32% [83 submitted, 0 queued]
