[2020-10-26 18:18:19 #1334 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_MB4650-80.ini [--hc=1310]
[2020-10-26 18:18:19 #1334 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:18:20 #1334 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:18:20 #1334 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:18:20 #1334 INFO] Reading the risk model if present
[2020-10-26 18:18:23 #1334 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_MB4650-80.xml
[2020-10-26 18:18:29 #1334 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:18:30 #1334 INFO] Associated 54061 assets to 852 sites
[2020-10-26 18:18:32 #1334 INFO] Reducing risk model from 4224 to 479 taxonomies
[2020-10-26 18:18:32 #1334 INFO] Storing risk model
[2020-10-26 18:18:34 #1334 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:18:34 #1334 INFO] Built 874 risk inputs
[2020-10-26 18:18:36 #1334 INFO] Sent 102 tasks, 14.39 MB in 0 seconds
[2020-10-26 18:18:41 #1334 INFO] classical_damage   1% [102 submitted, 0 queued]
[2020-10-26 18:18:42 #1334 INFO] classical_damage   2% [102 submitted, 0 queued]
[2020-10-26 18:18:42 #1334 INFO] classical_damage   3% [102 submitted, 0 queued]
[2020-10-26 18:18:42 #1334 INFO] classical_damage   4% [102 submitted, 0 queued]
[2020-10-26 18:18:42 #1334 INFO] classical_damage   5% [102 submitted, 0 queued]
[2020-10-26 18:18:42 #1334 INFO] classical_damage   6% [102 submitted, 0 queued]
[2020-10-26 18:18:42 #1334 INFO] classical_damage   7% [102 submitted, 0 queued]
[2020-10-26 18:18:43 #1334 INFO] classical_damage   8% [102 submitted, 0 queued]
[2020-10-26 18:18:43 #1334 INFO] classical_damage   9% [102 submitted, 0 queued]
[2020-10-26 18:18:43 #1334 INFO] classical_damage  10% [102 submitted, 0 queued]
[2020-10-26 18:18:43 #1334 INFO] classical_damage  11% [102 submitted, 0 queued]
[2020-10-26 18:18:44 #1334 INFO] classical_damage  12% [102 submitted, 0 queued]
[2020-10-26 18:18:44 #1334 INFO] classical_damage  13% [102 submitted, 0 queued]
[2020-10-26 18:18:44 #1334 INFO] classical_damage  14% [102 submitted, 0 queued]
[2020-10-26 18:18:44 #1334 INFO] classical_damage  15% [102 submitted, 0 queued]
[2020-10-26 18:18:44 #1334 INFO] classical_damage  16% [102 submitted, 0 queued]
[2020-10-26 18:18:45 #1334 INFO] classical_damage  17% [102 submitted, 0 queued]
[2020-10-26 18:18:45 #1334 INFO] classical_damage  18% [102 submitted, 0 queued]
[2020-10-26 18:18:45 #1334 INFO] classical_damage  19% [102 submitted, 0 queued]
[2020-10-26 18:18:45 #1334 INFO] classical_damage  20% [102 submitted, 0 queued]
[2020-10-26 18:18:45 #1334 INFO] classical_damage  21% [102 submitted, 0 queued]
[2020-10-26 18:18:46 #1334 INFO] classical_damage  22% [102 submitted, 0 queued]
[2020-10-26 18:18:46 #1334 INFO] classical_damage  23% [102 submitted, 0 queued]
[2020-10-26 18:18:46 #1334 INFO] classical_damage  24% [102 submitted, 0 queued]
[2020-10-26 18:18:46 #1334 INFO] classical_damage  25% [102 submitted, 0 queued]
[2020-10-26 18:18:47 #1334 INFO] classical_damage  26% [102 submitted, 0 queued]
[2020-10-26 18:18:47 #1334 INFO] classical_damage  27% [102 submitted, 0 queued]
[2020-10-26 18:18:47 #1334 INFO] classical_damage  28% [102 submitted, 0 queued]
[2020-10-26 18:18:47 #1334 INFO] classical_damage  29% [102 submitted, 0 queued]
[2020-10-26 18:18:48 #1334 INFO] classical_damage  30% [102 submitted, 0 queued]
[2020-10-26 18:18:48 #1334 INFO] classical_damage  31% [102 submitted, 0 queued]
[2020-10-26 18:18:48 #1334 INFO] classical_damage  32% [102 submitted, 0 queued]
[2020-10-26 18:18:48 #1334 INFO] classical_damage  33% [102 submitted, 0 queued]
[2020-10-26 18:18:48 #1334 INFO] classical_damage  34% [102 submitted, 0 queued]
[2020-10-26 18:18:48 #1334 INFO] classical_damage  35% [102 submitted, 0 queued]
[2020-10-26 18:18:48 #1334 INFO] classical_damage  36% [102 submitted, 0 queued]
[2020-10-26 18:18:49 #1334 INFO] classical_damage  37% [102 submitted, 0 queued]
[2020-10-26 18:18:49 #1334 INFO] classical_damage  38% [102 submitted, 0 queued]
[2020-10-26 18:18:49 #1334 INFO] classical_damage  39% [102 submitted, 0 queued]
[2020-10-26 18:18:49 #1334 INFO] classical_damage  40% [102 submitted, 0 queued]
[2020-10-26 18:18:49 #1334 INFO] classical_damage  41% [102 submitted, 0 queued]
[2020-10-26 18:18:49 #1334 INFO] classical_damage  42% [102 submitted, 0 queued]
[2020-10-26 18:18:49 #1334 INFO] classical_damage  43% [102 submitted, 0 queued]
[2020-10-26 18:18:49 #1334 INFO] classical_damage  44% [102 submitted, 0 queued]
[2020-10-26 18:18:49 #1334 INFO] classical_damage  45% [102 submitted, 0 queued]
[2020-10-26 18:18:49 #1334 INFO] classical_damage  46% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  47% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  48% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  49% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  50% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  51% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  52% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  53% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  54% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  55% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  56% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  57% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  58% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  59% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  60% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  61% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  62% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  63% [102 submitted, 0 queued]
[2020-10-26 18:18:50 #1334 INFO] classical_damage  64% [102 submitted, 0 queued]
[2020-10-26 18:18:51 #1334 INFO] classical_damage  65% [102 submitted, 0 queued]
[2020-10-26 18:18:51 #1334 INFO] classical_damage  66% [102 submitted, 0 queued]
[2020-10-26 18:18:51 #1334 INFO] classical_damage  67% [102 submitted, 0 queued]
