[2020-10-26 18:22:18 #1338 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_NL.ini [--hc=1312]
[2020-10-26 18:22:18 #1338 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:22:18 #1338 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:22:18 #1338 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:22:18 #1338 INFO] Reading the risk model if present
[2020-10-26 18:22:22 #1338 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_NL.xml
[2020-10-26 18:22:25 #1338 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:22:26 #1338 INFO] Associated 36816 assets to 724 sites
[2020-10-26 18:22:28 #1338 INFO] Reducing risk model from 4224 to 399 taxonomies
[2020-10-26 18:22:28 #1338 INFO] Storing risk model
[2020-10-26 18:22:29 #1338 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:22:29 #1338 INFO] Built 731 risk inputs
[2020-10-26 18:22:31 #1338 INFO] Sent 113 tasks, 10.31 MB in 0 seconds
[2020-10-26 18:22:36 #1338 INFO] classical_damage   1% [113 submitted, 0 queued]
[2020-10-26 18:22:36 #1338 INFO] classical_damage   2% [113 submitted, 0 queued]
[2020-10-26 18:22:36 #1338 INFO] classical_damage   3% [113 submitted, 0 queued]
[2020-10-26 18:22:36 #1338 INFO] classical_damage   4% [113 submitted, 0 queued]
[2020-10-26 18:22:37 #1338 INFO] classical_damage   5% [113 submitted, 0 queued]
[2020-10-26 18:22:37 #1338 INFO] classical_damage   6% [113 submitted, 0 queued]
[2020-10-26 18:22:37 #1338 INFO] classical_damage   7% [113 submitted, 0 queued]
[2020-10-26 18:22:37 #1338 INFO] classical_damage   8% [113 submitted, 0 queued]
[2020-10-26 18:22:37 #1338 INFO] classical_damage   9% [113 submitted, 0 queued]
[2020-10-26 18:22:38 #1338 INFO] classical_damage  10% [113 submitted, 0 queued]
[2020-10-26 18:22:38 #1338 INFO] classical_damage  11% [113 submitted, 0 queued]
[2020-10-26 18:22:38 #1338 INFO] classical_damage  12% [113 submitted, 0 queued]
[2020-10-26 18:22:38 #1338 INFO] classical_damage  13% [113 submitted, 0 queued]
[2020-10-26 18:22:38 #1338 INFO] classical_damage  14% [113 submitted, 0 queued]
[2020-10-26 18:22:38 #1338 INFO] classical_damage  15% [113 submitted, 0 queued]
[2020-10-26 18:22:38 #1338 INFO] classical_damage  16% [113 submitted, 0 queued]
[2020-10-26 18:22:38 #1338 INFO] classical_damage  17% [113 submitted, 0 queued]
[2020-10-26 18:22:38 #1338 INFO] classical_damage  18% [113 submitted, 0 queued]
[2020-10-26 18:22:39 #1338 INFO] classical_damage  19% [113 submitted, 0 queued]
[2020-10-26 18:22:39 #1338 INFO] classical_damage  20% [113 submitted, 0 queued]
[2020-10-26 18:22:39 #1338 INFO] classical_damage  21% [113 submitted, 0 queued]
[2020-10-26 18:22:39 #1338 INFO] classical_damage  22% [113 submitted, 0 queued]
[2020-10-26 18:22:39 #1338 INFO] classical_damage  23% [113 submitted, 0 queued]
[2020-10-26 18:22:40 #1338 INFO] classical_damage  24% [113 submitted, 0 queued]
[2020-10-26 18:22:40 #1338 INFO] classical_damage  25% [113 submitted, 0 queued]
[2020-10-26 18:22:40 #1338 INFO] classical_damage  26% [113 submitted, 0 queued]
[2020-10-26 18:22:41 #1338 INFO] classical_damage  27% [113 submitted, 0 queued]
[2020-10-26 18:22:41 #1338 INFO] classical_damage  28% [113 submitted, 0 queued]
[2020-10-26 18:22:41 #1338 INFO] classical_damage  29% [113 submitted, 0 queued]
[2020-10-26 18:22:41 #1338 INFO] classical_damage  30% [113 submitted, 0 queued]
[2020-10-26 18:22:41 #1338 INFO] classical_damage  31% [113 submitted, 0 queued]
[2020-10-26 18:22:41 #1338 INFO] classical_damage  32% [113 submitted, 0 queued]
[2020-10-26 18:22:41 #1338 INFO] classical_damage  33% [113 submitted, 0 queued]
[2020-10-26 18:22:41 #1338 INFO] classical_damage  34% [113 submitted, 0 queued]
