[2020-10-26 18:24:14 #1340 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_NS.ini [--hc=1313]
[2020-10-26 18:24:14 #1340 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:24:15 #1340 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:24:15 #1340 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:24:15 #1340 INFO] Reading the risk model if present
[2020-10-26 18:24:19 #1340 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_NS.xml
[2020-10-26 18:24:26 #1340 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:24:27 #1340 INFO] Associated 80521 assets to 651 sites
[2020-10-26 18:24:31 #1340 INFO] Reducing risk model from 4224 to 506 taxonomies
[2020-10-26 18:24:31 #1340 INFO] Storing risk model
[2020-10-26 18:24:33 #1340 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:24:33 #1340 INFO] Built 667 risk inputs
[2020-10-26 18:24:35 #1340 INFO] Sent 135 tasks, 19.63 MB in 0 seconds
[2020-10-26 18:24:41 #1340 INFO] classical_damage   1% [135 submitted, 0 queued]
[2020-10-26 18:24:42 #1340 INFO] classical_damage   2% [135 submitted, 0 queued]
[2020-10-26 18:24:42 #1340 INFO] classical_damage   3% [135 submitted, 0 queued]
[2020-10-26 18:24:43 #1340 INFO] classical_damage   4% [135 submitted, 0 queued]
[2020-10-26 18:24:43 #1340 INFO] classical_damage   5% [135 submitted, 0 queued]
[2020-10-26 18:24:43 #1340 INFO] classical_damage   6% [135 submitted, 0 queued]
[2020-10-26 18:24:43 #1340 INFO] classical_damage   7% [135 submitted, 0 queued]
[2020-10-26 18:24:44 #1340 INFO] classical_damage   8% [135 submitted, 0 queued]
[2020-10-26 18:24:44 #1340 INFO] classical_damage   9% [135 submitted, 0 queued]
[2020-10-26 18:24:44 #1340 INFO] classical_damage  10% [135 submitted, 0 queued]
[2020-10-26 18:24:44 #1340 INFO] classical_damage  11% [135 submitted, 0 queued]
[2020-10-26 18:24:44 #1340 INFO] classical_damage  12% [135 submitted, 0 queued]
[2020-10-26 18:24:44 #1340 INFO] classical_damage  13% [135 submitted, 0 queued]
[2020-10-26 18:24:45 #1340 INFO] classical_damage  14% [135 submitted, 0 queued]
[2020-10-26 18:24:45 #1340 INFO] classical_damage  15% [135 submitted, 0 queued]
[2020-10-26 18:24:45 #1340 INFO] classical_damage  16% [135 submitted, 0 queued]
[2020-10-26 18:24:45 #1340 INFO] classical_damage  17% [135 submitted, 0 queued]
[2020-10-26 18:24:45 #1340 INFO] classical_damage  18% [135 submitted, 0 queued]
[2020-10-26 18:24:46 #1340 INFO] classical_damage  19% [135 submitted, 0 queued]
[2020-10-26 18:24:46 #1340 INFO] classical_damage  20% [135 submitted, 0 queued]
[2020-10-26 18:24:46 #1340 INFO] classical_damage  21% [135 submitted, 0 queued]
[2020-10-26 18:24:46 #1340 INFO] classical_damage  22% [135 submitted, 0 queued]
[2020-10-26 18:24:46 #1340 INFO] classical_damage  23% [135 submitted, 0 queued]
[2020-10-26 18:24:46 #1340 INFO] classical_damage  24% [135 submitted, 0 queued]
[2020-10-26 18:24:47 #1340 INFO] classical_damage  25% [135 submitted, 0 queued]
[2020-10-26 18:24:47 #1340 INFO] classical_damage  26% [135 submitted, 0 queued]
[2020-10-26 18:24:47 #1340 INFO] classical_damage  27% [135 submitted, 0 queued]
[2020-10-26 18:24:47 #1340 INFO] classical_damage  28% [135 submitted, 0 queued]
[2020-10-26 18:24:48 #1340 INFO] classical_damage  29% [135 submitted, 0 queued]
[2020-10-26 18:24:48 #1340 INFO] classical_damage  30% [135 submitted, 0 queued]
[2020-10-26 18:24:48 #1340 INFO] classical_damage  31% [135 submitted, 0 queued]
[2020-10-26 18:24:48 #1340 INFO] classical_damage  32% [135 submitted, 0 queued]
[2020-10-26 18:24:48 #1340 INFO] classical_damage  33% [135 submitted, 0 queued]
[2020-10-26 18:24:49 #1340 INFO] classical_damage  34% [135 submitted, 0 queued]
[2020-10-26 18:24:49 #1340 INFO] classical_damage  35% [135 submitted, 0 queued]
[2020-10-26 18:24:49 #1340 INFO] classical_damage  36% [135 submitted, 0 queued]
[2020-10-26 18:24:50 #1340 INFO] classical_damage  37% [135 submitted, 0 queued]
[2020-10-26 18:24:50 #1340 INFO] classical_damage  38% [135 submitted, 0 queued]
[2020-10-26 18:24:50 #1340 INFO] classical_damage  39% [135 submitted, 0 queued]
[2020-10-26 18:24:50 #1340 INFO] classical_damage  40% [135 submitted, 0 queued]
[2020-10-26 18:24:51 #1340 INFO] classical_damage  41% [135 submitted, 0 queued]
[2020-10-26 18:24:52 #1340 INFO] classical_damage  42% [135 submitted, 0 queued]
[2020-10-26 18:24:52 #1340 INFO] classical_damage  43% [135 submitted, 0 queued]
[2020-10-26 18:24:52 #1340 INFO] classical_damage  44% [135 submitted, 0 queued]
[2020-10-26 18:24:52 #1340 INFO] classical_damage  45% [135 submitted, 0 queued]
[2020-10-26 18:24:52 #1340 INFO] classical_damage  46% [135 submitted, 0 queued]
[2020-10-26 18:24:52 #1340 INFO] classical_damage  47% [135 submitted, 0 queued]
[2020-10-26 18:24:52 #1340 INFO] classical_damage  48% [135 submitted, 0 queued]
[2020-10-26 18:24:52 #1340 INFO] classical_damage  49% [135 submitted, 0 queued]
[2020-10-26 18:24:53 #1340 INFO] classical_damage  50% [135 submitted, 0 queued]
[2020-10-26 18:24:53 #1340 INFO] classical_damage  51% [135 submitted, 0 queued]
[2020-10-26 18:24:53 #1340 INFO] classical_damage  52% [135 submitted, 0 queued]
[2020-10-26 18:24:53 #1340 INFO] classical_damage  53% [135 submitted, 0 queued]
[2020-10-26 18:24:53 #1340 INFO] classical_damage  54% [135 submitted, 0 queued]
[2020-10-26 18:24:53 #1340 INFO] classical_damage  55% [135 submitted, 0 queued]
[2020-10-26 18:24:53 #1340 INFO] classical_damage  56% [135 submitted, 0 queued]
[2020-10-26 18:24:53 #1340 INFO] classical_damage  57% [135 submitted, 0 queued]
[2020-10-26 18:24:53 #1340 INFO] classical_damage  58% [135 submitted, 0 queued]
[2020-10-26 18:24:53 #1340 INFO] classical_damage  59% [135 submitted, 0 queued]
[2020-10-26 18:24:54 #1340 INFO] classical_damage  60% [135 submitted, 0 queued]
[2020-10-26 18:24:54 #1340 INFO] classical_damage  61% [135 submitted, 0 queued]
[2020-10-26 18:24:54 #1340 INFO] classical_damage  62% [135 submitted, 0 queued]
[2020-10-26 18:24:54 #1340 INFO] classical_damage  63% [135 submitted, 0 queued]
[2020-10-26 18:24:54 #1340 INFO] classical_damage  64% [135 submitted, 0 queued]
[2020-10-26 18:24:54 #1340 INFO] classical_damage  65% [135 submitted, 0 queued]
[2020-10-26 18:24:54 #1340 INFO] classical_damage  66% [135 submitted, 0 queued]
[2020-10-26 18:24:54 #1340 INFO] classical_damage  67% [135 submitted, 0 queued]
[2020-10-26 18:24:54 #1340 INFO] classical_damage  68% [135 submitted, 0 queued]
[2020-10-26 18:24:55 #1340 INFO] classical_damage  69% [135 submitted, 0 queued]
[2020-10-26 18:24:55 #1340 INFO] classical_damage  70% [135 submitted, 0 queued]
[2020-10-26 18:24:55 #1340 INFO] classical_damage  71% [135 submitted, 0 queued]
[2020-10-26 18:24:55 #1340 INFO] classical_damage  72% [135 submitted, 0 queued]
[2020-10-26 18:24:55 #1340 INFO] classical_damage  73% [135 submitted, 0 queued]
[2020-10-26 18:24:55 #1340 INFO] classical_damage  74% [135 submitted, 0 queued]
[2020-10-26 18:24:55 #1340 INFO] classical_damage  75% [135 submitted, 0 queued]
[2020-10-26 18:24:55 #1340 INFO] classical_damage  76% [135 submitted, 0 queued]
[2020-10-26 18:24:56 #1340 INFO] classical_damage  77% [135 submitted, 0 queued]
[2020-10-26 18:24:56 #1340 INFO] classical_damage  78% [135 submitted, 0 queued]
[2020-10-26 18:24:56 #1340 INFO] classical_damage  79% [135 submitted, 0 queued]
[2020-10-26 18:24:56 #1340 INFO] classical_damage  80% [135 submitted, 0 queued]
[2020-10-26 18:24:56 #1340 INFO] classical_damage  81% [135 submitted, 0 queued]
[2020-10-26 18:24:56 #1340 INFO] classical_damage  82% [135 submitted, 0 queued]
[2020-10-26 18:24:56 #1340 INFO] classical_damage  83% [135 submitted, 0 queued]
[2020-10-26 18:24:56 #1340 INFO] classical_damage  84% [135 submitted, 0 queued]
[2020-10-26 18:24:56 #1340 INFO] classical_damage  85% [135 submitted, 0 queued]
[2020-10-26 18:24:57 #1340 INFO] classical_damage  86% [135 submitted, 0 queued]
[2020-10-26 18:24:57 #1340 INFO] classical_damage  87% [135 submitted, 0 queued]
[2020-10-26 18:24:57 #1340 INFO] classical_damage  88% [135 submitted, 0 queued]
[2020-10-26 18:24:57 #1340 INFO] classical_damage  89% [135 submitted, 0 queued]
[2020-10-26 18:24:57 #1340 INFO] classical_damage  90% [135 submitted, 0 queued]
[2020-10-26 18:24:57 #1340 INFO] classical_damage  91% [135 submitted, 0 queued]
[2020-10-26 18:24:57 #1340 INFO] classical_damage  92% [135 submitted, 0 queued]
[2020-10-26 18:24:57 #1340 INFO] classical_damage  93% [135 submitted, 0 queued]
[2020-10-26 18:24:57 #1340 INFO] classical_damage  94% [135 submitted, 0 queued]
[2020-10-26 18:24:58 #1340 INFO] classical_damage  95% [135 submitted, 0 queued]
[2020-10-26 18:24:58 #1340 INFO] classical_damage  96% [135 submitted, 0 queued]
[2020-10-26 18:24:58 #1340 INFO] classical_damage  97% [135 submitted, 0 queued]
[2020-10-26 18:24:58 #1340 INFO] classical_damage  98% [135 submitted, 0 queued]
[2020-10-26 18:24:59 #1340 INFO] classical_damage  99% [135 submitted, 0 queued]
[2020-10-26 18:25:03 #1340 INFO] classical_damage 100% [135 submitted, 0 queued]
[2020-10-26 18:25:03 #1340 INFO] Received {'tot': '88.77 MB'} in 28 seconds
[2020-10-26 18:25:04 #1340 INFO] Exposing the outputs to the database
[2020-10-26 18:25:04 #1340 INFO] Stored 113.29 MB on /mnt/data/murray.journeay/oqdata/calc_1340.hdf5 in 49 seconds
  id | name
7181 | Asset Damage Distributions
7182 | Asset Damage Statistics
7183 | Full Report
7184 | Realizations
