[2020-10-26 18:27:55 #1346 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_ON3510.ini [--hc=1316]
[2020-10-26 18:27:55 #1346 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:27:56 #1346 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:27:56 #1346 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:27:56 #1346 INFO] Reading the risk model if present
[2020-10-26 18:28:00 #1346 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_ON3510.xml
[2020-10-26 18:28:07 #1346 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:28:08 #1346 INFO] Associated 82223 assets to 184 sites
[2020-10-26 18:28:12 #1346 INFO] Reducing risk model from 4224 to 525 taxonomies
[2020-10-26 18:28:12 #1346 INFO] Storing risk model
[2020-10-26 18:28:14 #1346 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:28:15 #1346 INFO] Built 217 risk inputs
[2020-10-26 18:28:17 #1346 INFO] Sent 128 tasks, 18.73 MB in 0 seconds
[2020-10-26 18:28:24 #1346 INFO] classical_damage   1% [128 submitted, 0 queued]
[2020-10-26 18:28:25 #1346 INFO] classical_damage   2% [128 submitted, 0 queued]
[2020-10-26 18:28:25 #1346 INFO] classical_damage   3% [128 submitted, 0 queued]
[2020-10-26 18:28:26 #1346 INFO] classical_damage   4% [128 submitted, 0 queued]
[2020-10-26 18:28:26 #1346 INFO] classical_damage   5% [128 submitted, 0 queued]
[2020-10-26 18:28:26 #1346 INFO] classical_damage   6% [128 submitted, 0 queued]
[2020-10-26 18:28:26 #1346 INFO] classical_damage   7% [128 submitted, 0 queued]
[2020-10-26 18:28:27 #1346 INFO] classical_damage   8% [128 submitted, 0 queued]
[2020-10-26 18:28:27 #1346 INFO] classical_damage   9% [128 submitted, 0 queued]
[2020-10-26 18:28:27 #1346 INFO] classical_damage  10% [128 submitted, 0 queued]
[2020-10-26 18:28:27 #1346 INFO] classical_damage  11% [128 submitted, 0 queued]
[2020-10-26 18:28:27 #1346 INFO] classical_damage  12% [128 submitted, 0 queued]
[2020-10-26 18:28:28 #1346 INFO] classical_damage  13% [128 submitted, 0 queued]
[2020-10-26 18:28:28 #1346 INFO] classical_damage  14% [128 submitted, 0 queued]
[2020-10-26 18:28:28 #1346 INFO] classical_damage  15% [128 submitted, 0 queued]
[2020-10-26 18:28:28 #1346 INFO] classical_damage  16% [128 submitted, 0 queued]
[2020-10-26 18:28:29 #1346 INFO] classical_damage  17% [128 submitted, 0 queued]
[2020-10-26 18:28:29 #1346 INFO] classical_damage  18% [128 submitted, 0 queued]
[2020-10-26 18:28:29 #1346 INFO] classical_damage  19% [128 submitted, 0 queued]
[2020-10-26 18:28:29 #1346 INFO] classical_damage  20% [128 submitted, 0 queued]
[2020-10-26 18:28:30 #1346 INFO] classical_damage  21% [128 submitted, 0 queued]
[2020-10-26 18:28:30 #1346 INFO] classical_damage  22% [128 submitted, 0 queued]
[2020-10-26 18:28:30 #1346 INFO] classical_damage  23% [128 submitted, 0 queued]
[2020-10-26 18:28:30 #1346 INFO] classical_damage  24% [128 submitted, 0 queued]
[2020-10-26 18:28:31 #1346 INFO] classical_damage  25% [128 submitted, 0 queued]
[2020-10-26 18:28:31 #1346 INFO] classical_damage  26% [128 submitted, 0 queued]
[2020-10-26 18:28:31 #1346 INFO] classical_damage  27% [128 submitted, 0 queued]
[2020-10-26 18:28:31 #1346 INFO] classical_damage  28% [128 submitted, 0 queued]
[2020-10-26 18:28:32 #1346 INFO] classical_damage  29% [128 submitted, 0 queued]
[2020-10-26 18:28:32 #1346 INFO] classical_damage  30% [128 submitted, 0 queued]
[2020-10-26 18:28:32 #1346 INFO] classical_damage  31% [128 submitted, 0 queued]
[2020-10-26 18:28:32 #1346 INFO] classical_damage  32% [128 submitted, 0 queued]
[2020-10-26 18:28:32 #1346 INFO] classical_damage  33% [128 submitted, 0 queued]
[2020-10-26 18:28:32 #1346 INFO] classical_damage  34% [128 submitted, 0 queued]
[2020-10-26 18:28:32 #1346 INFO] classical_damage  35% [128 submitted, 0 queued]
[2020-10-26 18:28:32 #1346 INFO] classical_damage  36% [128 submitted, 0 queued]
[2020-10-26 18:28:32 #1346 INFO] classical_damage  37% [128 submitted, 0 queued]
[2020-10-26 18:28:33 #1346 INFO] classical_damage  38% [128 submitted, 0 queued]
[2020-10-26 18:28:33 #1346 INFO] classical_damage  39% [128 submitted, 0 queued]
[2020-10-26 18:28:33 #1346 INFO] classical_damage  40% [128 submitted, 0 queued]
[2020-10-26 18:28:33 #1346 INFO] classical_damage  41% [128 submitted, 0 queued]
[2020-10-26 18:28:33 #1346 INFO] classical_damage  42% [128 submitted, 0 queued]
[2020-10-26 18:28:33 #1346 INFO] classical_damage  43% [128 submitted, 0 queued]
[2020-10-26 18:28:33 #1346 INFO] classical_damage  44% [128 submitted, 0 queued]
[2020-10-26 18:28:34 #1346 INFO] classical_damage  45% [128 submitted, 0 queued]
[2020-10-26 18:28:34 #1346 INFO] classical_damage  46% [128 submitted, 0 queued]
[2020-10-26 18:28:34 #1346 INFO] classical_damage  47% [128 submitted, 0 queued]
[2020-10-26 18:28:34 #1346 INFO] classical_damage  48% [128 submitted, 0 queued]
[2020-10-26 18:28:34 #1346 INFO] classical_damage  49% [128 submitted, 0 queued]
[2020-10-26 18:28:34 #1346 INFO] classical_damage  50% [128 submitted, 0 queued]
[2020-10-26 18:28:34 #1346 INFO] classical_damage  51% [128 submitted, 0 queued]
[2020-10-26 18:28:34 #1346 INFO] classical_damage  52% [128 submitted, 0 queued]
[2020-10-26 18:28:34 #1346 INFO] classical_damage  53% [128 submitted, 0 queued]
[2020-10-26 18:28:34 #1346 INFO] classical_damage  54% [128 submitted, 0 queued]
[2020-10-26 18:28:34 #1346 INFO] classical_damage  55% [128 submitted, 0 queued]
[2020-10-26 18:28:34 #1346 INFO] classical_damage  56% [128 submitted, 0 queued]
[2020-10-26 18:28:35 #1346 INFO] classical_damage  57% [128 submitted, 0 queued]
[2020-10-26 18:28:35 #1346 INFO] classical_damage  58% [128 submitted, 0 queued]
[2020-10-26 18:28:35 #1346 INFO] classical_damage  59% [128 submitted, 0 queued]
[2020-10-26 18:28:35 #1346 INFO] classical_damage  60% [128 submitted, 0 queued]
[2020-10-26 18:28:35 #1346 INFO] classical_damage  61% [128 submitted, 0 queued]
[2020-10-26 18:28:35 #1346 INFO] classical_damage  62% [128 submitted, 0 queued]
[2020-10-26 18:28:35 #1346 INFO] classical_damage  63% [128 submitted, 0 queued]
[2020-10-26 18:28:35 #1346 INFO] classical_damage  64% [128 submitted, 0 queued]
[2020-10-26 18:28:35 #1346 INFO] classical_damage  65% [128 submitted, 0 queued]
[2020-10-26 18:28:35 #1346 INFO] classical_damage  66% [128 submitted, 0 queued]
[2020-10-26 18:28:35 #1346 INFO] classical_damage  67% [128 submitted, 0 queued]
[2020-10-26 18:28:35 #1346 INFO] classical_damage  68% [128 submitted, 0 queued]
[2020-10-26 18:28:35 #1346 INFO] classical_damage  69% [128 submitted, 0 queued]
[2020-10-26 18:28:36 #1346 INFO] classical_damage  70% [128 submitted, 0 queued]
[2020-10-26 18:28:36 #1346 INFO] classical_damage  71% [128 submitted, 0 queued]
[2020-10-26 18:28:36 #1346 INFO] classical_damage  72% [128 submitted, 0 queued]
[2020-10-26 18:28:36 #1346 INFO] classical_damage  73% [128 submitted, 0 queued]
