[2020-10-26 18:34:47 #1352 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_ON3530B.ini [--hc=1316]
[2020-10-26 18:34:47 #1352 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:34:48 #1352 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:34:48 #1352 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:34:48 #1352 INFO] Reading the risk model if present
[2020-10-26 18:34:51 #1352 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_ON3530B.xml
[2020-10-26 18:35:01 #1352 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:35:02 #1352 INFO] Associated 111521 assets to 94 sites
[2020-10-26 18:35:07 #1352 INFO] Reducing risk model from 4224 to 565 taxonomies
[2020-10-26 18:35:07 #1352 INFO] Storing risk model
[2020-10-26 18:35:09 #1352 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:35:10 #1352 INFO] Built 170 risk inputs
[2020-10-26 18:35:12 #1352 INFO] Sent 128 tasks, 24.92 MB in 0 seconds
[2020-10-26 18:35:24 #1352 INFO] classical_damage   1% [128 submitted, 0 queued]
[2020-10-26 18:35:24 #1352 INFO] classical_damage   2% [128 submitted, 0 queued]
[2020-10-26 18:35:24 #1352 INFO] classical_damage   3% [128 submitted, 0 queued]
[2020-10-26 18:35:25 #1352 INFO] classical_damage   4% [128 submitted, 0 queued]
[2020-10-26 18:35:25 #1352 INFO] classical_damage   5% [128 submitted, 0 queued]
[2020-10-26 18:35:25 #1352 INFO] classical_damage   6% [128 submitted, 0 queued]
[2020-10-26 18:35:25 #1352 INFO] classical_damage   7% [128 submitted, 0 queued]
[2020-10-26 18:35:25 #1352 INFO] classical_damage   8% [128 submitted, 0 queued]
[2020-10-26 18:35:25 #1352 INFO] classical_damage   9% [128 submitted, 0 queued]
[2020-10-26 18:35:25 #1352 INFO] classical_damage  10% [128 submitted, 0 queued]
[2020-10-26 18:35:26 #1352 INFO] classical_damage  11% [128 submitted, 0 queued]
[2020-10-26 18:35:26 #1352 INFO] classical_damage  12% [128 submitted, 0 queued]
[2020-10-26 18:35:26 #1352 INFO] classical_damage  13% [128 submitted, 0 queued]
