[2020-10-26 18:45:02 #1362 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_ON3590-95.ini [--hc=1316]
[2020-10-26 18:45:02 #1362 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:45:03 #1362 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:45:03 #1362 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:45:03 #1362 INFO] Reading the risk model if present
[2020-10-26 18:45:07 #1362 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_ON3590-95.xml
[2020-10-26 18:45:15 #1362 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:45:16 #1362 INFO] Associated 81616 assets to 1737 sites
[2020-10-26 18:45:20 #1362 INFO] Reducing risk model from 4224 to 436 taxonomies
[2020-10-26 18:45:20 #1362 INFO] Storing risk model
[2020-10-26 18:45:22 #1362 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:45:22 #1362 INFO] Built 1749 risk inputs
[2020-10-26 18:45:25 #1362 INFO] Sent 138 tasks, 22.86 MB in 0 seconds
[2020-10-26 18:45:32 #1362 INFO] classical_damage   1% [138 submitted, 0 queued]
[2020-10-26 18:45:32 #1362 INFO] classical_damage   2% [138 submitted, 0 queued]
[2020-10-26 18:45:32 #1362 INFO] classical_damage   3% [138 submitted, 0 queued]
[2020-10-26 18:45:32 #1362 INFO] classical_damage   4% [138 submitted, 0 queued]
[2020-10-26 18:45:32 #1362 INFO] classical_damage   5% [138 submitted, 0 queued]
[2020-10-26 18:45:33 #1362 INFO] classical_damage   6% [138 submitted, 0 queued]
[2020-10-26 18:45:33 #1362 INFO] classical_damage   7% [138 submitted, 0 queued]
[2020-10-26 18:45:33 #1362 INFO] classical_damage   8% [138 submitted, 0 queued]
[2020-10-26 18:45:33 #1362 INFO] classical_damage   9% [138 submitted, 0 queued]
[2020-10-26 18:45:33 #1362 INFO] classical_damage  10% [138 submitted, 0 queued]
[2020-10-26 18:45:34 #1362 INFO] classical_damage  11% [138 submitted, 0 queued]
[2020-10-26 18:45:34 #1362 INFO] classical_damage  12% [138 submitted, 0 queued]
[2020-10-26 18:45:34 #1362 INFO] classical_damage  13% [138 submitted, 0 queued]
[2020-10-26 18:45:34 #1362 INFO] classical_damage  14% [138 submitted, 0 queued]
[2020-10-26 18:45:34 #1362 INFO] classical_damage  15% [138 submitted, 0 queued]
[2020-10-26 18:45:34 #1362 INFO] classical_damage  16% [138 submitted, 0 queued]
[2020-10-26 18:45:35 #1362 INFO] classical_damage  17% [138 submitted, 0 queued]
[2020-10-26 18:45:35 #1362 INFO] classical_damage  18% [138 submitted, 0 queued]
[2020-10-26 18:45:35 #1362 INFO] classical_damage  19% [138 submitted, 0 queued]
[2020-10-26 18:45:35 #1362 INFO] classical_damage  20% [138 submitted, 0 queued]
[2020-10-26 18:45:35 #1362 INFO] classical_damage  21% [138 submitted, 0 queued]
[2020-10-26 18:45:35 #1362 INFO] classical_damage  22% [138 submitted, 0 queued]
[2020-10-26 18:45:35 #1362 INFO] classical_damage  23% [138 submitted, 0 queued]
