[2020-10-26 18:50:40 #1368 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_QC2425-33.ini [--hc=1318]
[2020-10-26 18:50:40 #1368 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:50:41 #1368 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:50:41 #1368 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:50:41 #1368 INFO] Reading the risk model if present
[2020-10-26 18:50:45 #1368 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_QC2425-33.xml
[2020-10-26 18:50:53 #1368 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:50:54 #1368 INFO] Associated 86622 assets to 371 sites
[2020-10-26 18:50:58 #1368 INFO] Reducing risk model from 4224 to 470 taxonomies
[2020-10-26 18:50:59 #1368 INFO] Storing risk model
[2020-10-26 18:51:00 #1368 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:51:01 #1368 INFO] Built 387 risk inputs
[2020-10-26 18:51:03 #1368 INFO] Sent 141 tasks, 20.19 MB in 0 seconds
[2020-10-26 18:51:09 #1368 INFO] classical_damage   1% [141 submitted, 0 queued]
[2020-10-26 18:51:10 #1368 INFO] classical_damage   2% [141 submitted, 0 queued]
[2020-10-26 18:51:10 #1368 INFO] classical_damage   3% [141 submitted, 0 queued]
[2020-10-26 18:51:10 #1368 INFO] classical_damage   4% [141 submitted, 0 queued]
[2020-10-26 18:51:11 #1368 INFO] classical_damage   5% [141 submitted, 0 queued]
[2020-10-26 18:51:11 #1368 INFO] classical_damage   6% [141 submitted, 0 queued]
[2020-10-26 18:51:11 #1368 INFO] classical_damage   7% [141 submitted, 0 queued]
[2020-10-26 18:51:11 #1368 INFO] classical_damage   8% [141 submitted, 0 queued]
[2020-10-26 18:51:11 #1368 INFO] classical_damage   9% [141 submitted, 0 queued]
[2020-10-26 18:51:12 #1368 INFO] classical_damage  10% [141 submitted, 0 queued]
[2020-10-26 18:51:12 #1368 INFO] classical_damage  11% [141 submitted, 0 queued]
[2020-10-26 18:51:12 #1368 INFO] classical_damage  12% [141 submitted, 0 queued]
[2020-10-26 18:51:12 #1368 INFO] classical_damage  13% [141 submitted, 0 queued]
[2020-10-26 18:51:12 #1368 INFO] classical_damage  14% [141 submitted, 0 queued]
[2020-10-26 18:51:13 #1368 INFO] classical_damage  15% [141 submitted, 0 queued]
[2020-10-26 18:51:13 #1368 INFO] classical_damage  16% [141 submitted, 0 queued]
[2020-10-26 18:51:13 #1368 INFO] classical_damage  17% [141 submitted, 0 queued]
[2020-10-26 18:51:13 #1368 INFO] classical_damage  18% [141 submitted, 0 queued]
[2020-10-26 18:51:13 #1368 INFO] classical_damage  19% [141 submitted, 0 queued]
[2020-10-26 18:51:13 #1368 INFO] classical_damage  20% [141 submitted, 0 queued]
[2020-10-26 18:51:13 #1368 INFO] classical_damage  21% [141 submitted, 0 queued]
[2020-10-26 18:51:14 #1368 INFO] classical_damage  22% [141 submitted, 0 queued]
[2020-10-26 18:51:14 #1368 INFO] classical_damage  23% [141 submitted, 0 queued]
