[2020-10-26 18:10:36 #1326 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_AB4840-50.ini [--hc=1309]
[2020-10-26 18:10:36 #1326 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:10:37 #1326 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:10:37 #1326 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:10:37 #1326 INFO] Reading the risk model if present
[2020-10-26 18:10:40 #1326 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_AB4840-50.xml
[2020-10-26 18:10:44 #1326 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:10:44 #1326 INFO] Associated 34294 assets to 400 sites
[2020-10-26 18:10:46 #1326 INFO] Reducing risk model from 4224 to 449 taxonomies
[2020-10-26 18:10:46 #1326 INFO] Storing risk model
[2020-10-26 18:10:48 #1326 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:10:48 #1326 INFO] Built 404 risk inputs
[2020-10-26 18:10:50 #1326 INFO] Sent 114 tasks, 8.87 MB in 0 seconds
[2020-10-26 18:10:54 #1326 INFO] classical_damage   1% [114 submitted, 0 queued]
[2020-10-26 18:10:54 #1326 INFO] classical_damage   2% [114 submitted, 0 queued]
[2020-10-26 18:10:54 #1326 INFO] classical_damage   3% [114 submitted, 0 queued]
[2020-10-26 18:10:54 #1326 INFO] classical_damage   4% [114 submitted, 0 queued]
[2020-10-26 18:10:54 #1326 INFO] classical_damage   5% [114 submitted, 0 queued]
[2020-10-26 18:10:54 #1326 INFO] classical_damage   6% [114 submitted, 0 queued]
[2020-10-26 18:10:54 #1326 INFO] classical_damage   7% [114 submitted, 0 queued]
[2020-10-26 18:10:54 #1326 INFO] classical_damage   8% [114 submitted, 0 queued]
[2020-10-26 18:10:55 #1326 INFO] classical_damage   9% [114 submitted, 0 queued]
[2020-10-26 18:10:55 #1326 INFO] classical_damage  10% [114 submitted, 0 queued]
[2020-10-26 18:10:55 #1326 INFO] classical_damage  11% [114 submitted, 0 queued]
[2020-10-26 18:10:55 #1326 INFO] classical_damage  12% [114 submitted, 0 queued]
[2020-10-26 18:10:55 #1326 INFO] classical_damage  13% [114 submitted, 0 queued]
[2020-10-26 18:10:55 #1326 INFO] classical_damage  14% [114 submitted, 0 queued]
[2020-10-26 18:10:55 #1326 INFO] classical_damage  15% [114 submitted, 0 queued]
[2020-10-26 18:10:55 #1326 INFO] classical_damage  16% [114 submitted, 0 queued]
[2020-10-26 18:10:56 #1326 INFO] classical_damage  17% [114 submitted, 0 queued]
[2020-10-26 18:10:56 #1326 INFO] classical_damage  18% [114 submitted, 0 queued]
[2020-10-26 18:10:56 #1326 INFO] classical_damage  19% [114 submitted, 0 queued]
[2020-10-26 18:10:56 #1326 INFO] classical_damage  20% [114 submitted, 0 queued]
[2020-10-26 18:10:56 #1326 INFO] classical_damage  21% [114 submitted, 0 queued]
[2020-10-26 18:10:57 #1326 INFO] classical_damage  22% [114 submitted, 0 queued]
[2020-10-26 18:10:57 #1326 INFO] classical_damage  23% [114 submitted, 0 queued]
[2020-10-26 18:10:57 #1326 INFO] classical_damage  24% [114 submitted, 0 queued]
[2020-10-26 18:10:57 #1326 INFO] classical_damage  25% [114 submitted, 0 queued]
[2020-10-26 18:10:57 #1326 INFO] classical_damage  26% [114 submitted, 0 queued]
[2020-10-26 18:10:57 #1326 INFO] classical_damage  27% [114 submitted, 0 queued]
[2020-10-26 18:10:57 #1326 INFO] classical_damage  28% [114 submitted, 0 queued]
[2020-10-26 18:10:57 #1326 INFO] classical_damage  29% [114 submitted, 0 queued]
[2020-10-26 18:10:57 #1326 INFO] classical_damage  30% [114 submitted, 0 queued]
[2020-10-26 18:10:57 #1326 INFO] classical_damage  31% [114 submitted, 0 queued]
[2020-10-26 18:10:58 #1326 INFO] classical_damage  32% [114 submitted, 0 queued]
[2020-10-26 18:10:58 #1326 INFO] classical_damage  33% [114 submitted, 0 queued]
[2020-10-26 18:10:58 #1326 INFO] classical_damage  34% [114 submitted, 0 queued]
[2020-10-26 18:10:58 #1326 INFO] classical_damage  35% [114 submitted, 0 queued]
[2020-10-26 18:10:58 #1326 INFO] classical_damage  36% [114 submitted, 0 queued]
[2020-10-26 18:10:58 #1326 INFO] classical_damage  37% [114 submitted, 0 queued]
[2020-10-26 18:10:58 #1326 INFO] classical_damage  38% [114 submitted, 0 queued]
[2020-10-26 18:10:58 #1326 INFO] classical_damage  39% [114 submitted, 0 queued]
[2020-10-26 18:10:58 #1326 INFO] classical_damage  40% [114 submitted, 0 queued]
[2020-10-26 18:10:58 #1326 INFO] classical_damage  41% [114 submitted, 0 queued]
[2020-10-26 18:10:58 #1326 INFO] classical_damage  42% [114 submitted, 0 queued]
[2020-10-26 18:10:58 #1326 INFO] classical_damage  43% [114 submitted, 0 queued]
[2020-10-26 18:10:58 #1326 INFO] classical_damage  44% [114 submitted, 0 queued]
[2020-10-26 18:10:59 #1326 INFO] classical_damage  45% [114 submitted, 0 queued]
[2020-10-26 18:10:59 #1326 INFO] classical_damage  46% [114 submitted, 0 queued]
[2020-10-26 18:10:59 #1326 INFO] classical_damage  47% [114 submitted, 0 queued]
[2020-10-26 18:10:59 #1326 INFO] classical_damage  48% [114 submitted, 0 queued]
[2020-10-26 18:10:59 #1326 INFO] classical_damage  49% [114 submitted, 0 queued]
[2020-10-26 18:10:59 #1326 INFO] classical_damage  50% [114 submitted, 0 queued]
[2020-10-26 18:10:59 #1326 INFO] classical_damage  51% [114 submitted, 0 queued]
[2020-10-26 18:10:59 #1326 INFO] classical_damage  52% [114 submitted, 0 queued]
[2020-10-26 18:10:59 #1326 INFO] classical_damage  53% [114 submitted, 0 queued]
[2020-10-26 18:10:59 #1326 INFO] classical_damage  54% [114 submitted, 0 queued]
[2020-10-26 18:10:59 #1326 INFO] classical_damage  55% [114 submitted, 0 queued]
[2020-10-26 18:10:59 #1326 INFO] classical_damage  56% [114 submitted, 0 queued]
[2020-10-26 18:10:59 #1326 INFO] classical_damage  57% [114 submitted, 0 queued]
