[2020-10-26 18:12:18 #1328 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_AB4860.ini [--hc=1309]
[2020-10-26 18:12:18 #1328 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:12:19 #1328 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:12:19 #1328 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:12:19 #1328 INFO] Reading the risk model if present
[2020-10-26 18:12:22 #1328 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_AB4860.xml
[2020-10-26 18:12:29 #1328 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:12:30 #1328 INFO] Associated 69394 assets to 189 sites
[2020-10-26 18:12:33 #1328 INFO] Reducing risk model from 4224 to 579 taxonomies
[2020-10-26 18:12:33 #1328 INFO] Storing risk model
[2020-10-26 18:12:35 #1328 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:12:35 #1328 INFO] Built 223 risk inputs
[2020-10-26 18:12:37 #1328 INFO] Sent 106 tasks, 15.91 MB in 0 seconds
[2020-10-26 18:12:44 #1328 INFO] classical_damage   1% [106 submitted, 0 queued]
[2020-10-26 18:12:44 #1328 INFO] classical_damage   2% [106 submitted, 0 queued]
[2020-10-26 18:12:44 #1328 INFO] classical_damage   3% [106 submitted, 0 queued]
[2020-10-26 18:12:44 #1328 INFO] classical_damage   4% [106 submitted, 0 queued]
[2020-10-26 18:12:45 #1328 INFO] classical_damage   5% [106 submitted, 0 queued]
[2020-10-26 18:12:46 #1328 INFO] classical_damage   6% [106 submitted, 0 queued]
[2020-10-26 18:12:46 #1328 INFO] classical_damage   7% [106 submitted, 0 queued]
[2020-10-26 18:12:46 #1328 INFO] classical_damage   8% [106 submitted, 0 queued]
[2020-10-26 18:12:47 #1328 INFO] classical_damage   9% [106 submitted, 0 queued]
[2020-10-26 18:12:47 #1328 INFO] classical_damage  10% [106 submitted, 0 queued]
[2020-10-26 18:12:47 #1328 INFO] classical_damage  11% [106 submitted, 0 queued]
[2020-10-26 18:12:48 #1328 INFO] classical_damage  12% [106 submitted, 0 queued]
[2020-10-26 18:12:48 #1328 INFO] classical_damage  13% [106 submitted, 0 queued]
[2020-10-26 18:12:48 #1328 INFO] classical_damage  14% [106 submitted, 0 queued]
[2020-10-26 18:12:48 #1328 INFO] classical_damage  15% [106 submitted, 0 queued]
[2020-10-26 18:12:48 #1328 INFO] classical_damage  16% [106 submitted, 0 queued]
[2020-10-26 18:12:48 #1328 INFO] classical_damage  17% [106 submitted, 0 queued]
[2020-10-26 18:12:48 #1328 INFO] classical_damage  18% [106 submitted, 0 queued]
[2020-10-26 18:12:49 #1328 INFO] classical_damage  19% [106 submitted, 0 queued]
[2020-10-26 18:12:49 #1328 INFO] classical_damage  20% [106 submitted, 0 queued]
[2020-10-26 18:12:49 #1328 INFO] classical_damage  21% [106 submitted, 0 queued]
[2020-10-26 18:12:49 #1328 INFO] classical_damage  22% [106 submitted, 0 queued]
[2020-10-26 18:12:49 #1328 INFO] classical_damage  23% [106 submitted, 0 queued]
[2020-10-26 18:12:49 #1328 INFO] classical_damage  24% [106 submitted, 0 queued]
[2020-10-26 18:12:50 #1328 INFO] classical_damage  25% [106 submitted, 0 queued]
[2020-10-26 18:12:50 #1328 INFO] classical_damage  26% [106 submitted, 0 queued]
[2020-10-26 18:12:50 #1328 INFO] classical_damage  27% [106 submitted, 0 queued]
[2020-10-26 18:12:50 #1328 INFO] classical_damage  28% [106 submitted, 0 queued]
[2020-10-26 18:12:50 #1328 INFO] classical_damage  29% [106 submitted, 0 queued]
[2020-10-26 18:12:50 #1328 INFO] classical_damage  30% [106 submitted, 0 queued]
[2020-10-26 18:12:51 #1328 INFO] classical_damage  31% [106 submitted, 0 queued]
[2020-10-26 18:12:51 #1328 INFO] classical_damage  32% [106 submitted, 0 queued]
[2020-10-26 18:12:51 #1328 INFO] classical_damage  33% [106 submitted, 0 queued]
[2020-10-26 18:12:51 #1328 INFO] classical_damage  34% [106 submitted, 0 queued]
[2020-10-26 18:12:52 #1328 INFO] classical_damage  35% [106 submitted, 0 queued]
[2020-10-26 18:12:52 #1328 INFO] classical_damage  36% [106 submitted, 0 queued]
[2020-10-26 18:12:52 #1328 INFO] classical_damage  37% [106 submitted, 0 queued]
[2020-10-26 18:12:52 #1328 INFO] classical_damage  38% [106 submitted, 0 queued]
[2020-10-26 18:12:52 #1328 INFO] classical_damage  39% [106 submitted, 0 queued]
[2020-10-26 18:12:52 #1328 INFO] classical_damage  40% [106 submitted, 0 queued]
[2020-10-26 18:12:52 #1328 INFO] classical_damage  41% [106 submitted, 0 queued]
[2020-10-26 18:12:52 #1328 INFO] classical_damage  42% [106 submitted, 0 queued]
[2020-10-26 18:12:52 #1328 INFO] classical_damage  43% [106 submitted, 0 queued]
[2020-10-26 18:12:52 #1328 INFO] classical_damage  44% [106 submitted, 0 queued]
[2020-10-26 18:12:52 #1328 INFO] classical_damage  45% [106 submitted, 0 queued]
[2020-10-26 18:12:52 #1328 INFO] classical_damage  46% [106 submitted, 0 queued]
[2020-10-26 18:12:52 #1328 INFO] classical_damage  47% [106 submitted, 0 queued]
[2020-10-26 18:12:52 #1328 INFO] classical_damage  48% [106 submitted, 0 queued]
[2020-10-26 18:12:53 #1328 INFO] classical_damage  49% [106 submitted, 0 queued]
[2020-10-26 18:12:53 #1328 INFO] classical_damage  50% [106 submitted, 0 queued]
[2020-10-26 18:12:53 #1328 INFO] classical_damage  51% [106 submitted, 0 queued]
