[2020-10-15 16:09:16 #1217 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_b0_BC5920A.ini [--hc=1214]
[2020-10-15 16:09:16 #1217 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-15 16:09:16 #1217 WARNING] Using 64 cores on gem-compute
[2020-10-15 16:09:16 #1217 INFO] Checksum of the input files: 1508585000
[2020-10-15 16:09:16 #1217 INFO] Reading the risk model if present
[2020-10-15 16:09:20 #1217 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_BC5920A.xml
[2020-10-15 16:09:30 #1217 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-15 16:09:31 #1217 INFO] Associated 100303 assets to 39 sites
[2020-10-15 16:09:36 #1217 INFO] Reducing risk model from 4224 to 1165 taxonomies
[2020-10-15 16:09:36 #1217 INFO] Storing risk model
[2020-10-15 16:09:39 #1217 INFO] Building risk inputs from 50 realization(s)
[2020-10-15 16:09:39 #1217 INFO] Built 125 risk inputs
[2020-10-15 16:09:42 #1217 INFO] Sent 107 tasks, 22.31 MB in 0 seconds
[2020-10-15 16:09:57 #1217 INFO] classical_damage   1% [107 submitted, 0 queued]
[2020-10-15 16:09:58 #1217 INFO] classical_damage   2% [107 submitted, 0 queued]
[2020-10-15 16:09:58 #1217 INFO] classical_damage   3% [107 submitted, 0 queued]
[2020-10-15 16:09:58 #1217 INFO] classical_damage   4% [107 submitted, 0 queued]
[2020-10-15 16:09:58 #1217 INFO] classical_damage   5% [107 submitted, 0 queued]
[2020-10-15 16:09:58 #1217 INFO] classical_damage   6% [107 submitted, 0 queued]
[2020-10-15 16:09:58 #1217 INFO] classical_damage   7% [107 submitted, 0 queued]
[2020-10-15 16:09:59 #1217 INFO] classical_damage   8% [107 submitted, 0 queued]
[2020-10-15 16:09:59 #1217 INFO] classical_damage   9% [107 submitted, 0 queued]
[2020-10-15 16:09:59 #1217 INFO] classical_damage  10% [107 submitted, 0 queued]
[2020-10-15 16:09:59 #1217 INFO] classical_damage  11% [107 submitted, 0 queued]
[2020-10-15 16:09:59 #1217 INFO] classical_damage  12% [107 submitted, 0 queued]
[2020-10-15 16:10:00 #1217 INFO] classical_damage  13% [107 submitted, 0 queued]
