[2020-10-26 18:16:25 #1332 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_MB4610-40.ini [--hc=1310]
[2020-10-26 18:16:25 #1332 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:16:26 #1332 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:16:26 #1332 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:16:26 #1332 INFO] Reading the risk model if present
[2020-10-26 18:16:29 #1332 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_MB4610-40.xml
[2020-10-26 18:16:35 #1332 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:16:36 #1332 INFO] Associated 51147 assets to 721 sites
[2020-10-26 18:16:39 #1332 INFO] Reducing risk model from 4224 to 396 taxonomies
[2020-10-26 18:16:39 #1332 INFO] Storing risk model
[2020-10-26 18:16:40 #1332 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:16:41 #1332 INFO] Built 725 risk inputs
[2020-10-26 18:16:43 #1332 INFO] Sent 140 tasks, 13.47 MB in 0 seconds
[2020-10-26 18:16:47 #1332 INFO] classical_damage   1% [140 submitted, 0 queued]
[2020-10-26 18:16:47 #1332 INFO] classical_damage   2% [140 submitted, 0 queued]
[2020-10-26 18:16:47 #1332 INFO] classical_damage   3% [140 submitted, 0 queued]
[2020-10-26 18:16:47 #1332 INFO] classical_damage   4% [140 submitted, 0 queued]
[2020-10-26 18:16:47 #1332 INFO] classical_damage   5% [140 submitted, 0 queued]
[2020-10-26 18:16:48 #1332 INFO] classical_damage   6% [140 submitted, 0 queued]
[2020-10-26 18:16:48 #1332 INFO] classical_damage   7% [140 submitted, 0 queued]
[2020-10-26 18:16:48 #1332 INFO] classical_damage   8% [140 submitted, 0 queued]
[2020-10-26 18:16:48 #1332 INFO] classical_damage   9% [140 submitted, 0 queued]
[2020-10-26 18:16:49 #1332 INFO] classical_damage  10% [140 submitted, 0 queued]
[2020-10-26 18:16:49 #1332 INFO] classical_damage  11% [140 submitted, 0 queued]
[2020-10-26 18:16:49 #1332 INFO] classical_damage  12% [140 submitted, 0 queued]
[2020-10-26 18:16:49 #1332 INFO] classical_damage  13% [140 submitted, 0 queued]
[2020-10-26 18:16:49 #1332 INFO] classical_damage  14% [140 submitted, 0 queued]
[2020-10-26 18:16:50 #1332 INFO] classical_damage  15% [140 submitted, 0 queued]
[2020-10-26 18:16:50 #1332 INFO] classical_damage  16% [140 submitted, 0 queued]
[2020-10-26 18:16:50 #1332 INFO] classical_damage  17% [140 submitted, 0 queued]
[2020-10-26 18:16:50 #1332 INFO] classical_damage  18% [140 submitted, 0 queued]
[2020-10-26 18:16:50 #1332 INFO] classical_damage  19% [140 submitted, 0 queued]
[2020-10-26 18:16:50 #1332 INFO] classical_damage  20% [140 submitted, 0 queued]
[2020-10-26 18:16:50 #1332 INFO] classical_damage  21% [140 submitted, 0 queued]
[2020-10-26 18:16:50 #1332 INFO] classical_damage  22% [140 submitted, 0 queued]
