[2020-10-26 18:20:25 #1336 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_NB.ini [--hc=1311]
[2020-10-26 18:20:25 #1336 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:20:25 #1336 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:20:25 #1336 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:20:26 #1336 INFO] Reading the risk model if present
[2020-10-26 18:20:29 #1336 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_NB.xml
[2020-10-26 18:20:36 #1336 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:20:37 #1336 INFO] Associated 73533 assets to 700 sites
[2020-10-26 18:20:40 #1336 INFO] Reducing risk model from 4224 to 476 taxonomies
[2020-10-26 18:20:40 #1336 INFO] Storing risk model
[2020-10-26 18:20:42 #1336 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:20:42 #1336 INFO] Built 711 risk inputs
[2020-10-26 18:20:45 #1336 INFO] Sent 139 tasks, 18.26 MB in 0 seconds
[2020-10-26 18:20:51 #1336 INFO] classical_damage   1% [139 submitted, 0 queued]
[2020-10-26 18:20:51 #1336 INFO] classical_damage   2% [139 submitted, 0 queued]
[2020-10-26 18:20:52 #1336 INFO] classical_damage   3% [139 submitted, 0 queued]
[2020-10-26 18:20:52 #1336 INFO] classical_damage   4% [139 submitted, 0 queued]
[2020-10-26 18:20:52 #1336 INFO] classical_damage   5% [139 submitted, 0 queued]
[2020-10-26 18:20:52 #1336 INFO] classical_damage   6% [139 submitted, 0 queued]
[2020-10-26 18:20:52 #1336 INFO] classical_damage   7% [139 submitted, 0 queued]
[2020-10-26 18:20:53 #1336 INFO] classical_damage   8% [139 submitted, 0 queued]
[2020-10-26 18:20:53 #1336 INFO] classical_damage   9% [139 submitted, 0 queued]
[2020-10-26 18:20:53 #1336 INFO] classical_damage  10% [139 submitted, 0 queued]
[2020-10-26 18:20:53 #1336 INFO] classical_damage  11% [139 submitted, 0 queued]
[2020-10-26 18:20:53 #1336 INFO] classical_damage  12% [139 submitted, 0 queued]
[2020-10-26 18:20:54 #1336 INFO] classical_damage  13% [139 submitted, 0 queued]
[2020-10-26 18:20:54 #1336 INFO] classical_damage  14% [139 submitted, 0 queued]
[2020-10-26 18:20:54 #1336 INFO] classical_damage  15% [139 submitted, 0 queued]
[2020-10-26 18:20:54 #1336 INFO] classical_damage  16% [139 submitted, 0 queued]
