[2020-10-26 18:46:58 #1364 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_PE.ini [--hc=1317]
[2020-10-26 18:46:58 #1364 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:46:58 #1364 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:46:58 #1364 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:46:58 #1364 INFO] Reading the risk model if present
[2020-10-26 18:47:02 #1364 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_PE.xml
[2020-10-26 18:47:03 #1364 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:47:03 #1364 INFO] Associated 16669 assets to 96 sites
[2020-10-26 18:47:04 #1364 INFO] Reducing risk model from 4224 to 329 taxonomies
[2020-10-26 18:47:04 #1364 INFO] Storing risk model
[2020-10-26 18:47:05 #1364 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:47:05 #1364 INFO] Built 99 risk inputs
[2020-10-26 18:47:07 #1364 INFO] Sent 76 tasks, 4.11 MB in 0 seconds
[2020-10-26 18:47:11 #1364 INFO] classical_damage   1% [76 submitted, 0 queued]
[2020-10-26 18:47:11 #1364 INFO] classical_damage   2% [76 submitted, 0 queued]
[2020-10-26 18:47:11 #1364 INFO] classical_damage   3% [76 submitted, 0 queued]
[2020-10-26 18:47:11 #1364 INFO] classical_damage   5% [76 submitted, 0 queued]
[2020-10-26 18:47:12 #1364 INFO] classical_damage   6% [76 submitted, 0 queued]
[2020-10-26 18:47:12 #1364 INFO] classical_damage   7% [76 submitted, 0 queued]
[2020-10-26 18:47:12 #1364 INFO] classical_damage   9% [76 submitted, 0 queued]
[2020-10-26 18:47:12 #1364 INFO] classical_damage  10% [76 submitted, 0 queued]
[2020-10-26 18:47:12 #1364 INFO] classical_damage  11% [76 submitted, 0 queued]
[2020-10-26 18:47:12 #1364 INFO] classical_damage  13% [76 submitted, 0 queued]
[2020-10-26 18:47:12 #1364 INFO] classical_damage  14% [76 submitted, 0 queued]
[2020-10-26 18:47:12 #1364 INFO] classical_damage  15% [76 submitted, 0 queued]
[2020-10-26 18:47:12 #1364 INFO] classical_damage  17% [76 submitted, 0 queued]
[2020-10-26 18:47:12 #1364 INFO] classical_damage  18% [76 submitted, 0 queued]
[2020-10-26 18:47:12 #1364 INFO] classical_damage  19% [76 submitted, 0 queued]
[2020-10-26 18:47:12 #1364 INFO] classical_damage  21% [76 submitted, 0 queued]
[2020-10-26 18:47:12 #1364 INFO] classical_damage  22% [76 submitted, 0 queued]
[2020-10-26 18:47:13 #1364 INFO] classical_damage  23% [76 submitted, 0 queued]
[2020-10-26 18:47:13 #1364 INFO] classical_damage  25% [76 submitted, 0 queued]
[2020-10-26 18:47:13 #1364 INFO] classical_damage  26% [76 submitted, 0 queued]
[2020-10-26 18:47:13 #1364 INFO] classical_damage  27% [76 submitted, 0 queued]
[2020-10-26 18:47:13 #1364 INFO] classical_damage  28% [76 submitted, 0 queued]
[2020-10-26 18:47:13 #1364 INFO] classical_damage  30% [76 submitted, 0 queued]
[2020-10-26 18:47:13 #1364 INFO] classical_damage  31% [76 submitted, 0 queued]
[2020-10-26 18:47:13 #1364 INFO] classical_damage  32% [76 submitted, 0 queued]
[2020-10-26 18:47:13 #1364 INFO] classical_damage  34% [76 submitted, 0 queued]
[2020-10-26 18:47:13 #1364 INFO] classical_damage  35% [76 submitted, 0 queued]
[2020-10-26 18:47:13 #1364 INFO] classical_damage  36% [76 submitted, 0 queued]
[2020-10-26 18:47:13 #1364 INFO] classical_damage  38% [76 submitted, 0 queued]
[2020-10-26 18:47:13 #1364 INFO] classical_damage  39% [76 submitted, 0 queued]
[2020-10-26 18:47:13 #1364 INFO] classical_damage  40% [76 submitted, 0 queued]
[2020-10-26 18:47:13 #1364 INFO] classical_damage  42% [76 submitted, 0 queued]
[2020-10-26 18:47:13 #1364 INFO] classical_damage  43% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  44% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  46% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  47% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  48% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  50% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  51% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  52% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  53% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  55% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  56% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  57% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  59% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  60% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  61% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  63% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  64% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  65% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  67% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  68% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  69% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  71% [76 submitted, 0 queued]
[2020-10-26 18:47:14 #1364 INFO] classical_damage  72% [76 submitted, 0 queued]
[2020-10-26 18:47:15 #1364 INFO] classical_damage  73% [76 submitted, 0 queued]
[2020-10-26 18:47:15 #1364 INFO] classical_damage  75% [76 submitted, 0 queued]
[2020-10-26 18:47:15 #1364 INFO] classical_damage  76% [76 submitted, 0 queued]
[2020-10-26 18:47:15 #1364 INFO] classical_damage  77% [76 submitted, 0 queued]
[2020-10-26 18:47:15 #1364 INFO] classical_damage  78% [76 submitted, 0 queued]
[2020-10-26 18:47:15 #1364 INFO] classical_damage  80% [76 submitted, 0 queued]
[2020-10-26 18:47:15 #1364 INFO] classical_damage  81% [76 submitted, 0 queued]
[2020-10-26 18:47:15 #1364 INFO] classical_damage  82% [76 submitted, 0 queued]
[2020-10-26 18:47:15 #1364 INFO] classical_damage  84% [76 submitted, 0 queued]
[2020-10-26 18:47:15 #1364 INFO] classical_damage  85% [76 submitted, 0 queued]
[2020-10-26 18:47:15 #1364 INFO] classical_damage  86% [76 submitted, 0 queued]
[2020-10-26 18:47:15 #1364 INFO] classical_damage  88% [76 submitted, 0 queued]
[2020-10-26 18:47:15 #1364 INFO] classical_damage  89% [76 submitted, 0 queued]
[2020-10-26 18:47:15 #1364 INFO] classical_damage  90% [76 submitted, 0 queued]
[2020-10-26 18:47:15 #1364 INFO] classical_damage  92% [76 submitted, 0 queued]
[2020-10-26 18:47:15 #1364 INFO] classical_damage  93% [76 submitted, 0 queued]
[2020-10-26 18:47:16 #1364 INFO] classical_damage  94% [76 submitted, 0 queued]
[2020-10-26 18:47:16 #1364 INFO] classical_damage  96% [76 submitted, 0 queued]
[2020-10-26 18:47:17 #1364 INFO] classical_damage  97% [76 submitted, 0 queued]
[2020-10-26 18:47:17 #1364 INFO] classical_damage  98% [76 submitted, 0 queued]
[2020-10-26 18:47:18 #1364 INFO] classical_damage 100% [76 submitted, 0 queued]
[2020-10-26 18:47:18 #1364 INFO] Received {'tot': '18.38 MB'} in 10 seconds
[2020-10-26 18:47:18 #1364 INFO] Exposing the outputs to the database
[2020-10-26 18:47:18 #1364 INFO] Stored 24.81 MB on /mnt/data/murray.journeay/oqdata/calc_1364.hdf5 in 20 seconds
  id | name
7277 | Asset Damage Distributions
7278 | Asset Damage Statistics
7279 | Full Report
7280 | Realizations
