[2020-10-26 18:52:53 #1370 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_QC2435.ini [--hc=1318]
[2020-10-26 18:52:53 #1370 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:52:54 #1370 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:52:54 #1370 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:52:54 #1370 INFO] Reading the risk model if present
[2020-10-26 18:52:57 #1370 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_QC2435.xml
[2020-10-26 18:53:05 #1370 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:53:05 #1370 INFO] Associated 80641 assets to 150 sites
[2020-10-26 18:53:09 #1370 INFO] Reducing risk model from 4224 to 535 taxonomies
[2020-10-26 18:53:09 #1370 INFO] Storing risk model
[2020-10-26 18:53:11 #1370 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:53:11 #1370 INFO] Built 184 risk inputs
[2020-10-26 18:53:14 #1370 INFO] Sent 117 tasks, 18.27 MB in 0 seconds
[2020-10-26 18:53:23 #1370 INFO] classical_damage   1% [117 submitted, 0 queued]
[2020-10-26 18:53:23 #1370 INFO] classical_damage   2% [117 submitted, 0 queued]
[2020-10-26 18:53:23 #1370 INFO] classical_damage   3% [117 submitted, 0 queued]
[2020-10-26 18:53:24 #1370 INFO] classical_damage   4% [117 submitted, 0 queued]
[2020-10-26 18:53:24 #1370 INFO] classical_damage   5% [117 submitted, 0 queued]
[2020-10-26 18:53:25 #1370 INFO] classical_damage   6% [117 submitted, 0 queued]
[2020-10-26 18:53:25 #1370 INFO] classical_damage   7% [117 submitted, 0 queued]
[2020-10-26 18:53:26 #1370 INFO] classical_damage   8% [117 submitted, 0 queued]
[2020-10-26 18:53:26 #1370 INFO] classical_damage   9% [117 submitted, 0 queued]
[2020-10-26 18:53:26 #1370 INFO] classical_damage  10% [117 submitted, 0 queued]
[2020-10-26 18:53:27 #1370 INFO] classical_damage  11% [117 submitted, 0 queued]
[2020-10-26 18:53:27 #1370 INFO] classical_damage  12% [117 submitted, 0 queued]
[2020-10-26 18:53:27 #1370 INFO] classical_damage  13% [117 submitted, 0 queued]
[2020-10-26 18:53:27 #1370 INFO] classical_damage  14% [117 submitted, 0 queued]
[2020-10-26 18:53:27 #1370 INFO] classical_damage  15% [117 submitted, 0 queued]
[2020-10-26 18:53:28 #1370 INFO] classical_damage  16% [117 submitted, 0 queued]
[2020-10-26 18:53:28 #1370 INFO] classical_damage  17% [117 submitted, 0 queued]
