[2020-10-26 18:57:06 #1374 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_QC2445-55.ini [--hc=1318]
[2020-10-26 18:57:06 #1374 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:57:06 #1374 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:57:06 #1374 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:57:06 #1374 INFO] Reading the risk model if present
[2020-10-26 18:57:10 #1374 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_QC2445-55.xml
[2020-10-26 18:57:18 #1374 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:57:18 #1374 INFO] Associated 79896 assets to 225 sites
[2020-10-26 18:57:22 #1374 INFO] Reducing risk model from 4224 to 513 taxonomies
[2020-10-26 18:57:22 #1374 INFO] Storing risk model
[2020-10-26 18:57:24 #1374 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:57:24 #1374 INFO] Built 261 risk inputs
[2020-10-26 18:57:27 #1374 INFO] Sent 116 tasks, 18.31 MB in 0 seconds
[2020-10-26 18:57:34 #1374 INFO] classical_damage   1% [116 submitted, 0 queued]
[2020-10-26 18:57:34 #1374 INFO] classical_damage   2% [116 submitted, 0 queued]
[2020-10-26 18:57:35 #1374 INFO] classical_damage   3% [116 submitted, 0 queued]
[2020-10-26 18:57:36 #1374 INFO] classical_damage   4% [116 submitted, 0 queued]
[2020-10-26 18:57:36 #1374 INFO] classical_damage   5% [116 submitted, 0 queued]
[2020-10-26 18:57:36 #1374 INFO] classical_damage   6% [116 submitted, 0 queued]
[2020-10-26 18:57:38 #1374 INFO] classical_damage   7% [116 submitted, 0 queued]
[2020-10-26 18:57:38 #1374 INFO] classical_damage   8% [116 submitted, 0 queued]
[2020-10-26 18:57:38 #1374 INFO] classical_damage   9% [116 submitted, 0 queued]
[2020-10-26 18:57:38 #1374 INFO] classical_damage  10% [116 submitted, 0 queued]
[2020-10-26 18:57:38 #1374 INFO] classical_damage  11% [116 submitted, 0 queued]
[2020-10-26 18:57:39 #1374 INFO] classical_damage  12% [116 submitted, 0 queued]
[2020-10-26 18:57:39 #1374 INFO] classical_damage  13% [116 submitted, 0 queued]
[2020-10-26 18:57:39 #1374 INFO] classical_damage  14% [116 submitted, 0 queued]
[2020-10-26 18:57:39 #1374 INFO] classical_damage  15% [116 submitted, 0 queued]
[2020-10-26 18:57:39 #1374 INFO] classical_damage  16% [116 submitted, 0 queued]
[2020-10-26 18:57:39 #1374 INFO] classical_damage  17% [116 submitted, 0 queued]
[2020-10-26 18:57:39 #1374 INFO] classical_damage  18% [116 submitted, 0 queued]
[2020-10-26 18:57:40 #1374 INFO] classical_damage  19% [116 submitted, 0 queued]
[2020-10-26 18:57:40 #1374 INFO] classical_damage  20% [116 submitted, 0 queued]
[2020-10-26 18:57:40 #1374 INFO] classical_damage  21% [116 submitted, 0 queued]
[2020-10-26 18:57:40 #1374 INFO] classical_damage  22% [116 submitted, 0 queued]
[2020-10-26 18:57:40 #1374 INFO] classical_damage  23% [116 submitted, 0 queued]
[2020-10-26 18:57:40 #1374 INFO] classical_damage  24% [116 submitted, 0 queued]
[2020-10-26 18:57:40 #1374 INFO] classical_damage  25% [116 submitted, 0 queued]
[2020-10-26 18:57:41 #1374 INFO] classical_damage  26% [116 submitted, 0 queued]
[2020-10-26 18:57:41 #1374 INFO] classical_damage  27% [116 submitted, 0 queued]
[2020-10-26 18:57:41 #1374 INFO] classical_damage  28% [116 submitted, 0 queued]
[2020-10-26 18:57:41 #1374 INFO] classical_damage  29% [116 submitted, 0 queued]
[2020-10-26 18:57:42 #1374 INFO] classical_damage  30% [116 submitted, 0 queued]
[2020-10-26 18:57:42 #1374 INFO] classical_damage  31% [116 submitted, 0 queued]
[2020-10-26 18:57:42 #1374 INFO] classical_damage  32% [116 submitted, 0 queued]
[2020-10-26 18:57:42 #1374 INFO] classical_damage  33% [116 submitted, 0 queued]
[2020-10-26 18:57:42 #1374 INFO] classical_damage  34% [116 submitted, 0 queued]
[2020-10-26 18:57:42 #1374 INFO] classical_damage  35% [116 submitted, 0 queued]
[2020-10-26 18:57:42 #1374 INFO] classical_damage  36% [116 submitted, 0 queued]
[2020-10-26 18:57:42 #1374 INFO] classical_damage  37% [116 submitted, 0 queued]
[2020-10-26 18:57:43 #1374 INFO] classical_damage  38% [116 submitted, 0 queued]
[2020-10-26 18:57:43 #1374 INFO] classical_damage  39% [116 submitted, 0 queued]
[2020-10-26 18:57:43 #1374 INFO] classical_damage  40% [116 submitted, 0 queued]
[2020-10-26 18:57:43 #1374 INFO] classical_damage  41% [116 submitted, 0 queued]
[2020-10-26 18:57:43 #1374 INFO] classical_damage  42% [116 submitted, 0 queued]
[2020-10-26 18:57:43 #1374 INFO] classical_damage  43% [116 submitted, 0 queued]
[2020-10-26 18:57:43 #1374 INFO] classical_damage  44% [116 submitted, 0 queued]
[2020-10-26 18:57:44 #1374 INFO] classical_damage  45% [116 submitted, 0 queued]
[2020-10-26 18:57:44 #1374 INFO] classical_damage  46% [116 submitted, 0 queued]
[2020-10-26 18:57:44 #1374 INFO] classical_damage  47% [116 submitted, 0 queued]
[2020-10-26 18:57:44 #1374 INFO] classical_damage  48% [116 submitted, 0 queued]
[2020-10-26 18:57:44 #1374 INFO] classical_damage  49% [116 submitted, 0 queued]
[2020-10-26 18:57:44 #1374 INFO] classical_damage  50% [116 submitted, 0 queued]
[2020-10-26 18:57:44 #1374 INFO] classical_damage  51% [116 submitted, 0 queued]
[2020-10-26 18:57:44 #1374 INFO] classical_damage  52% [116 submitted, 0 queued]
[2020-10-26 18:57:44 #1374 INFO] classical_damage  53% [116 submitted, 0 queued]
[2020-10-26 18:57:44 #1374 INFO] classical_damage  54% [116 submitted, 0 queued]
