#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-23T19:53:07', checksum=2938527266, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,fsauid,GenOcc,GenType,loss_ratio,annual_frequency_of_exceedence
50,2.92360E+03,contents,V6B,Residential-HD,URMasonry,5.05047E-03,2.00000E-02
100,9.92187E+03,contents,V6B,Residential-HD,URMasonry,1.71399E-02,1.00000E-02
250,1.77801E+04,contents,V6B,Residential-HD,URMasonry,3.07149E-02,4.00000E-03
500,2.73140E+04,contents,V6B,Residential-HD,URMasonry,4.71844E-02,2.00000E-03
1000,4.18929E+04,contents,V6B,Residential-HD,URMasonry,7.23693E-02,1.00000E-03
2500,7.17203E+04,contents,V6B,Residential-HD,URMasonry,1.23896E-01,4.00000E-04
50,1.51097E+04,nonstructural,V6B,Residential-HD,URMasonry,2.29187E-03,2.00000E-02
100,7.97722E+04,nonstructural,V6B,Residential-HD,URMasonry,1.21000E-02,1.00000E-02
250,1.96901E+05,nonstructural,V6B,Residential-HD,URMasonry,2.98662E-02,4.00000E-03
500,3.97223E+05,nonstructural,V6B,Residential-HD,URMasonry,6.02514E-02,2.00000E-03
1000,7.99701E+05,nonstructural,V6B,Residential-HD,URMasonry,1.21300E-01,1.00000E-03
2500,1.97002E+06,nonstructural,V6B,Residential-HD,URMasonry,2.98816E-01,4.00000E-04
250,1.65412E-06,occupants,V6B,Residential-HD,URMasonry,1.73752E-07,4.00000E-03
500,1.30176E-05,occupants,V6B,Residential-HD,URMasonry,1.36739E-06,2.00000E-03
1000,1.06796E-04,occupants,V6B,Residential-HD,URMasonry,1.12181E-05,1.00000E-03
2500,1.50995E-03,occupants,V6B,Residential-HD,URMasonry,1.58608E-04,4.00000E-04
50,1.99762E+02,structural,V6B,Residential-HD,URMasonry,1.38034E-04,2.00000E-02
100,5.38764E+03,structural,V6B,Residential-HD,URMasonry,3.72282E-03,1.00000E-02
250,2.29234E+04,structural,V6B,Residential-HD,URMasonry,1.58400E-02,4.00000E-03
500,6.30705E+04,structural,V6B,Residential-HD,URMasonry,4.35814E-02,2.00000E-03
1000,1.54807E+05,structural,V6B,Residential-HD,URMasonry,1.06971E-01,1.00000E-03
2500,4.47442E+05,structural,V6B,Residential-HD,URMasonry,3.09180E-01,4.00000E-04
50,8.52443E+00,contents,V6B,Residential-HD,Concrete,1.02261E-05,2.00000E-02
100,8.98416E+01,contents,V6B,Residential-HD,Concrete,1.07776E-04,1.00000E-02
250,2.57671E+03,contents,V6B,Residential-HD,Concrete,3.09107E-03,4.00000E-03
500,1.36279E+04,contents,V6B,Residential-HD,Concrete,1.63482E-02,2.00000E-03
1000,4.10454E+04,contents,V6B,Residential-HD,Concrete,4.92388E-02,1.00000E-03
2500,1.22618E+05,contents,V6B,Residential-HD,Concrete,1.47094E-01,4.00000E-04
50,1.26309E+03,nonstructural,V6B,Residential-HD,Concrete,1.33044E-04,2.00000E-02
100,1.00030E+04,nonstructural,V6B,Residential-HD,Concrete,1.05364E-03,1.00000E-02
250,6.75009E+04,nonstructural,V6B,Residential-HD,Concrete,7.11003E-03,4.00000E-03
500,1.89262E+05,nonstructural,V6B,Residential-HD,Concrete,1.99354E-02,2.00000E-03
1000,4.86793E+05,nonstructural,V6B,Residential-HD,Concrete,5.12750E-02,1.00000E-03
2500,1.33807E+06,nonstructural,V6B,Residential-HD,Concrete,1.40942E-01,4.00000E-04
100,7.40239E-06,occupants,V6B,Residential-HD,Concrete,5.07708E-07,1.00000E-02
250,4.47842E-04,occupants,V6B,Residential-HD,Concrete,3.07162E-05,4.00000E-03
500,3.59936E-03,occupants,V6B,Residential-HD,Concrete,2.46870E-04,2.00000E-03
1000,1.38834E-02,occupants,V6B,Residential-HD,Concrete,9.52224E-04,1.00000E-03
2500,3.61650E-02,occupants,V6B,Residential-HD,Concrete,2.48045E-03,4.00000E-04
50,9.40079E+01,structural,V6B,Residential-HD,Concrete,4.51094E-05,2.00000E-02
100,1.87085E+03,structural,V6B,Residential-HD,Concrete,8.97724E-04,1.00000E-02
250,3.34783E+04,structural,V6B,Residential-HD,Concrete,1.60645E-02,4.00000E-03
500,7.78392E+04,structural,V6B,Residential-HD,Concrete,3.73510E-02,2.00000E-03
1000,2.41403E+05,structural,V6B,Residential-HD,Concrete,1.15837E-01,1.00000E-03
2500,4.33910E+05,structural,V6B,Residential-HD,Concrete,2.08211E-01,4.00000E-04
25,7.63633E+03,contents,V6B,Commercial,URMasonry,2.30587E-04,4.00000E-02
50,1.78549E+05,contents,V6B,Commercial,URMasonry,5.39145E-03,2.00000E-02
100,3.85074E+05,contents,V6B,Commercial,URMasonry,1.16277E-02,1.00000E-02
250,9.95653E+05,contents,V6B,Commercial,URMasonry,3.00647E-02,4.00000E-03
500,1.36011E+06,contents,V6B,Commercial,URMasonry,4.10698E-02,2.00000E-03
1000,2.70906E+06,contents,V6B,Commercial,URMasonry,8.18028E-02,1.00000E-03
2500,3.20712E+06,contents,V6B,Commercial,URMasonry,9.68422E-02,4.00000E-04
25,5.72777E+03,nonstructural,V6B,Commercial,URMasonry,9.54046E-05,4.00000E-02
50,1.68400E+05,nonstructural,V6B,Commercial,URMasonry,2.80495E-03,2.00000E-02
100,4.60290E+05,nonstructural,V6B,Commercial,URMasonry,7.66683E-03,1.00000E-02
250,2.27596E+06,nonstructural,V6B,Commercial,URMasonry,3.79096E-02,4.00000E-03
500,4.02513E+06,nonstructural,V6B,Commercial,URMasonry,6.70447E-02,2.00000E-03
1000,1.01354E+07,nonstructural,V6B,Commercial,URMasonry,1.68820E-01,1.00000E-03
2500,1.31264E+07,nonstructural,V6B,Commercial,URMasonry,2.18640E-01,4.00000E-04
100,6.43042E-05,occupants,V6B,Commercial,URMasonry,5.64146E-08,1.00000E-02
250,5.53651E-03,occupants,V6B,Commercial,URMasonry,4.85723E-06,4.00000E-03
500,8.34238E-02,occupants,V6B,Commercial,URMasonry,7.31884E-05,2.00000E-03
1000,2.56954E-01,occupants,V6B,Commercial,URMasonry,2.25428E-04,1.00000E-03
2500,8.44005E-01,occupants,V6B,Commercial,URMasonry,7.40453E-04,4.00000E-04
