#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-06-10T07:15:16', checksum=2936889068, risk_investigation_time=1.0, kind='agg_curves-quantile-0.5'"
return_period,loss_value,loss_type,fsauid,GenOcc,GenType,loss_ratio,annual_frequency_of_exceedence
25,9.65827E+02,contents,V6B,Residential-HD,URMasonry,1.66845E-03,4.00000E-02
50,5.27966E+03,contents,V6B,Residential-HD,URMasonry,9.12053E-03,2.00000E-02
100,1.15180E+04,contents,V6B,Residential-HD,URMasonry,1.98971E-02,1.00000E-02
250,2.51173E+04,contents,V6B,Residential-HD,URMasonry,4.33897E-02,4.00000E-03
500,3.87567E+04,contents,V6B,Residential-HD,URMasonry,6.69516E-02,2.00000E-03
1000,5.49905E+04,contents,V6B,Residential-HD,URMasonry,9.49952E-02,1.00000E-03
2500,7.84420E+04,contents,V6B,Residential-HD,URMasonry,1.35507E-01,4.00000E-04
25,4.41477E+03,nonstructural,V6B,Residential-HD,URMasonry,6.69639E-04,4.00000E-02
50,3.17350E+04,nonstructural,V6B,Residential-HD,URMasonry,4.81362E-03,2.00000E-02
100,1.00137E+05,nonstructural,V6B,Residential-HD,URMasonry,1.51890E-02,1.00000E-02
250,3.41624E+05,nonstructural,V6B,Residential-HD,URMasonry,5.18181E-02,4.00000E-03
500,6.98964E+05,nonstructural,V6B,Residential-HD,URMasonry,1.06020E-01,2.00000E-03
1000,1.25455E+06,nonstructural,V6B,Residential-HD,URMasonry,1.90292E-01,1.00000E-03
2500,2.21167E+06,nonstructural,V6B,Residential-HD,URMasonry,3.35469E-01,4.00000E-04
250,9.52000E-06,occupants,V6B,Residential-HD,URMasonry,1.00000E-06,4.00000E-03
500,1.96422E-04,occupants,V6B,Residential-HD,URMasonry,2.06325E-05,2.00000E-03
1000,1.55706E-03,occupants,V6B,Residential-HD,URMasonry,1.63557E-04,1.00000E-03
2500,9.72261E-03,occupants,V6B,Residential-HD,URMasonry,1.02128E-03,4.00000E-04
25,4.68197E+00,structural,V6B,Residential-HD,URMasonry,3.23521E-06,4.00000E-02
50,9.43962E+02,structural,V6B,Residential-HD,URMasonry,6.52272E-04,2.00000E-02
100,7.89398E+03,structural,V6B,Residential-HD,URMasonry,5.45469E-03,1.00000E-02
250,5.07787E+04,structural,V6B,Residential-HD,URMasonry,3.50878E-02,4.00000E-03
500,1.30733E+05,structural,V6B,Residential-HD,URMasonry,9.03355E-02,2.00000E-03
1000,2.65581E+05,structural,V6B,Residential-HD,URMasonry,1.83515E-01,1.00000E-03
2500,5.06528E+05,structural,V6B,Residential-HD,URMasonry,3.50008E-01,4.00000E-04
25,2.55867E+00,contents,V6B,Residential-HD,Concrete,3.06943E-06,4.00000E-02
50,4.52115E+01,contents,V6B,Residential-HD,Concrete,5.42366E-05,2.00000E-02
100,4.67070E+02,contents,V6B,Residential-HD,Concrete,5.60306E-04,1.00000E-02
250,4.40973E+03,contents,V6B,Residential-HD,Concrete,5.28999E-03,4.00000E-03
500,1.34158E+04,contents,V6B,Residential-HD,Concrete,1.60939E-02,2.00000E-03
1000,3.07483E+04,contents,V6B,Residential-HD,Concrete,3.68863E-02,1.00000E-03
2500,6.70758E+04,contents,V6B,Residential-HD,Concrete,8.04654E-02,4.00000E-04
25,2.33773E+02,nonstructural,V6B,Residential-HD,Concrete,2.46239E-05,4.00000E-02
50,4.60625E+03,nonstructural,V6B,Residential-HD,Concrete,4.85188E-04,2.00000E-02
100,2.01045E+04,nonstructural,V6B,Residential-HD,Concrete,2.11765E-03,1.00000E-02
250,8.67124E+04,nonstructural,V6B,Residential-HD,Concrete,9.13363E-03,4.00000E-03
500,1.97233E+05,nonstructural,V6B,Residential-HD,Concrete,2.07751E-02,2.00000E-03
1000,3.83495E+05,nonstructural,V6B,Residential-HD,Concrete,4.03945E-02,1.00000E-03
2500,7.65802E+05,nonstructural,V6B,Residential-HD,Concrete,8.06637E-02,4.00000E-04
100,3.70478E-05,occupants,V6B,Residential-HD,Concrete,2.54100E-06,1.00000E-02
250,9.36932E-04,occupants,V6B,Residential-HD,Concrete,6.42614E-05,4.00000E-03
500,3.89272E-03,occupants,V6B,Residential-HD,Concrete,2.66990E-04,2.00000E-03
1000,1.00380E-02,occupants,V6B,Residential-HD,Concrete,6.88480E-04,1.00000E-03
2500,2.29737E-02,occupants,V6B,Residential-HD,Concrete,1.57570E-03,4.00000E-04
25,6.43975E+00,structural,V6B,Residential-HD,Concrete,3.09010E-06,4.00000E-02
50,6.01076E+02,structural,V6B,Residential-HD,Concrete,2.88425E-04,2.00000E-02
100,5.49816E+03,structural,V6B,Residential-HD,Concrete,2.63828E-03,1.00000E-02
250,3.79355E+04,structural,V6B,Residential-HD,Concrete,1.82033E-02,4.00000E-03
500,9.22779E+04,structural,V6B,Residential-HD,Concrete,4.42793E-02,2.00000E-03
1000,1.87093E+05,structural,V6B,Residential-HD,Concrete,8.97761E-02,1.00000E-03
2500,3.82972E+05,structural,V6B,Residential-HD,Concrete,1.83768E-01,4.00000E-04
25,1.06115E+05,contents,V6B,Commercial,URMasonry,3.20424E-03,4.00000E-02
50,3.42947E+05,contents,V6B,Commercial,URMasonry,1.03556E-02,2.00000E-02
100,7.06414E+05,contents,V6B,Commercial,URMasonry,2.13309E-02,1.00000E-02
250,1.41378E+06,contents,V6B,Commercial,URMasonry,4.26906E-02,4.00000E-03
500,2.05971E+06,contents,V6B,Commercial,URMasonry,6.21950E-02,2.00000E-03
1000,2.81004E+06,contents,V6B,Commercial,URMasonry,8.48521E-02,1.00000E-03
2500,3.87345E+06,contents,V6B,Commercial,URMasonry,1.16963E-01,4.00000E-04
25,9.70396E+04,nonstructural,V6B,Commercial,URMasonry,1.61634E-03,4.00000E-02
50,4.04969E+05,nonstructural,V6B,Commercial,URMasonry,6.74537E-03,2.00000E-02
100,1.20241E+06,nonstructural,V6B,Commercial,URMasonry,2.00280E-02,1.00000E-02
250,3.60084E+06,nonstructural,V6B,Commercial,URMasonry,5.99774E-02,4.00000E-03
500,6.67552E+06,nonstructural,V6B,Commercial,URMasonry,1.11191E-01,2.00000E-03
1000,1.10031E+07,nonstructural,V6B,Commercial,URMasonry,1.83274E-01,1.00000E-03
2500,1.81584E+07,nonstructural,V6B,Commercial,URMasonry,3.02455E-01,4.00000E-04
100,1.08341E-03,occupants,V6B,Commercial,URMasonry,9.50485E-07,1.00000E-02
250,3.68771E-02,occupants,V6B,Commercial,URMasonry,3.23526E-05,4.00000E-03
500,1.84997E-01,occupants,V6B,Commercial,URMasonry,1.62300E-04,2.00000E-03
1000,5.37585E-01,occupants,V6B,Commercial,URMasonry,4.71628E-04,1.00000E-03
2500,1.38622E+00,occupants,V6B,Commercial,URMasonry,1.21614E-03,4.00000E-04
25,6.18275E+03,structural,V6B,Commercial,URMasonry,1.68025E-04,4.00000E-02
50,7.14923E+04,structural,V6B,Commercial,URMasonry,1.94290E-03,2.00000E-02
100,3.92327E+05,structural,V6B,Commercial,URMasonry,1.06620E-02,1.00000E-02
250,1.74031E+06,structural,V6B,Commercial,URMasonry,4.72955E-02,4.00000E-03
500,3.74016E+06,structural,V6B,Commercial,URMasonry,1.01644E-01,2.00000E-03
1000,6.68016E+06,structural,V6B,Commercial,URMasonry,1.81543E-01,1.00000E-03
2500,1.16937E+07,structural,V6B,Commercial,URMasonry,3.17794E-01,4.00000E-04
25,9.17102E+01,contents,V6B,Commercial,Concrete,1.85121E-05,4.00000E-02
50,1.50911E+03,contents,V6B,Commercial,Concrete,3.04621E-04,2.00000E-02
100,1.35092E+04,contents,V6B,Commercial,Concrete,2.72690E-03,1.00000E-02
250,8.64248E+04,contents,V6B,Commercial,Concrete,1.74453E-02,4.00000E-03
500,2.21898E+05,contents,V6B,Commercial,Concrete,4.47912E-02,2.00000E-03
1000,4.41125E+05,contents,V6B,Commercial,Concrete,8.90433E-02,1.00000E-03
2500,8.28925E+05,contents,V6B,Commercial,Concrete,1.67323E-01,4.00000E-04
