#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-23T21:10:19', checksum=2941869603, risk_investigation_time=1.0, kind='agg_curves-quantile-0.95'"
return_period,loss_value,loss_type,fsauid,GenOcc,GenType,loss_ratio,annual_frequency_of_exceedence
25,1.22274E+03,contents,V6B,Residential-HD,URMasonry,2.11226E-03,4.00000E-02
50,5.04309E+03,contents,V6B,Residential-HD,URMasonry,8.71186E-03,2.00000E-02
100,1.24598E+04,contents,V6B,Residential-HD,URMasonry,2.15241E-02,1.00000E-02
250,2.40698E+04,contents,V6B,Residential-HD,URMasonry,4.15803E-02,4.00000E-03
500,4.20619E+04,contents,V6B,Residential-HD,URMasonry,7.26613E-02,2.00000E-03
1000,6.24120E+04,contents,V6B,Residential-HD,URMasonry,1.07816E-01,1.00000E-03
2500,8.30471E+04,contents,V6B,Residential-HD,URMasonry,1.43463E-01,4.00000E-04
25,5.65647E+03,nonstructural,V6B,Residential-HD,URMasonry,8.57983E-04,4.00000E-02
50,3.05767E+04,nonstructural,V6B,Residential-HD,URMasonry,4.63793E-03,2.00000E-02
100,1.15311E+05,nonstructural,V6B,Residential-HD,URMasonry,1.74906E-02,1.00000E-02
250,3.21366E+05,nonstructural,V6B,Residential-HD,URMasonry,4.87453E-02,4.00000E-03
500,8.05483E+05,nonstructural,V6B,Residential-HD,URMasonry,1.22177E-01,2.00000E-03
1000,1.55100E+06,nonstructural,V6B,Residential-HD,URMasonry,2.35258E-01,1.00000E-03
2500,2.40976E+06,nonstructural,V6B,Residential-HD,URMasonry,3.65516E-01,4.00000E-04
250,8.56800E-06,occupants,V6B,Residential-HD,URMasonry,9.00000E-07,4.00000E-03
500,8.85801E-05,occupants,V6B,Residential-HD,URMasonry,9.30463E-06,2.00000E-03
1000,9.80771E-04,occupants,V6B,Residential-HD,URMasonry,1.03022E-04,1.00000E-03
2500,5.92752E-03,occupants,V6B,Residential-HD,URMasonry,6.22639E-04,4.00000E-04
25,1.14677E+01,structural,V6B,Residential-HD,URMasonry,7.92414E-06,4.00000E-02
50,9.46747E+02,structural,V6B,Residential-HD,URMasonry,6.54196E-04,2.00000E-02
100,1.02556E+04,structural,V6B,Residential-HD,URMasonry,7.08656E-03,1.00000E-02
250,4.69356E+04,structural,V6B,Residential-HD,URMasonry,3.24322E-02,4.00000E-03
500,1.56225E+05,structural,V6B,Residential-HD,URMasonry,1.07950E-01,2.00000E-03
1000,3.39891E+05,structural,V6B,Residential-HD,URMasonry,2.34862E-01,1.00000E-03
2500,5.56949E+05,structural,V6B,Residential-HD,URMasonry,3.84848E-01,4.00000E-04
25,3.21303E+00,contents,V6B,Residential-HD,Concrete,3.85441E-06,4.00000E-02
50,4.53141E+01,contents,V6B,Residential-HD,Concrete,5.43596E-05,2.00000E-02
100,5.10706E+02,contents,V6B,Residential-HD,Concrete,6.12653E-04,1.00000E-02
250,3.30775E+03,contents,V6B,Residential-HD,Concrete,3.96804E-03,4.00000E-03
500,9.97620E+03,contents,V6B,Residential-HD,Concrete,1.19676E-02,2.00000E-03
1000,1.92606E+04,contents,V6B,Residential-HD,Concrete,2.31053E-02,1.00000E-03
2500,4.30499E+04,contents,V6B,Residential-HD,Concrete,5.16435E-02,4.00000E-04
25,4.09201E+02,nonstructural,V6B,Residential-HD,Concrete,4.31021E-05,4.00000E-02
50,4.90889E+03,nonstructural,V6B,Residential-HD,Concrete,5.17065E-04,2.00000E-02
100,1.92800E+04,nonstructural,V6B,Residential-HD,Concrete,2.03081E-03,1.00000E-02
250,7.10016E+04,nonstructural,V6B,Residential-HD,Concrete,7.47876E-03,4.00000E-03
500,1.59171E+05,nonstructural,V6B,Residential-HD,Concrete,1.67659E-02,2.00000E-03
1000,3.78356E+05,nonstructural,V6B,Residential-HD,Concrete,3.98531E-02,1.00000E-03
2500,5.89119E+05,nonstructural,V6B,Residential-HD,Concrete,6.20533E-02,4.00000E-04
100,4.11499E-05,occupants,V6B,Residential-HD,Concrete,2.82235E-06,1.00000E-02
250,6.66018E-04,occupants,V6B,Residential-HD,Concrete,4.56802E-05,4.00000E-03
500,2.84801E-03,occupants,V6B,Residential-HD,Concrete,1.95337E-04,2.00000E-03
1000,8.05308E-03,occupants,V6B,Residential-HD,Concrete,5.52338E-04,1.00000E-03
2500,1.71267E-02,occupants,V6B,Residential-HD,Concrete,1.17467E-03,4.00000E-04
25,1.53614E+01,structural,V6B,Residential-HD,Concrete,7.37112E-06,4.00000E-02
50,6.62114E+02,structural,V6B,Residential-HD,Concrete,3.17714E-04,2.00000E-02
100,5.58923E+03,structural,V6B,Residential-HD,Concrete,2.68198E-03,1.00000E-02
250,2.73601E+04,structural,V6B,Residential-HD,Concrete,1.31287E-02,4.00000E-03
500,8.20429E+04,structural,V6B,Residential-HD,Concrete,3.93681E-02,2.00000E-03
1000,2.18604E+05,structural,V6B,Residential-HD,Concrete,1.04897E-01,1.00000E-03
2500,4.24779E+05,structural,V6B,Residential-HD,Concrete,2.03829E-01,4.00000E-04
25,9.47423E+04,contents,V6B,Commercial,URMasonry,2.86084E-03,4.00000E-02
50,3.17933E+05,contents,V6B,Commercial,URMasonry,9.60030E-03,2.00000E-02
100,6.88702E+05,contents,V6B,Commercial,URMasonry,2.07960E-02,1.00000E-02
250,1.42033E+06,contents,V6B,Commercial,URMasonry,4.28884E-02,4.00000E-03
500,1.92388E+06,contents,V6B,Commercial,URMasonry,5.80934E-02,2.00000E-03
1000,2.25306E+06,contents,V6B,Commercial,URMasonry,6.80335E-02,1.00000E-03
2500,3.67875E+06,contents,V6B,Commercial,URMasonry,1.11084E-01,4.00000E-04
25,8.47281E+04,nonstructural,V6B,Commercial,URMasonry,1.41127E-03,4.00000E-02
50,3.78446E+05,nonstructural,V6B,Commercial,URMasonry,6.30359E-03,2.00000E-02
100,1.11658E+06,nonstructural,V6B,Commercial,URMasonry,1.85983E-02,1.00000E-02
250,3.67893E+06,nonstructural,V6B,Commercial,URMasonry,6.12782E-02,4.00000E-03
500,6.30033E+06,nonstructural,V6B,Commercial,URMasonry,1.04941E-01,2.00000E-03
1000,7.90758E+06,nonstructural,V6B,Commercial,URMasonry,1.31713E-01,1.00000E-03
2500,1.71422E+07,nonstructural,V6B,Commercial,URMasonry,2.85530E-01,4.00000E-04
100,1.20021E-03,occupants,V6B,Commercial,URMasonry,1.05295E-06,1.00000E-02
250,3.63584E-02,occupants,V6B,Commercial,URMasonry,3.18976E-05,4.00000E-03
500,1.13976E-01,occupants,V6B,Commercial,URMasonry,9.99922E-05,2.00000E-03
1000,3.48277E-01,occupants,V6B,Commercial,URMasonry,3.05547E-04,1.00000E-03
2500,1.62535E+00,occupants,V6B,Commercial,URMasonry,1.42593E-03,4.00000E-04
25,5.48187E+03,structural,V6B,Commercial,URMasonry,1.48977E-04,4.00000E-02
50,7.15814E+04,structural,V6B,Commercial,URMasonry,1.94532E-03,2.00000E-02
