#,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-02T21:45:15', checksum=1432318484, investigation_time=1.0, risk_investigation_time=1.0"
loss_type,fsauid,GenOcc,GenType,loss_value,exposed_value,loss_ratio
contents,V6B,Residential-HD,URMasonry,1.99137E+02,5.78876E+05,3.44007E-04
nonstructural,V6B,Residential-HD,URMasonry,2.70582E+03,6.59276E+06,4.10423E-04
occupants,V6B,Residential-HD,URMasonry,7.87714E-06,9.52000E+00,8.27431E-07
structural,V6B,Residential-HD,URMasonry,3.96223E+02,1.44719E+06,2.73787E-04
contents,V6B,Residential-HD,Concrete,6.40874E+01,8.33598E+05,7.68805E-05
nonstructural,V6B,Residential-HD,Concrete,1.02845E+03,9.49376E+06,1.08329E-04
occupants,V6B,Residential-HD,Concrete,1.87486E-05,1.45800E+01,1.28591E-06
structural,V6B,Residential-HD,Concrete,4.43626E+02,2.08400E+06,2.12873E-04
contents,V6B,Commercial,URMasonry,1.46838E+04,3.31170E+07,4.43393E-04
nonstructural,V6B,Commercial,URMasonry,3.24147E+04,6.00366E+07,5.39916E-04
occupants,V6B,Commercial,URMasonry,1.01806E-03,1.13985E+03,8.93152E-07
structural,V6B,Commercial,URMasonry,1.44061E+04,3.67966E+07,3.91507E-04
contents,V6B,Commercial,Concrete,8.67735E+02,4.95405E+06,1.75157E-04
nonstructural,V6B,Commercial,Concrete,1.17535E+03,8.98103E+06,1.30870E-04
occupants,V6B,Commercial,Concrete,2.44982E-04,1.36420E+02,1.79579E-06
structural,V6B,Commercial,Concrete,8.00677E+02,5.50450E+06,1.45459E-04
contents,V6B,Commercial,Steel,3.33404E+02,1.95912E+06,1.70180E-04
nonstructural,V6B,Commercial,Steel,3.95415E+02,3.55163E+06,1.11333E-04
occupants,V6B,Commercial,Steel,7.45518E-05,6.80400E+01,1.09571E-06
structural,V6B,Commercial,Steel,3.22091E+02,2.17680E+06,1.47965E-04
contents,V6B,Commercial,Wood,1.78337E+02,7.61748E+05,2.34116E-04
nonstructural,V6B,Commercial,Wood,3.07683E+02,1.38095E+06,2.22806E-04
occupants,V6B,Commercial,Wood,1.50173E-05,4.75500E+01,3.15821E-07
structural,V6B,Commercial,Wood,8.23087E+02,8.46387E+05,9.72472E-04
contents,V6B,Commercial,RMasonry,3.82656E+01,1.99728E+05,1.91589E-04
nonstructural,V6B,Commercial,RMasonry,6.14229E+01,3.62080E+05,1.69639E-04
occupants,V6B,Commercial,RMasonry,8.60090E-06,5.32000E+00,1.61671E-06
structural,V6B,Commercial,RMasonry,2.82982E+01,2.21920E+05,1.27515E-04
contents,V6B,Industrial,URMasonry,2.38013E+03,4.91638E+06,4.84123E-04
nonstructural,V6B,Industrial,URMasonry,5.70069E+03,9.84624E+06,5.78971E-04
occupants,V6B,Industrial,URMasonry,5.51229E-05,5.89200E+01,9.35555E-07
structural,V6B,Industrial,URMasonry,1.62949E+03,3.64176E+06,4.47447E-04
contents,V6B,Industrial,Wood,2.87853E+02,1.22953E+06,2.34116E-04
nonstructural,V6B,Industrial,Wood,4.96641E+02,2.46244E+06,2.01687E-04
occupants,V6B,Industrial,Wood,3.37613E-06,1.06900E+01,3.15821E-07
structural,V6B,Industrial,Wood,9.93295E+02,9.10764E+05,1.09062E-03
contents,V6B,Residential-MD,URMasonry,4.66103E+01,1.02935E+05,4.52814E-04
nonstructural,V6B,Residential-MD,URMasonry,6.91845E+02,1.17231E+06,5.90154E-04
occupants,V6B,Residential-MD,URMasonry,1.42568E-06,1.34000E+00,1.06394E-06
structural,V6B,Residential-MD,URMasonry,1.10734E+02,2.57337E+05,4.30307E-04
contents,V6B,Civic,URMasonry,2.15018E+02,5.15531E+05,4.17079E-04
nonstructural,V6B,Civic,URMasonry,1.16112E+03,2.34853E+06,4.94402E-04
occupants,V6B,Civic,URMasonry,3.16834E-05,3.62400E+01,8.74265E-07
structural,V6B,Civic,URMasonry,1.82690E+02,5.15531E+05,3.54372E-04
contents,V6Z,Residential-HD,URMasonry,2.37251E+02,5.78876E+05,4.09847E-04
nonstructural,V6Z,Residential-HD,URMasonry,3.41340E+03,6.59276E+06,5.17751E-04
occupants,V6Z,Residential-HD,URMasonry,8.56760E-06,9.52000E+00,8.99958E-07
structural,V6Z,Residential-HD,URMasonry,5.97929E+02,1.44719E+06,4.13165E-04
contents,V6Z,Commercial,URMasonry,3.61944E+03,8.95089E+06,4.04366E-04
nonstructural,V6Z,Commercial,URMasonry,8.30995E+03,1.62268E+07,5.12114E-04
occupants,V6Z,Commercial,URMasonry,3.31838E-04,3.36000E+02,9.87614E-07
structural,V6Z,Commercial,URMasonry,3.91348E+03,9.94544E+06,3.93495E-04
contents,V6Z,Commercial,Concrete,3.95276E+02,1.99629E+06,1.98005E-04
nonstructural,V6Z,Commercial,Concrete,5.20737E+02,3.61900E+06,1.43890E-04
occupants,V6Z,Commercial,Concrete,9.94005E-05,4.17700E+01,2.37971E-06
structural,V6Z,Commercial,Concrete,3.27531E+02,2.21810E+06,1.47663E-04
contents,V6Z,Commercial,Steel,2.00332E+02,4.67138E+06,4.28850E-05
nonstructural,V6Z,Commercial,Steel,3.54568E+02,8.46858E+06,4.18686E-05
occupants,V6Z,Commercial,Steel,1.87876E-05,7.27300E+01,2.58320E-07
structural,V6Z,Commercial,Steel,7.17311E+02,5.19042E+06,1.38199E-04
contents,V6Z,Commercial,Wood,4.75912E+01,1.99728E+05,2.38280E-04
nonstructural,V6Z,Commercial,Wood,8.17144E+01,3.62080E+05,2.25681E-04
occupants,V6Z,Commercial,Wood,1.70125E-06,5.32000E+00,3.19785E-07
structural,V6Z,Commercial,Wood,1.96741E+02,2.21920E+05,8.86540E-04
contents,V6Z,Residential-MD,URMasonry,1.15689E+02,2.77893E+05,4.16309E-04
nonstructural,V6Z,Residential-MD,URMasonry,1.76561E+03,3.16489E+06,5.57873E-04
occupants,V6Z,Residential-MD,URMasonry,5.04155E-06,5.02000E+00,1.00429E-06
structural,V6Z,Residential-MD,URMasonry,2.93355E+02,6.94732E+05,4.22255E-04
contents,V6Z,Civic,URMasonry,3.78417E+02,1.02805E+06,3.68091E-04
