#,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-24T08:07:57', checksum=2936561330, investigation_time=1.0, risk_investigation_time=1.0"
loss_type,fsauid,GenOcc,GenType,loss_value,exposed_value,loss_ratio
contents,V6B,Residential-HD,URMasonry,4.75323E+02,5.78876E+05,8.21113E-04
nonstructural,V6B,Residential-HD,URMasonry,6.61195E+03,6.59276E+06,1.00291E-03
occupants,V6B,Residential-HD,URMasonry,8.22518E-06,9.52000E+00,8.63990E-07
structural,V6B,Residential-HD,URMasonry,1.07810E+03,1.44719E+06,7.44963E-04
contents,V6B,Residential-HD,Concrete,7.09355E+01,8.33598E+05,8.50956E-05
nonstructural,V6B,Residential-HD,Concrete,1.11106E+03,9.49376E+06,1.17031E-04
occupants,V6B,Residential-HD,Concrete,1.88927E-05,1.45800E+01,1.29579E-06
structural,V6B,Residential-HD,Concrete,4.34895E+02,2.08400E+06,2.08683E-04
contents,V6B,Commercial,URMasonry,2.24596E+04,3.31170E+07,6.78191E-04
nonstructural,V6B,Commercial,URMasonry,4.93085E+04,6.00366E+07,8.21308E-04
occupants,V6B,Commercial,URMasonry,1.24377E-03,1.13985E+03,1.09117E-06
structural,V6B,Commercial,URMasonry,2.23199E+04,3.67966E+07,6.06575E-04
contents,V6B,Commercial,Concrete,1.13295E+03,4.95405E+06,2.28691E-04
nonstructural,V6B,Commercial,Concrete,1.58269E+03,8.98103E+06,1.76226E-04
occupants,V6B,Commercial,Concrete,2.79747E-04,1.36420E+02,2.05063E-06
structural,V6B,Commercial,Concrete,1.06603E+03,5.50450E+06,1.93665E-04
contents,V6B,Commercial,Steel,7.06247E+02,1.95912E+06,3.60491E-04
nonstructural,V6B,Commercial,Steel,8.43157E+02,3.55163E+06,2.37400E-04
occupants,V6B,Commercial,Steel,1.19638E-04,6.80400E+01,1.75835E-06
structural,V6B,Commercial,Steel,6.88250E+02,2.17680E+06,3.16175E-04
contents,V6B,Commercial,Wood,2.10656E+02,7.61748E+05,2.76543E-04
nonstructural,V6B,Commercial,Wood,3.70451E+02,1.38095E+06,2.68259E-04
occupants,V6B,Commercial,Wood,1.82361E-05,4.75500E+01,3.83514E-07
structural,V6B,Commercial,Wood,1.17136E+03,8.46387E+05,1.38395E-03
