rlz_id,branch_path,weight
0,0~0CLUS,2.0000000e-02
1,0~3HKVS,2.0000000e-02
2,0~1BNVS,2.0000000e-02
3,0~2ALVS,2.0000000e-02
4,0~34KST,2.0000000e-02
5,0~2ANTU,2.0000000e-02
6,0~29LVU,2.0000000e-02
7,0~3DNTT,2.0000000e-02
8,0~1JKVT,2.0000000e-02
9,0~1ALTS,2.0000000e-02
10,0~0CMST,2.0000000e-02
11,0~04MTS,2.0000000e-02
12,0~2EKTU,2.0000000e-02
13,0~1ALVU,2.0000000e-02
14,0~2ALVS,2.0000000e-02
15,1~34MSU,2.0000000e-02
16,1~2FNTU,2.0000000e-02
17,1~3BLTT,2.0000000e-02
18,1~3ANVU,2.0000000e-02
19,1~0HNSU,2.0000000e-02
20,1~1AMUT,2.0000000e-02
21,1~0ENSS,2.0000000e-02
22,2~1ANST,2.0000000e-02
23,2~2ALVS,2.0000000e-02
24,2~0ANTS,2.0000000e-02
25,2~37MTU,2.0000000e-02
26,2~24LTS,2.0000000e-02
27,2~04MST,2.0000000e-02
28,2~3FNST,2.0000000e-02
29,2~0AMTU,2.0000000e-02
30,2~2BKUU,2.0000000e-02
31,2~1ANTT,2.0000000e-02
32,2~2BKUV,2.0000000e-02
33,3~3BKST,2.0000000e-02
34,3~25LTV,2.0000000e-02
35,3~3DMSV,2.0000000e-02
36,3~3GKVS,2.0000000e-02
37,3~3ANTU,2.0000000e-02
38,3~39MVU,2.0000000e-02
39,3~1ANVU,2.0000000e-02
40,3~3JKSU,2.0000000e-02
41,4~25MUT,2.0000000e-02
42,4~08MSU,2.0000000e-02
43,4~3BLTU,2.0000000e-02
44,4~1AMTS,2.0000000e-02
45,4~3DKUS,2.0000000e-02
46,4~29NSV,2.0000000e-02
47,5~17LSU,2.0000000e-02
48,5~19KSU,2.0000000e-02
49,5~0ANTS,2.0000000e-02
