#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-06-05T04:15:26', checksum=1516592829, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,fsauid,GenOcc,GenType,loss_ratio,annual_frequency_of_exceedence
10,2.30580E+01,contents,V6B,Residential-HD,URMasonry,3.98323E-05,1.00000E-01
25,1.72426E+03,contents,V6B,Residential-HD,URMasonry,2.97863E-03,4.00000E-02
50,5.85065E+03,contents,V6B,Residential-HD,URMasonry,1.01069E-02,2.00000E-02
100,1.21950E+04,contents,V6B,Residential-HD,URMasonry,2.10667E-02,1.00000E-02
250,2.53284E+04,contents,V6B,Residential-HD,URMasonry,4.37545E-02,4.00000E-03
500,3.87474E+04,contents,V6B,Residential-HD,URMasonry,6.69356E-02,2.00000E-03
1000,5.45547E+04,contents,V6B,Residential-HD,URMasonry,9.42424E-02,1.00000E-03
2500,7.78221E+04,contents,V6B,Residential-HD,URMasonry,1.34436E-01,4.00000E-04
10,1.04647E+02,nonstructural,V6B,Residential-HD,URMasonry,1.58731E-05,1.00000E-01
25,9.29386E+03,nonstructural,V6B,Residential-HD,URMasonry,1.40971E-03,4.00000E-02
50,4.02565E+04,nonstructural,V6B,Residential-HD,URMasonry,6.10617E-03,2.00000E-02
100,1.16206E+05,nonstructural,V6B,Residential-HD,URMasonry,1.76264E-02,1.00000E-02
250,3.61559E+05,nonstructural,V6B,Residential-HD,URMasonry,5.48418E-02,4.00000E-03
500,7.20535E+05,nonstructural,V6B,Residential-HD,URMasonry,1.09292E-01,2.00000E-03
1000,1.25965E+06,nonstructural,V6B,Residential-HD,URMasonry,1.91065E-01,1.00000E-03
2500,2.19026E+06,nonstructural,V6B,Residential-HD,URMasonry,3.32222E-01,4.00000E-04
100,1.01961E-07,occupants,V6B,Residential-HD,URMasonry,1.07102E-08,1.00000E-02
250,3.30838E-05,occupants,V6B,Residential-HD,URMasonry,3.47519E-06,4.00000E-03
500,3.68103E-04,occupants,V6B,Residential-HD,URMasonry,3.86663E-05,2.00000E-03
1000,2.13710E-03,occupants,V6B,Residential-HD,URMasonry,2.24485E-04,1.00000E-03
2500,1.08843E-02,occupants,V6B,Residential-HD,URMasonry,1.14331E-03,4.00000E-04
10,9.93205E-03,structural,V6B,Residential-HD,URMasonry,6.86298E-09,1.00000E-01
25,1.75099E+02,structural,V6B,Residential-HD,URMasonry,1.20992E-04,4.00000E-02
50,2.01045E+03,structural,V6B,Residential-HD,URMasonry,1.38921E-03,2.00000E-02
100,1.11910E+04,structural,V6B,Residential-HD,URMasonry,7.73289E-03,1.00000E-02
250,5.66288E+04,structural,V6B,Residential-HD,URMasonry,3.91302E-02,4.00000E-03
500,1.37316E+05,structural,V6B,Residential-HD,URMasonry,9.48846E-02,2.00000E-03
1000,2.67935E+05,structural,V6B,Residential-HD,URMasonry,1.85141E-01,1.00000E-03
2500,5.01454E+05,structural,V6B,Residential-HD,URMasonry,3.46501E-01,4.00000E-04
10,4.64287E-03,contents,V6B,Residential-HD,Concrete,5.56967E-09,1.00000E-01
25,9.53576E+00,contents,V6B,Residential-HD,Concrete,1.14393E-05,4.00000E-02
50,1.09026E+02,contents,V6B,Residential-HD,Concrete,1.30790E-04,2.00000E-02
100,7.52153E+02,contents,V6B,Residential-HD,Concrete,9.02297E-04,1.00000E-02
250,5.22345E+03,contents,V6B,Residential-HD,Concrete,6.26614E-03,4.00000E-03
500,1.47747E+04,contents,V6B,Residential-HD,Concrete,1.77240E-02,2.00000E-03
1000,3.21076E+04,contents,V6B,Residential-HD,Concrete,3.85168E-02,1.00000E-03
2500,6.68382E+04,contents,V6B,Residential-HD,Concrete,8.01804E-02,4.00000E-04
10,7.79016E-01,nonstructural,V6B,Residential-HD,Concrete,8.20556E-08,1.00000E-01
25,1.10202E+03,nonstructural,V6B,Residential-HD,Concrete,1.16078E-04,4.00000E-02
50,6.94416E+03,nonstructural,V6B,Residential-HD,Concrete,7.31445E-04,2.00000E-02
100,2.57439E+04,nonstructural,V6B,Residential-HD,Concrete,2.71167E-03,1.00000E-02
250,9.56136E+04,nonstructural,V6B,Residential-HD,Concrete,1.00712E-02,4.00000E-03
500,2.10260E+05,nonstructural,V6B,Residential-HD,Concrete,2.21472E-02,2.00000E-03
1000,4.01088E+05,nonstructural,V6B,Residential-HD,Concrete,4.22476E-02,1.00000E-03
2500,7.78669E+05,nonstructural,V6B,Residential-HD,Concrete,8.20191E-02,4.00000E-04
50,6.04985E-06,occupants,V6B,Residential-HD,Concrete,4.14942E-07,2.00000E-02
100,1.01767E-04,occupants,V6B,Residential-HD,Concrete,6.97990E-06,1.00000E-02
250,1.25407E-03,occupants,V6B,Residential-HD,Concrete,8.60129E-05,4.00000E-03
500,4.40792E-03,occupants,V6B,Residential-HD,Concrete,3.02327E-04,2.00000E-03
1000,1.06000E-02,occupants,V6B,Residential-HD,Concrete,7.27024E-04,1.00000E-03
2500,2.27607E-02,occupants,V6B,Residential-HD,Concrete,1.56109E-03,4.00000E-04
10,1.42822E-02,structural,V6B,Residential-HD,Concrete,6.85329E-09,1.00000E-01
25,1.19597E+02,structural,V6B,Residential-HD,Concrete,5.73885E-05,4.00000E-02
50,1.36743E+03,structural,V6B,Residential-HD,Concrete,6.56156E-04,2.00000E-02
100,8.13983E+03,structural,V6B,Residential-HD,Concrete,3.90588E-03,1.00000E-02
250,4.21248E+04,structural,V6B,Residential-HD,Concrete,2.02135E-02,4.00000E-03
500,1.00347E+05,structural,V6B,Residential-HD,Concrete,4.81511E-02,2.00000E-03
1000,1.96427E+05,structural,V6B,Residential-HD,Concrete,9.42552E-02,1.00000E-03
2500,3.89610E+05,structural,V6B,Residential-HD,Concrete,1.86953E-01,4.00000E-04
10,7.27372E+03,contents,V6B,Commercial,URMasonry,2.19637E-04,1.00000E-01
25,1.34869E+05,contents,V6B,Commercial,URMasonry,4.07249E-03,4.00000E-02
50,3.76488E+05,contents,V6B,Commercial,URMasonry,1.13684E-02,2.00000E-02
100,7.38100E+05,contents,V6B,Commercial,URMasonry,2.22877E-02,1.00000E-02
