#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-23T21:29:29', checksum=2945211940, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,fsauid,GenOcc,GenType,loss_ratio,annual_frequency_of_exceedence
25,2.40133E+02,contents,V6B,Residential-HD,URMasonry,4.14827E-04,4.00000E-02
50,3.01827E+03,contents,V6B,Residential-HD,URMasonry,5.21401E-03,2.00000E-02
100,7.85452E+03,contents,V6B,Residential-HD,URMasonry,1.35686E-02,1.00000E-02
250,1.84124E+04,contents,V6B,Residential-HD,URMasonry,3.18071E-02,4.00000E-03
500,2.96260E+04,contents,V6B,Residential-HD,URMasonry,5.11784E-02,2.00000E-03
1000,4.38611E+04,contents,V6B,Residential-HD,URMasonry,7.57693E-02,1.00000E-03
2500,6.44587E+04,contents,V6B,Residential-HD,URMasonry,1.11351E-01,4.00000E-04
25,1.08750E+03,nonstructural,V6B,Residential-HD,URMasonry,1.64954E-04,4.00000E-02
50,1.65315E+04,nonstructural,V6B,Residential-HD,URMasonry,2.50752E-03,2.00000E-02
100,5.84487E+04,nonstructural,V6B,Residential-HD,URMasonry,8.86559E-03,1.00000E-02
250,2.13186E+05,nonstructural,V6B,Residential-HD,URMasonry,3.23363E-02,4.00000E-03
500,4.55151E+05,nonstructural,V6B,Residential-HD,URMasonry,6.90380E-02,2.00000E-03
1000,8.67615E+05,nonstructural,V6B,Residential-HD,URMasonry,1.31601E-01,1.00000E-03
2500,1.63320E+06,nonstructural,V6B,Residential-HD,URMasonry,2.47726E-01,4.00000E-04
500,5.31301E-05,occupants,V6B,Residential-HD,URMasonry,5.58090E-06,2.00000E-03
1000,6.15049E-04,occupants,V6B,Residential-HD,URMasonry,6.46060E-05,1.00000E-03
2500,5.83867E-03,occupants,V6B,Residential-HD,URMasonry,6.13306E-04,4.00000E-04
50,3.29569E+02,structural,V6B,Residential-HD,URMasonry,2.27730E-04,2.00000E-02
100,3.43097E+03,structural,V6B,Residential-HD,URMasonry,2.37078E-03,1.00000E-02
250,2.65808E+04,structural,V6B,Residential-HD,URMasonry,1.83672E-02,4.00000E-03
500,7.57891E+04,structural,V6B,Residential-HD,URMasonry,5.23698E-02,2.00000E-03
1000,1.71328E+05,structural,V6B,Residential-HD,URMasonry,1.18387E-01,1.00000E-03
2500,3.60524E+05,structural,V6B,Residential-HD,URMasonry,2.49120E-01,4.00000E-04
50,1.46495E+01,contents,V6B,Residential-HD,Concrete,1.75739E-05,2.00000E-02
100,1.83548E+02,contents,V6B,Residential-HD,Concrete,2.20188E-04,1.00000E-02
250,2.11684E+03,contents,V6B,Residential-HD,Concrete,2.53941E-03,4.00000E-03
500,7.80792E+03,contents,V6B,Residential-HD,Concrete,9.36653E-03,2.00000E-03
1000,2.01326E+04,contents,V6B,Residential-HD,Concrete,2.41514E-02,1.00000E-03
2500,4.91503E+04,contents,V6B,Residential-HD,Concrete,5.89616E-02,4.00000E-04
50,2.23758E+03,nonstructural,V6B,Residential-HD,Concrete,2.35690E-04,2.00000E-02
100,1.13772E+04,nonstructural,V6B,Residential-HD,Concrete,1.19839E-03,1.00000E-02
250,5.56736E+04,nonstructural,V6B,Residential-HD,Concrete,5.86424E-03,4.00000E-03
500,1.35592E+05,nonstructural,V6B,Residential-HD,Concrete,1.42822E-02,2.00000E-03
1000,2.82170E+05,nonstructural,V6B,Residential-HD,Concrete,2.97217E-02,1.00000E-03
2500,6.13117E+05,nonstructural,V6B,Residential-HD,Concrete,6.45811E-02,4.00000E-04
100,9.55196E-06,occupants,V6B,Residential-HD,Concrete,6.55141E-07,1.00000E-02
250,3.86704E-04,occupants,V6B,Residential-HD,Concrete,2.65229E-05,4.00000E-03
