#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-02T21:07:38', checksum=1432318484, risk_investigation_time=1.0, kind='agg_curves-quantile-0.05'"
return_period,loss_value,loss_type,fsauid,GenOcc,GenType,loss_ratio,annual_frequency_of_exceedence
100,4.79124E+02,contents,V6B,Residential-HD,URMasonry,8.27679E-04,1.00000E-02
250,3.35452E+03,contents,V6B,Residential-HD,URMasonry,5.79489E-03,4.00000E-03
500,7.86311E+03,contents,V6B,Residential-HD,URMasonry,1.35834E-02,2.00000E-03
1000,1.46251E+04,contents,V6B,Residential-HD,URMasonry,2.52646E-02,1.00000E-03
2500,2.89795E+04,contents,V6B,Residential-HD,URMasonry,5.00616E-02,4.00000E-04
100,2.17918E+03,nonstructural,V6B,Residential-HD,URMasonry,3.30542E-04,1.00000E-02
250,1.76903E+04,nonstructural,V6B,Residential-HD,URMasonry,2.68329E-03,4.00000E-03
500,5.64330E+04,nonstructural,V6B,Residential-HD,URMasonry,8.55984E-03,2.00000E-03
1000,1.45731E+05,nonstructural,V6B,Residential-HD,URMasonry,2.21047E-02,1.00000E-03
2500,4.31649E+05,nonstructural,V6B,Residential-HD,URMasonry,6.54731E-02,4.00000E-04
1000,1.48379E-05,occupants,V6B,Residential-HD,URMasonry,1.55861E-06,1.00000E-03
2500,4.60309E-04,occupants,V6B,Residential-HD,URMasonry,4.83518E-05,4.00000E-04
100,1.12663E+00,structural,V6B,Residential-HD,URMasonry,7.78491E-07,1.00000E-02
250,2.70511E+02,structural,V6B,Residential-HD,URMasonry,1.86921E-04,4.00000E-03
500,2.94200E+03,structural,V6B,Residential-HD,URMasonry,2.03291E-03,2.00000E-03
1000,1.45781E+04,structural,V6B,Residential-HD,URMasonry,1.00734E-02,1.00000E-03
2500,6.99272E+04,structural,V6B,Residential-HD,URMasonry,4.83193E-02,4.00000E-04
100,1.19005E+00,contents,V6B,Residential-HD,Concrete,1.42760E-06,1.00000E-02
250,9.00750E+01,contents,V6B,Residential-HD,Concrete,1.08056E-04,4.00000E-03
500,9.68458E+02,contents,V6B,Residential-HD,Concrete,1.16178E-03,2.00000E-03
1000,5.17673E+03,contents,V6B,Residential-HD,Concrete,6.21010E-03,1.00000E-03
2500,1.82116E+04,contents,V6B,Residential-HD,Concrete,2.18470E-02,4.00000E-04
100,1.03325E+02,nonstructural,V6B,Residential-HD,Concrete,1.08834E-05,1.00000E-02
250,8.51451E+03,nonstructural,V6B,Residential-HD,Concrete,8.96854E-04,4.00000E-03
500,3.73876E+04,nonstructural,V6B,Residential-HD,Concrete,3.93812E-03,2.00000E-03
1000,1.15702E+05,nonstructural,V6B,Residential-HD,Concrete,1.21871E-02,1.00000E-03
2500,2.81404E+05,nonstructural,V6B,Residential-HD,Concrete,2.96409E-02,4.00000E-04
250,2.30164E-06,occupants,V6B,Residential-HD,Concrete,1.57863E-07,4.00000E-03
500,1.57605E-04,occupants,V6B,Residential-HD,Concrete,1.08097E-05,2.00000E-03
1000,1.29820E-03,occupants,V6B,Residential-HD,Concrete,8.90396E-05,1.00000E-03
2500,6.03951E-03,occupants,V6B,Residential-HD,Concrete,4.14232E-04,4.00000E-04
100,2.26792E+00,structural,V6B,Residential-HD,Concrete,1.08825E-06,1.00000E-02
250,1.72964E+03,structural,V6B,Residential-HD,Concrete,8.29963E-04,4.00000E-03
500,1.40590E+04,structural,V6B,Residential-HD,Concrete,6.74618E-03,2.00000E-03
1000,4.75449E+04,structural,V6B,Residential-HD,Concrete,2.28143E-02,1.00000E-03
2500,1.31478E+05,structural,V6B,Residential-HD,Concrete,6.30896E-02,4.00000E-04
100,7.49543E+04,contents,V6B,Commercial,URMasonry,2.26332E-03,1.00000E-02
250,3.85388E+05,contents,V6B,Commercial,URMasonry,1.16372E-02,4.00000E-03
500,7.76924E+05,contents,V6B,Commercial,URMasonry,2.34600E-02,2.00000E-03
1000,1.31324E+06,contents,V6B,Commercial,URMasonry,3.96546E-02,1.00000E-03
2500,2.05840E+06,contents,V6B,Commercial,URMasonry,6.21553E-02,4.00000E-04
