#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-06-10T22:29:03', checksum=2927845098, risk_investigation_time=1.0, kind='agg_curves-quantile-0.5'"
return_period,loss_value,loss_type,fsauid,GenOcc,GenType,loss_ratio,annual_frequency_of_exceedence
25,1.38266E+03,contents,V6B,Residential-HD,URMasonry,2.38853E-03,4.00000E-02
50,5.79587E+03,contents,V6B,Residential-HD,URMasonry,1.00123E-02,2.00000E-02
100,1.22601E+04,contents,V6B,Residential-HD,URMasonry,2.11791E-02,1.00000E-02
250,2.61655E+04,contents,V6B,Residential-HD,URMasonry,4.52005E-02,4.00000E-03
500,4.02734E+04,contents,V6B,Residential-HD,URMasonry,6.95717E-02,2.00000E-03
1000,5.63652E+04,contents,V6B,Residential-HD,URMasonry,9.73699E-02,1.00000E-03
2500,7.99495E+04,contents,V6B,Residential-HD,URMasonry,1.38112E-01,4.00000E-04
25,6.40263E+03,nonstructural,V6B,Residential-HD,URMasonry,9.71162E-04,4.00000E-02
50,3.61413E+04,nonstructural,V6B,Residential-HD,URMasonry,5.48196E-03,2.00000E-02
100,1.10247E+05,nonstructural,V6B,Residential-HD,URMasonry,1.67224E-02,1.00000E-02
250,3.65224E+05,nonstructural,V6B,Residential-HD,URMasonry,5.53977E-02,4.00000E-03
500,7.45245E+05,nonstructural,V6B,Residential-HD,URMasonry,1.13040E-01,2.00000E-03
1000,1.30625E+06,nonstructural,V6B,Residential-HD,URMasonry,1.98134E-01,1.00000E-03
2500,2.27616E+06,nonstructural,V6B,Residential-HD,URMasonry,3.45251E-01,4.00000E-04
250,1.52593E-05,occupants,V6B,Residential-HD,URMasonry,1.60286E-06,4.00000E-03
500,2.43708E-04,occupants,V6B,Residential-HD,URMasonry,2.55996E-05,2.00000E-03
1000,1.84905E-03,occupants,V6B,Residential-HD,URMasonry,1.94228E-04,1.00000E-03
2500,1.08109E-02,occupants,V6B,Residential-HD,URMasonry,1.13559E-03,4.00000E-04
25,1.35776E+01,structural,V6B,Residential-HD,URMasonry,9.38202E-06,4.00000E-02
50,1.23386E+03,structural,V6B,Residential-HD,URMasonry,8.52591E-04,2.00000E-02
100,9.24722E+03,structural,V6B,Residential-HD,URMasonry,6.38977E-03,1.00000E-02
250,5.57104E+04,structural,V6B,Residential-HD,URMasonry,3.84955E-02,4.00000E-03
500,1.41641E+05,structural,V6B,Residential-HD,URMasonry,9.78728E-02,2.00000E-03
1000,2.78392E+05,structural,V6B,Residential-HD,URMasonry,1.92367E-01,1.00000E-03
2500,5.22917E+05,structural,V6B,Residential-HD,URMasonry,3.61332E-01,4.00000E-04
25,4.74565E+00,contents,V6B,Residential-HD,Concrete,5.69297E-06,4.00000E-02
50,6.75220E+01,contents,V6B,Residential-HD,Concrete,8.10006E-05,2.00000E-02
100,5.74375E+02,contents,V6B,Residential-HD,Concrete,6.89031E-04,1.00000E-02
250,4.94001E+03,contents,V6B,Residential-HD,Concrete,5.92613E-03,4.00000E-03
500,1.47869E+04,contents,V6B,Residential-HD,Concrete,1.77386E-02,2.00000E-03
1000,3.29849E+04,contents,V6B,Residential-HD,Concrete,3.95693E-02,1.00000E-03
2500,6.95665E+04,contents,V6B,Residential-HD,Concrete,8.34534E-02,4.00000E-04
25,6.29462E+02,nonstructural,V6B,Residential-HD,Concrete,6.63028E-05,4.00000E-02
50,5.57007E+03,nonstructural,V6B,Residential-HD,Concrete,5.86709E-04,2.00000E-02
100,2.34464E+04,nonstructural,V6B,Residential-HD,Concrete,2.46966E-03,1.00000E-02
250,9.45713E+04,nonstructural,V6B,Residential-HD,Concrete,9.96142E-03,4.00000E-03
500,2.11631E+05,nonstructural,V6B,Residential-HD,Concrete,2.22916E-02,2.00000E-03
1000,4.08366E+05,nonstructural,V6B,Residential-HD,Concrete,4.30142E-02,1.00000E-03
2500,8.02688E+05,nonstructural,V6B,Residential-HD,Concrete,8.45490E-02,4.00000E-04
100,5.14409E-05,occupants,V6B,Residential-HD,Concrete,3.52818E-06,1.00000E-02
250,1.09799E-03,occupants,V6B,Residential-HD,Concrete,7.53081E-05,4.00000E-03
500,4.32461E-03,occupants,V6B,Residential-HD,Concrete,2.96613E-04,2.00000E-03
1000,1.08534E-02,occupants,V6B,Residential-HD,Concrete,7.44401E-04,1.00000E-03
2500,2.38854E-02,occupants,V6B,Residential-HD,Concrete,1.63823E-03,4.00000E-04
25,2.85390E+01,structural,V6B,Residential-HD,Concrete,1.36944E-05,4.00000E-02
50,8.04207E+02,structural,V6B,Residential-HD,Concrete,3.85897E-04,2.00000E-02
100,6.84670E+03,structural,V6B,Residential-HD,Concrete,3.28537E-03,1.00000E-02
250,4.20648E+04,structural,V6B,Residential-HD,Concrete,2.01847E-02,4.00000E-03
500,1.00782E+05,structural,V6B,Residential-HD,Concrete,4.83599E-02,2.00000E-03
1000,1.99557E+05,structural,V6B,Residential-HD,Concrete,9.57568E-02,1.00000E-03
2500,4.07072E+05,structural,V6B,Residential-HD,Concrete,1.95333E-01,4.00000E-04
25,1.31670E+05,contents,V6B,Commercial,URMasonry,3.97590E-03,4.00000E-02
50,3.75076E+05,contents,V6B,Commercial,URMasonry,1.13258E-02,2.00000E-02
100,7.44416E+05,contents,V6B,Commercial,URMasonry,2.24784E-02,1.00000E-02
250,1.45918E+06,contents,V6B,Commercial,URMasonry,4.40615E-02,4.00000E-03
