#,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-02T23:58:04', checksum=1432318484, investigation_time=1.0, risk_investigation_time=1.0"
loss_type,fsauid,GenOcc,GenType,loss_value,exposed_value,loss_ratio
contents,V6B,Residential-HD,URMasonry,2.53654E+02,5.78876E+05,4.38184E-04
nonstructural,V6B,Residential-HD,URMasonry,3.66304E+03,6.59276E+06,5.55616E-04
occupants,V6B,Residential-HD,URMasonry,9.66759E-06,9.52000E+00,1.01550E-06
structural,V6B,Residential-HD,URMasonry,6.18189E+02,1.44719E+06,4.27165E-04
contents,V6B,Residential-HD,Concrete,6.81523E+01,8.33598E+05,8.17568E-05
nonstructural,V6B,Residential-HD,Concrete,1.03466E+03,9.49376E+06,1.08983E-04
occupants,V6B,Residential-HD,Concrete,2.02047E-05,1.45800E+01,1.38578E-06
structural,V6B,Residential-HD,Concrete,4.61884E+02,2.08400E+06,2.21634E-04
contents,V6B,Commercial,URMasonry,1.50758E+04,3.31170E+07,4.55229E-04
nonstructural,V6B,Commercial,URMasonry,3.53394E+04,6.00366E+07,5.88631E-04
occupants,V6B,Commercial,URMasonry,1.24094E-03,1.13985E+03,1.08869E-06
structural,V6B,Commercial,URMasonry,1.68285E+04,3.67966E+07,4.57338E-04
contents,V6B,Commercial,Concrete,9.82706E+02,4.95405E+06,1.98364E-04
nonstructural,V6B,Commercial,Concrete,1.32960E+03,8.98103E+06,1.48046E-04
occupants,V6B,Commercial,Concrete,2.69105E-04,1.36420E+02,1.97262E-06
structural,V6B,Commercial,Concrete,9.03665E+02,5.50450E+06,1.64168E-04
contents,V6B,Commercial,Steel,4.57095E+02,1.95912E+06,2.33316E-04
nonstructural,V6B,Commercial,Steel,5.37726E+02,3.55163E+06,1.51403E-04
occupants,V6B,Commercial,Steel,9.09695E-05,6.80400E+01,1.33700E-06
structural,V6B,Commercial,Steel,4.29054E+02,2.17680E+06,1.97103E-04
contents,V6B,Commercial,Wood,1.91198E+02,7.61748E+05,2.50999E-04
nonstructural,V6B,Commercial,Wood,3.23857E+02,1.38095E+06,2.34518E-04
