#,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-03T09:22:17', checksum=3168367169, investigation_time=1.0, risk_investigation_time=1.0"
loss_type,fsauid,GenOcc,GenType,loss_value,exposed_value,loss_ratio
contents,V6B,Residential-HD,URMasonry,8.50375E+02,5.78876E+05,1.46901E-03
nonstructural,V6B,Residential-HD,URMasonry,1.40319E+04,6.59276E+06,2.12839E-03
occupants,V6B,Residential-HD,URMasonry,3.22557E-05,9.52000E+00,3.38820E-06
structural,V6B,Residential-HD,URMasonry,2.64163E+03,1.44719E+06,1.82535E-03
contents,V6B,Residential-HD,Concrete,2.20410E+02,8.33598E+05,2.64408E-04
nonstructural,V6B,Residential-HD,Concrete,3.19507E+03,9.49376E+06,3.36544E-04
occupants,V6B,Residential-HD,Concrete,6.42747E-05,1.45800E+01,4.40841E-06
structural,V6B,Residential-HD,Concrete,1.39073E+03,2.08400E+06,6.67338E-04
contents,V6B,Commercial,URMasonry,4.97012E+04,3.31170E+07,1.50078E-03
nonstructural,V6B,Commercial,URMasonry,1.14247E+05,6.00366E+07,1.90295E-03
occupants,V6B,Commercial,URMasonry,4.50613E-03,1.13985E+03,3.95327E-06
structural,V6B,Commercial,URMasonry,5.45784E+04,3.67966E+07,1.48324E-03
contents,V6B,Commercial,Concrete,3.23587E+03,4.95405E+06,6.53176E-04
nonstructural,V6B,Commercial,Concrete,4.36472E+03,8.98103E+06,4.85993E-04
occupants,V6B,Commercial,Concrete,8.81908E-04,1.36420E+02,6.46465E-06
structural,V6B,Commercial,Concrete,2.94155E+03,5.50450E+06,5.34389E-04
contents,V6B,Commercial,Steel,1.92015E+03,1.95912E+06,9.80108E-04
nonstructural,V6B,Commercial,Steel,2.20886E+03,3.55163E+06,6.21930E-04
occupants,V6B,Commercial,Steel,3.59354E-04,6.80400E+01,5.28151E-06
structural,V6B,Commercial,Steel,1.69496E+03,2.17680E+06,7.78645E-04
contents,V6B,Commercial,Wood,5.97555E+02,7.61748E+05,7.84452E-04
nonstructural,V6B,Commercial,Wood,1.00329E+03,1.38095E+06,7.26521E-04
occupants,V6B,Commercial,Wood,6.02871E-05,4.75500E+01,1.26787E-06
structural,V6B,Commercial,Wood,2.69135E+03,8.46387E+05,3.17981E-03
contents,V6B,Commercial,RMasonry,1.54502E+02,1.99728E+05,7.73564E-04
nonstructural,V6B,Commercial,RMasonry,2.28858E+02,3.62080E+05,6.32065E-04
