#,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-24T08:07:57', checksum=2936561330, investigation_time=1.0, risk_investigation_time=1.0"
loss_type,fsauid,GenOcc,GenType,loss_value,exposed_value,loss_ratio
contents,V6B,Residential-HD,URMasonry,4.42699E+02,5.78876E+05,7.64755E-04
nonstructural,V6B,Residential-HD,URMasonry,6.43768E+03,6.59276E+06,9.76477E-04
occupants,V6B,Residential-HD,URMasonry,1.82267E-05,9.52000E+00,1.91457E-06
structural,V6B,Residential-HD,URMasonry,1.08843E+03,1.44719E+06,7.52102E-04
contents,V6B,Residential-HD,Concrete,9.56198E+01,8.33598E+05,1.14707E-04
nonstructural,V6B,Residential-HD,Concrete,1.35502E+03,9.49376E+06,1.42727E-04
occupants,V6B,Residential-HD,Concrete,2.73288E-05,1.45800E+01,1.87440E-06
structural,V6B,Residential-HD,Concrete,5.26792E+02,2.08400E+06,2.52780E-04
contents,V6B,Commercial,URMasonry,2.14642E+04,3.31170E+07,6.48133E-04
nonstructural,V6B,Commercial,URMasonry,4.96217E+04,6.00366E+07,8.26524E-04
occupants,V6B,Commercial,URMasonry,1.87334E-03,1.13985E+03,1.64350E-06
structural,V6B,Commercial,URMasonry,2.34575E+04,3.67966E+07,6.37491E-04
contents,V6B,Commercial,Concrete,1.40319E+03,4.95405E+06,2.83241E-04
nonstructural,V6B,Commercial,Concrete,1.89048E+03,8.98103E+06,2.10497E-04
occupants,V6B,Commercial,Concrete,4.03697E-04,1.36420E+02,2.95922E-06
structural,V6B,Commercial,Concrete,1.29739E+03,5.50450E+06,2.35696E-04
contents,V6B,Commercial,Steel,7.42375E+02,1.95912E+06,3.78932E-04
nonstructural,V6B,Commercial,Steel,8.68552E+02,3.55163E+06,2.44550E-04
occupants,V6B,Commercial,Steel,1.37236E-04,6.80400E+01,2.01700E-06
structural,V6B,Commercial,Steel,6.95304E+02,2.17680E+06,3.19415E-04
contents,V6B,Commercial,Wood,2.92716E+02,7.61748E+05,3.84268E-04
nonstructural,V6B,Commercial,Wood,4.88266E+02,1.38095E+06,3.53574E-04
occupants,V6B,Commercial,Wood,2.35675E-05,4.75500E+01,4.95636E-07
structural,V6B,Commercial,Wood,1.16831E+03,8.46387E+05,1.38035E-03
contents,V6B,Commercial,RMasonry,6.03003E+01,1.99728E+05,3.01912E-04
nonstructural,V6B,Commercial,RMasonry,9.37478E+01,3.62080E+05,2.58914E-04
occupants,V6B,Commercial,RMasonry,1.35903E-05,5.32000E+00,2.55456E-06
structural,V6B,Commercial,RMasonry,4.49255E+01,2.21920E+05,2.02440E-04
contents,V6B,Industrial,URMasonry,3.40456E+03,4.91638E+06,6.92494E-04
nonstructural,V6B,Industrial,URMasonry,8.89513E+03,9.84624E+06,9.03404E-04
occupants,V6B,Industrial,URMasonry,1.05932E-04,5.89200E+01,1.79789E-06
structural,V6B,Industrial,URMasonry,2.57175E+03,3.64176E+06,7.06184E-04
contents,V6B,Industrial,Wood,4.72470E+02,1.22953E+06,3.84268E-04
nonstructural,V6B,Industrial,Wood,7.84730E+02,2.46244E+06,3.18680E-04
occupants,V6B,Industrial,Wood,5.29835E-06,1.06900E+01,4.95636E-07
structural,V6B,Industrial,Wood,1.41916E+03,9.10764E+05,1.55821E-03
contents,V6B,Residential-MD,URMasonry,6.82431E+01,1.02935E+05,6.62974E-04
nonstructural,V6B,Residential-MD,URMasonry,1.00145E+03,1.17231E+06,8.54254E-04
occupants,V6B,Residential-MD,URMasonry,2.31535E-06,1.34000E+00,1.72787E-06
structural,V6B,Residential-MD,URMasonry,1.70582E+02,2.57337E+05,6.62874E-04
contents,V6B,Civic,URMasonry,3.08438E+02,5.15531E+05,5.98291E-04
nonstructural,V6B,Civic,URMasonry,1.70824E+03,2.34853E+06,7.27364E-04
occupants,V6B,Civic,URMasonry,5.15748E-05,3.62400E+01,1.42315E-06
