#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-23T19:26:42', checksum=2938527266, investigation_time=1.0, risk_investigation_time=1.0"
event_id,contents,nonstructural,occupants,structural,rlz_id,rup_id,year
0,4.47346E+04,4.32526E+04,0.00000E+00,5.21521E+03,0,0,1
1,7.76871E+04,7.88344E+04,0.00000E+00,1.82846E+04,0,1,1
2,7.77203E+04,1.21527E+05,0.00000E+00,8.02160E+03,0,2,1
3,1.10939E+05,1.38064E+05,1.19068E-04,6.54649E+04,0,3,1
4,2.32593E+05,2.57971E+05,0.00000E+00,4.25883E+04,0,4,1
5,6.35932E+05,9.95442E+05,1.10141E-04,1.90082E+05,0,5,1
6,3.00058E+05,3.23314E+05,0.00000E+00,5.76141E+04,0,6,1
7,4.65833E+05,8.21119E+05,6.93743E-04,2.21618E+05,0,7,1
8,1.15019E+05,1.62843E+05,0.00000E+00,2.75208E+04,0,8,1
9,4.47097E+04,6.55269E+04,0.00000E+00,2.23579E+04,1,9,1
10,1.82281E+05,2.17536E+05,6.51477E-05,6.09643E+04,1,10,1
11,1.82173E+05,3.89908E+05,1.88041E-04,8.77043E+04,1,10,1
12,2.65329E+05,3.27897E+05,1.57000E-05,8.64419E+04,1,11,1
13,1.18315E+05,1.48267E+05,0.00000E+00,2.47458E+04,0,12,1
14,7.21904E+05,1.15447E+06,1.86942E-04,3.19818E+05,0,12,1
15,2.83057E+04,2.70991E+04,0.00000E+00,5.55691E+03,0,13,1
16,9.99368E+03,7.20116E+03,0.00000E+00,1.37414E+01,0,14,1
17,5.05039E+04,4.26352E+04,0.00000E+00,1.65165E+04,0,15,1
18,4.91045E+05,6.74138E+05,0.00000E+00,1.62577E+05,0,16,1
19,1.06568E+05,1.38298E+05,1.57000E-05,2.44536E+04,0,17,1
20,1.69455E+04,1.65660E+04,0.00000E+00,5.28162E+03,0,17,1
21,1.71381E+05,3.21400E+05,2.59026E-07,6.41656E+04,0,18,1
22,2.86834E+05,3.00301E+05,0.00000E+00,5.39992E+04,0,18,1
23,1.39845E+04,2.04494E+04,0.00000E+00,8.97318E+01,0,18,1
24,4.72350E+04,4.16062E+04,0.00000E+00,1.53579E+04,0,19,1
26,4.79241E+04,6.36698E+04,0.00000E+00,1.17891E+04,1,21,1
27,1.50092E+05,1.30443E+05,0.00000E+00,3.58232E+04,1,21,1
28,4.22559E+05,4.68620E+05,0.00000E+00,8.68296E+04,1,22,1
29,2.88747E+04,4.28778E+04,0.00000E+00,2.64358E+03,1,22,1
30,9.60731E+03,9.14602E+03,0.00000E+00,1.30664E+03,1,22,1
31,6.87386E+04,9.23893E+04,0.00000E+00,1.44292E+04,1,23,1
32,5.01195E+04,4.62136E+04,0.00000E+00,2.19609E+03,1,24,1
33,3.59212E+05,4.45940E+05,6.17362E-06,8.89505E+04,1,24,1
34,6.80413E+04,7.25350E+04,0.00000E+00,2.53915E+03,1,24,1
35,6.15514E+05,8.61865E+05,4.29079E-05,1.88702E+05,1,25,1
50,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,30,1
109,4.04516E+05,5.03546E+05,0.00000E+00,1.14320E+05,0,51,1
163,0.00000E+00,0.00000E+00,0.00000E+00,4.86402E+02,0,68,1
168,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,69,1
193,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0,73,1
198,0.00000E+00,0.00000E+00,0.00000E+00,4.55127E+02,0,77,1
199,3.84444E+04,6.17139E+04,0.00000E+00,4.21749E+03,0,77,1
203,2.37894E+04,1.80949E+04,0.00000E+00,1.24417E+04,0,78,1
204,2.07470E+03,1.49556E+03,0.00000E+00,0.00000E+00,0,78,1
206,1.34941E+03,1.90315E+03,0.00000E+00,0.00000E+00,0,78,1
210,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1,79,1
218,1.31734E+04,1.19559E+04,0.00000E+00,4.57458E+03,1,81,1
294,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1,105,1
324,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1,113,1
328,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1,115,1
355,0.00000E+00,0.00000E+00,0.00000E+00,2.25035E+02,1,120,1
361,5.78253E+04,5.71171E+04,0.00000E+00,4.87314E+03,1,121,1
391,0.00000E+00,0.00000E+00,0.00000E+00,2.59286E+02,1,125,1
402,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1,130,1
406,0.00000E+00,0.00000E+00,0.00000E+00,2.99701E+03,1,131,1
408,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1,131,1
410,3.32740E+03,2.39989E+03,0.00000E+00,1.82181E+03,0,132,1
508,0.00000E+00,0.00000E+00,0.00000E+00,6.26068E+02,0,163,1
510,2.50927E+04,2.82655E+04,0.00000E+00,1.06382E+03,0,164,1
562,8.12587E+04,1.73848E+05,0.00000E+00,1.93885E+04,0,177,1
567,0.00000E+00,0.00000E+00,0.00000E+00,2.25561E+03,0,178,1
572,9.52140E+02,6.82996E+02,0.00000E+00,9.85367E+02,0,180,1
575,3.54064E+04,6.12839E+04,0.00000E+00,2.02765E+03,0,183,1
593,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1,187,1
692,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1,214,1
695,5.13033E+03,5.07997E+03,0.00000E+00,6.12761E+00,1,216,1
751,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1,234,1
755,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1,235,1
758,6.32146E+04,1.02004E+05,0.00000E+00,1.33712E+04,0,237,1
759,1.71980E+05,1.65538E+05,0.00000E+00,2.83108E+04,0,238,1
760,7.60730E+04,1.08263E+05,0.00000E+00,3.37253E+03,0,239,1
761,7.22567E+03,9.16933E+03,0.00000E+00,1.24359E+03,0,240,1
762,7.63975E+04,7.75979E+04,0.00000E+00,1.85270E+04,0,241,1
763,1.70343E+05,1.61671E+05,0.00000E+00,3.42689E+04,0,242,1
764,1.90566E+05,2.17764E+05,0.00000E+00,3.93303E+04,0,243,1
765,1.55164E+05,1.94388E+05,0.00000E+00,3.95580E+04,0,244,1
766,1.20696E+05,1.24210E+05,0.00000E+00,4.54495E+04,0,244,1
767,9.51618E+05,1.72381E+06,1.09180E-03,8.13288E+05,0,245,1
768,2.57240E+05,8.17043E+05,2.77214E-04,1.78665E+05,0,246,1
769,9.22538E+04,7.58697E+04,0.00000E+00,1.93336E+04,1,247,1
770,6.77293E+03,7.62218E+03,0.00000E+00,1.07077E+01,1,248,1
771,3.68664E+05,6.17618E+05,3.52016E-04,1.39205E+05,1,249,1
773,1.78640E+05,1.76454E+05,0.00000E+00,3.58543E+04,1,251,1
774,6.02586E+05,1.42649E+06,5.16779E-03,5.22229E+05,1,252,1
775,2.99499E+05,3.23488E+05,0.00000E+00,5.28727E+04,1,252,1
776,2.57984E+05,2.63810E+05,0.00000E+00,4.77687E+04,1,253,1
777,4.43553E+05,5.35745E+05,0.00000E+00,9.92834E+04,1,254,1
778,1.13413E+05,1.04926E+05,0.00000E+00,3.22168E+04,1,255,1
779,3.29992E+05,5.22997E+05,5.32000E-06,9.28734E+04,1,256,1
780,9.73093E+04,1.31920E+05,0.00000E+00,1.67268E+04,1,257,1
781,1.24795E+05,1.65012E+05,0.00000E+00,2.62512E+04,1,258,1
782,7.07221E+05,1.08168E+06,1.67193E-03,2.31232E+05,1,259,1
783,5.36577E+04,8.26620E+04,0.00000E+00,1.11650E+04,1,260,1
