,TESTLOC,TESTNUM,RUNNUM,NUMSES,NUMBRANCH,RS,MEANLOSS,FIVELOSS,NIFILOSS,EFFYEARS
0,Montreal,17,40,100000,50,17,268130.3,0.0,1165155.0,5000000
1,Montreal,28,52,100000,2400,1,184851.9,0.0,1162491.0,240000000
2,Montreal,38,63,500000,800,17,180376.40000000002,0.0,1182140.0,400000000
3,Montreal,43,69,500000,2400,1,176060.6,0.0,1152690.0,1200000000
4,Montreal,2,54,50000,50,17,276483.1,0.0,1192078.0,2500000
5,Montreal,31,56,500000,50,1,303326.5,0.0,1371406.0,25000000
6,Montreal,21,45,100000,200,46,247635.3,0.0,1485780.0,20000000
7,Montreal,42,68,500000,1600,46,197833.9,0.0,1185022.0,800000000
8,Montreal,20,44,100000,200,17,214308.6,0.0,1244204.0,20000000
9,Montreal,30,55,100000,2400,46,196707.4,0.0,1219109.0,240000000
10,Montreal,3,65,50000,50,46,222135.7,0.0,1297694.0,2500000
11,Montreal,16,39,100000,50,1,312654.2,0.0,1460459.0,5000000
12,Montreal,39,64,500000,800,46,263607.6,0.0,1663700.0,400000000
13,Montreal,29,53,100000,2400,17,171700.4,0.0,1102971.0,240000000
14,Montreal,32,57,500000,50,17,264189.1,0.0,1132689.0,25000000
15,Montreal,22,46,100000,800,1,234269.8,0.0,1508019.0,80000000
16,Montreal,1,43,50000,50,1,321395.3,0.0,1393302.0,2500000
17,Montreal,40,66,500000,1600,1,187934.1,0.0,1135993.0,800000000
18,Montreal,14,37,50000,2400,17,176622.7,0.0,1112621.0,120000000
19,Montreal,8,79,50000,800,17,197428.1,0.0,1261630.0,40000000
20,Montreal,15,38,50000,2400,46,203918.4,0.0,1263975.0,120000000
21,Montreal,48,74,500000,0,46,79648.0,0.0,812478.0,0
22,Montreal,9,80,50000,800,46,286913.4,0.0,1686630.0,40000000
23,Montreal,23,47,100000,800,17,191850.5,0.0,1216783.0,80000000
24,Montreal,33,58,500000,50,46,219920.8,0.0,1259042.0,25000000
25,Montreal,41,67,500000,1600,17,181977.4,0.0,1180259.0,800000000
26,Montreal,5,76,50000,200,17,218845.2,0.0,1323016.0,10000000
27,Montreal,36,61,500000,200,46,233719.7,0.0,1397423.0,100000000
28,Montreal,26,50,100000,1600,17,192732.8,0.0,1189946.0,160000000
29,Montreal,44,70,500000,2400,17,163579.8,0.0,1034670.0,1200000000
30,Montreal,19,42,100000,200,1,249493.8,0.0,1491024.0,20000000
31,Montreal,10,33,50000,1600,1,205497.5,0.0,1204650.0,80000000
32,Montreal,11,34,50000,1600,17,199795.1,0.0,1273671.0,80000000
33,Montreal,27,51,100000,1600,46,208358.8,0.0,1224553.0,160000000
34,Montreal,37,62,500000,800,1,221445.6,0.0,1298475.0,400000000
35,Montreal,4,75,50000,200,1,252572.90000000002,0.0,1537611.0,10000000
36,Montreal,45,71,500000,2400,46,188127.59999999998,0.0,1191983.0,1200000000
37,Montreal,18,41,100000,50,46,229626.5,0.0,1405121.0,5000000
38,Montreal,13,36,50000,2400,1,191098.1,0.0,1206896.0,120000000
39,Montreal,47,73,100000,0,46,80638.7,0.0,819565.0,0
40,Montreal,35,60,500000,200,17,200556.6,0.0,1254488.0,100000000
41,Montreal,25,49,100000,1600,1,198726.1,0.0,1165899.0,160000000
42,Montreal,6,77,50000,200,46,251086.3,0.0,1463314.0,10000000
43,Montreal,46,72,50000,0,46,81592.1,0.0,817548.0,0
44,Montreal,7,78,50000,800,1,239852.3,0.0,1536081.0,40000000
45,Montreal,24,48,100000,800,46,278951.0,0.0,1619064.0,80000000
46,Montreal,34,59,500000,200,1,239202.9,0.0,1333772.0,100000000
47,Montreal,12,35,50000,1600,46,214964.8,0.0,1263517.0,80000000
