id,lon,lat,taxonomy,number,structural,nonstructural,contents,retrofitting,day,night,transit,LandUse,GenOcc,OccClass,GenType,BldgType,BldEpoch,SSC_Zone,EqDesLev,SauidID,sauid,dauid,adauid,fsauid,csduid,csdname,cduid,cdname,SAC,eruid,ername,pruid,prname
1928232-RES3B-W1-LC,-73.56786643,45.49171009,RES3B-W1-LC,1,189031.5,861143.5,75612.6,112073.88,1.42,6.05,3.97,RES-HD,Residential-MD,RES3B,Wood,W1,1990-2004,SSC-2,LC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928233-COM3-RM1L-PC,-73.56786643,45.49171009,COM3-RM1L-PC,2,346750,565750,312075,115883.75,11.1,0.13,5.77,RES-HD,Commercial,COM3,RMasonry,RM1L,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928234-RES3C-W1-LC,-73.56786643,45.49171009,RES3C-W1-LC,3,684733.5,3119341.5,273893.4,416467.17,9.57,40.86,26.77,RES-HD,Residential-MD,RES3C,Wood,W1,1973-1989,SSC-2,LC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928235-COM4-S4L-PC,-73.56786643,45.49171009,COM4-S4L-PC,1,1236121,2016829,1112508.9,240180.99,26.91,0,12.26,RES-HD,Commercial,COM4,Steel,S4L,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928236-COM3-URML-PC,-73.56786643,45.49171009,COM3-URML-PC,2,346750,565750,312075,114820.6,11.1,0.13,5.77,RES-HD,Commercial,COM3,URMasonry,URML,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928237-RES3F-C2H-PC,-73.56786643,45.49171009,RES3F-C2H-PC,1,4036435.2,18388204.8,1614574.08,1514807.04,33.15,141.49,92.7,RES-HD,Residential-HD,RES3F,Concrete,C2H,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928238-COM7-W3-PC,-73.56786643,45.49171009,COM7-W3-PC,1,1020680,1665320,918612,107946.51,11.09,0.06,5.05,RES-HD,Commercial,COM7,Wood,W3,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928239-COM3-C3L-PC,-73.56786643,45.49171009,COM3-C3L-PC,1,173375,282875,156037.5,241964.12,5.55,0.06,2.89,RES-HD,Commercial,COM3,Concrete,C3L,Pre-1973,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928240-RES3E-W2-PC,-73.56786643,45.49171009,RES3E-W2-PC,1,1101402,5017498,440560.8,451787.9,9.64,41.16,26.97,RES-HD,Residential-HD,RES3E,Wood,W2,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928241-RES3C-W4-PC,-73.56786643,45.49171009,RES3C-W4-PC,1,228244.5,1039780.5,91297.8,529007.08,3.19,13.62,8.92,RES-HD,Residential-MD,RES3C,Wood,W4,Pre-1973,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928242-RES3B-URML-PC,-73.56786643,45.49171009,RES3B-URML-PC,5,945157.5,4305717.5,378063,555228.39,7.09,30.27,19.83,RES-HD,Residential-MD,RES3B,URMasonry,URML,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928243-RES3B-W1-LC,-73.56786643,45.49171009,RES3B-W1-LC,1,189031.5,861143.5,75612.6,112073.88,1.42,6.05,3.97,RES-HD,Residential-MD,RES3B,Wood,W1,1973-1989,SSC-2,LC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928244-RES3C-W2-PC,-73.56786643,45.49171009,RES3C-W2-PC,1,228244.5,1039780.5,91297.8,529007.08,3.19,13.62,8.92,RES-HD,Residential-MD,RES3C,Wood,W2,Pre-1973,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928245-RES3B-W4-PC,-73.56786643,45.49171009,RES3B-W4-PC,2,378063,1722287,151225.2,224147.76,2.84,12.11,7.93,RES-HD,Residential-MD,RES3B,Wood,W4,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928246-RES3E-W4-LC,-73.56786643,45.49171009,RES3E-W4-LC,1,1101402,5017498,440560.8,451787.9,9.64,41.16,26.97,RES-HD,Residential-HD,RES3E,Wood,W4,1990-2004,SSC-2,LC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928247-RES3C-W1-LC,-73.56786643,45.49171009,RES3C-W1-LC,1,228244.5,1039780.5,91297.8,529007.08,3.19,13.62,8.92,RES-HD,Residential-MD,RES3C,Wood,W1,Pre-1973,SSC-2,LC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
