id,lon,lat,taxonomy,number,structural,nonstructural,contents,retrofitting,day,night,transit,LandUse,GenOcc,OccClass,GenType,BldgType,BldEpoch,SSC_Zone,EqDesLev,SauidID,sauid,dauid,adauid,fsauid,csduid,csdname,cduid,cdname,SAC,eruid,ername,pruid,prname
71528-RES3B-W1-MC,-123.1229662,49.27609331,RES3B-W1-MC,1,257337,1172313,102934.8,112073.88,1.34,7.22,4.23,RES-HD,Residential-MD,RES3B,Wood,W1,1990-2004,SSC-4,MC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71529-RES3E-URMM-LC,-123.1229662,49.27609331,RES3E-URMM-LC,1,1447191,6592759,578876.4,447643.06,9.52,51.34,30.06,RES-HD,Residential-HD,RES3E,URMasonry,URMM,1973-1989,SSC-4,LC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71530-COM3-C2L-MC,-123.1229662,49.27609331,COM3-C2L-MC,1,221920,362080,199728,57941.88,5.32,0.08,3.12,RES-HD,Commercial,COM3,Concrete,C2L,1990-2004,SSC-4,MC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71531-COM3-RM1L-MC,-123.1229662,49.27609331,COM3-RM1L-MC,1,221920,362080,199728,57941.88,5.32,0.08,3.12,RES-HD,Commercial,COM3,RMasonry,RM1L,1990-2004,SSC-4,MC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71532-COM1-C3M-LC,-123.1229662,49.27609331,COM1-C3M-LC,1,624466.67,1018866.67,562020,414815.31,42.23,0.18,22.33,RES-HD,Commercial,COM1,Concrete,C3M,1973-1989,SSC-4,LC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71533-COM1-RM1L-HC,-123.1229662,49.27609331,COM1-RM1L-HC,2,1248933.33,2037733.33,1124040,269866.28,84.46,0.36,44.67,RES-HD,Commercial,COM1,RMasonry,RM1L,2005-2016,SSC-4,HC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71534-COM1-W3-MC,-123.1229662,49.27609331,COM1-W3-MC,2,1248933.33,2037733.33,1124040,269866.28,84.46,0.36,44.67,RES-HD,Commercial,COM1,Wood,W3,1990-2004,SSC-4,MC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71535-COM4-S5L-LC,-123.1229662,49.27609331,COM4-S5L-LC,1,1552338,2532762,1397104.2,913849.6,25.81,0,13.27,RES-HD,Commercial,COM4,Steel,S5L,1973-1989,SSC-4,LC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71536-COM4-W3-MC,-123.1229662,49.27609331,COM4-W3-MC,1,1552338,2532762,1397104.2,240180.99,25.81,0,13.27,RES-HD,Commercial,COM4,Wood,W3,1990-2004,SSC-4,MC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
71537-COM7-W3-MC,-123.1229662,49.27609331,COM7-W3-MC,2,2248080,3667920,2023272,215893.02,21.27,0.15,10.94,RES-HD,Commercial,COM7,Wood,W3,1990-2004,SSC-4,MC,59007562,59007562,59150779,59150312,V6B,5915022,Vancouver,5915,Greater Vancouver,1,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,British Columbia / Colombie-Britannique
