#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-08T20:27:18', checksum=2945867503, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
25,7.87468E+00,contents,Wood,1.54089E-07,4.00000E-02
50,3.41386E+02,contents,Wood,6.68013E-06,2.00000E-02
100,3.89505E+03,contents,Wood,7.62170E-05,1.00000E-02
250,4.35399E+04,contents,Wood,8.51974E-04,4.00000E-03
500,1.82020E+05,contents,Wood,3.56171E-03,2.00000E-03
1000,6.03681E+05,contents,Wood,1.18126E-02,1.00000E-03
2500,2.16087E+06,contents,Wood,4.22831E-02,4.00000E-04
25,1.73040E+02,nonstructural,Wood,5.83016E-07,4.00000E-02
50,6.23306E+03,nonstructural,Wood,2.10007E-05,2.00000E-02
100,4.68419E+04,nonstructural,Wood,1.57822E-04,1.00000E-02
250,3.36261E+05,nonstructural,Wood,1.13295E-03,4.00000E-03
500,1.11871E+06,nonstructural,Wood,3.76920E-03,2.00000E-03
1000,3.19445E+06,nonstructural,Wood,1.07629E-02,1.00000E-03
2500,1.02377E+07,nonstructural,Wood,3.44934E-02,4.00000E-04
50,9.89725E-10,occupants,Wood,5.17492E-13,2.00000E-02
100,1.81227E-05,occupants,Wood,9.47570E-09,1.00000E-02
250,7.20402E-04,occupants,Wood,3.76673E-07,4.00000E-03
500,4.80105E-03,occupants,Wood,2.51030E-06,2.00000E-03
1000,2.08848E-02,occupants,Wood,1.09199E-05,1.00000E-03
2500,9.48800E-02,occupants,Wood,4.96094E-05,4.00000E-04
25,9.57798E+03,structural,Wood,1.17510E-04,4.00000E-02
50,9.47679E+04,structural,Wood,1.16269E-03,2.00000E-02
100,3.57177E+05,structural,Wood,4.38214E-03,1.00000E-02
250,1.14339E+06,structural,Wood,1.40281E-02,4.00000E-03
500,2.17035E+06,structural,Wood,2.66276E-02,2.00000E-03
1000,4.07098E+06,structural,Wood,4.99461E-02,1.00000E-03
2500,9.43870E+06,structural,Wood,1.15802E-01,4.00000E-04
25,5.68622E-01,contents,RMasonry,4.31085E-08,4.00000E-02
50,3.08015E+01,contents,RMasonry,2.33513E-06,2.00000E-02
100,4.65747E+02,contents,RMasonry,3.53094E-05,1.00000E-02
250,7.25830E+03,contents,RMasonry,5.50268E-04,4.00000E-03
500,3.61527E+04,contents,RMasonry,2.74082E-03,2.00000E-03
1000,1.31809E+05,contents,RMasonry,9.99271E-03,1.00000E-03
2500,4.96515E+05,contents,RMasonry,3.76419E-02,4.00000E-04
25,4.98637E+00,nonstructural,RMasonry,1.78163E-07,4.00000E-02
50,2.15232E+02,nonstructural,RMasonry,7.69024E-06,2.00000E-02
100,1.93500E+03,nonstructural,RMasonry,6.91376E-05,1.00000E-02
250,1.71746E+04,nonstructural,RMasonry,6.13649E-04,4.00000E-03
500,6.51368E+04,nonstructural,RMasonry,2.32734E-03,2.00000E-03
1000,2.02136E+05,nonstructural,RMasonry,7.22230E-03,1.00000E-03
