#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-13T06:53:31', checksum=2943508206, risk_investigation_time=1.0, kind='agg_curves-quantile-0.95'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
10,3.12561E+02,contents,Wood,5.57050E-06,1.00000E-01
25,7.94354E+03,contents,Wood,1.41570E-04,4.00000E-02
50,4.93246E+04,contents,Wood,8.79068E-04,2.00000E-02
100,2.46620E+05,contents,Wood,4.39528E-03,1.00000E-02
250,9.18869E+05,contents,Wood,1.63762E-02,4.00000E-03
500,1.85820E+06,contents,Wood,3.31170E-02,2.00000E-03
1000,3.21919E+06,contents,Wood,5.73727E-02,1.00000E-03
2500,5.63022E+06,contents,Wood,1.00342E-01,4.00000E-04
10,4.05691E+03,nonstructural,Wood,1.39356E-05,1.00000E-01
25,8.29468E+04,nonstructural,Wood,2.84925E-04,4.00000E-02
50,3.80427E+05,nonstructural,Wood,1.30678E-03,2.00000E-02
100,1.24389E+06,nonstructural,Wood,4.27280E-03,1.00000E-02
250,3.31847E+06,nonstructural,Wood,1.13990E-02,4.00000E-03
500,6.20777E+06,nonstructural,Wood,2.13238E-02,2.00000E-03
1000,1.03851E+07,nonstructural,Wood,3.56730E-02,1.00000E-03
2500,1.82552E+07,nonstructural,Wood,6.27069E-02,4.00000E-04
50,1.20113E-04,occupants,Wood,7.70756E-08,2.00000E-02
100,1.03886E-03,occupants,Wood,6.66631E-07,1.00000E-02
250,7.36246E-03,occupants,Wood,4.72443E-06,4.00000E-03
500,2.22405E-02,occupants,Wood,1.42716E-05,2.00000E-03
1000,4.90567E-02,occupants,Wood,3.14793E-05,1.00000E-03
2500,1.12608E-01,occupants,Wood,7.22597E-05,4.00000E-04
5,1.52358E+05,structural,Wood,1.74609E-03,2.00000E-01
10,6.87332E+05,structural,Wood,7.87713E-03,1.00000E-01
25,1.39716E+06,structural,Wood,1.60120E-02,4.00000E-02
50,1.78461E+06,structural,Wood,2.04524E-02,2.00000E-02
100,2.40629E+06,structural,Wood,2.75771E-02,1.00000E-02
250,4.74414E+06,structural,Wood,5.43699E-02,4.00000E-03
500,8.14098E+06,structural,Wood,9.32992E-02,2.00000E-03
1000,1.28443E+07,structural,Wood,1.47201E-01,1.00000E-03
2500,2.02935E+07,structural,Wood,2.32573E-01,4.00000E-04
5,3.13623E+04,contents,URMasonry,6.26415E-04,2.00000E-01
10,2.62658E+05,contents,URMasonry,5.24619E-03,1.00000E-01
25,8.03751E+05,contents,URMasonry,1.60537E-02,4.00000E-02
50,1.37713E+06,contents,URMasonry,2.75060E-02,2.00000E-02
100,2.11444E+06,contents,URMasonry,4.22327E-02,1.00000E-02
250,3.32343E+06,contents,URMasonry,6.63805E-02,4.00000E-03
500,4.36241E+06,contents,URMasonry,8.71324E-02,2.00000E-03
1000,5.48067E+06,contents,URMasonry,1.09468E-01,1.00000E-03
2500,7.09878E+06,contents,URMasonry,1.41787E-01,4.00000E-04
5,3.35536E+04,nonstructural,URMasonry,3.01783E-04,2.00000E-01
10,3.16509E+05,nonstructural,URMasonry,2.84670E-03,1.00000E-01
25,1.48527E+06,nonstructural,URMasonry,1.33586E-02,4.00000E-02
50,3.50349E+06,nonstructural,URMasonry,3.15105E-02,2.00000E-02
100,7.05331E+06,nonstructural,URMasonry,6.34378E-02,1.00000E-02
250,1.41743E+07,nonstructural,URMasonry,1.27485E-01,4.00000E-03
500,2.16644E+07,nonstructural,URMasonry,1.94851E-01,2.00000E-03
1000,3.00458E+07,nonstructural,URMasonry,2.70234E-01,1.00000E-03
2500,4.20978E+07,nonstructural,URMasonry,3.78630E-01,4.00000E-04
25,4.52068E-04,occupants,URMasonry,2.69149E-07,4.00000E-02
50,9.89379E-03,occupants,URMasonry,5.89049E-06,2.00000E-02
100,8.67551E-02,occupants,URMasonry,5.16516E-05,1.00000E-02
250,4.74935E-01,occupants,URMasonry,2.82763E-04,4.00000E-03
500,1.09628E+00,occupants,URMasonry,6.52697E-04,2.00000E-03
1000,1.97832E+00,occupants,URMasonry,1.17784E-03,1.00000E-03
2500,3.66507E+00,occupants,URMasonry,2.18208E-03,4.00000E-04
5,5.14172E+02,structural,URMasonry,9.20003E-06,2.00000E-01
10,2.71081E+04,structural,URMasonry,4.85043E-04,1.00000E-01
25,3.36682E+05,structural,URMasonry,6.02422E-03,4.00000E-02
50,1.15216E+06,structural,URMasonry,2.06155E-02,2.00000E-02
100,2.87690E+06,structural,URMasonry,5.14761E-02,1.00000E-02
250,6.79400E+06,structural,URMasonry,1.21564E-01,4.00000E-03
500,1.10786E+07,structural,URMasonry,1.98229E-01,2.00000E-03
1000,1.62274E+07,structural,URMasonry,2.90356E-01,1.00000E-03
2500,2.34608E+07,structural,URMasonry,4.19782E-01,4.00000E-04
5,1.11873E+01,contents,Concrete,1.23056E-07,2.00000E-01
10,6.10059E+02,contents,Concrete,6.71044E-06,1.00000E-01
25,1.25910E+04,contents,Concrete,1.38497E-04,4.00000E-02
50,6.43085E+04,contents,Concrete,7.07372E-04,2.00000E-02
100,2.24010E+05,contents,Concrete,2.46404E-03,1.00000E-02
250,6.68088E+05,contents,Concrete,7.34874E-03,4.00000E-03
500,1.21734E+06,contents,Concrete,1.33903E-02,2.00000E-03
1000,1.92209E+06,contents,Concrete,2.11424E-02,1.00000E-03
2500,3.12848E+06,contents,Concrete,3.44122E-02,4.00000E-04
5,3.06297E+02,nonstructural,Concrete,1.18112E-06,2.00000E-01
10,7.86936E+03,nonstructural,Concrete,3.03453E-05,1.00000E-01
25,7.94879E+04,nonstructural,Concrete,3.06516E-04,4.00000E-02
50,2.93470E+05,nonstructural,Concrete,1.13166E-03,2.00000E-02
100,7.91573E+05,nonstructural,Concrete,3.05241E-03,1.00000E-02
250,1.92026E+06,nonstructural,Concrete,7.40478E-03,4.00000E-03
500,3.15345E+06,nonstructural,Concrete,1.21601E-02,2.00000E-03
1000,4.80259E+06,nonstructural,Concrete,1.85194E-02,1.00000E-03
2500,7.92794E+06,nonstructural,Concrete,3.05712E-02,4.00000E-04
25,6.37426E-04,occupants,Concrete,3.44844E-07,4.00000E-02
50,6.79587E-03,occupants,Concrete,3.67652E-06,2.00000E-02
100,3.61823E-02,occupants,Concrete,1.95744E-05,1.00000E-02
250,1.53310E-01,occupants,Concrete,8.29398E-05,4.00000E-03
500,3.01954E-01,occupants,Concrete,1.63355E-04,2.00000E-03
1000,5.03877E-01,occupants,Concrete,2.72594E-04,1.00000E-03
2500,8.30638E-01,occupants,Concrete,4.49370E-04,4.00000E-04
5,8.44607E+01,structural,Concrete,7.36223E-07,2.00000E-01
10,3.09228E+03,structural,Concrete,2.69546E-05,1.00000E-01
25,6.10043E+04,structural,Concrete,5.31759E-04,4.00000E-02
50,3.16672E+05,structural,Concrete,2.76035E-03,2.00000E-02
100,9.51160E+05,structural,Concrete,8.29102E-03,1.00000E-02
250,2.62079E+06,structural,Concrete,2.28447E-02,4.00000E-03
500,4.59655E+06,structural,Concrete,4.00670E-02,2.00000E-03
1000,7.51105E+06,structural,Concrete,6.54719E-02,1.00000E-03
2500,1.26987E+07,structural,Concrete,1.10692E-01,4.00000E-04
10,3.69852E+01,contents,RMasonry,2.57890E-06,1.00000E-01
25,1.32300E+03,contents,RMasonry,9.22502E-05,4.00000E-02
50,9.45943E+03,contents,RMasonry,6.59588E-04,2.00000E-02
100,4.28491E+04,contents,RMasonry,2.98778E-03,1.00000E-02
250,1.73647E+05,contents,RMasonry,1.21081E-02,4.00000E-03
500,3.80050E+05,contents,RMasonry,2.65002E-02,2.00000E-03
1000,7.07782E+05,contents,RMasonry,4.93523E-02,1.00000E-03
2500,1.31902E+06,contents,RMasonry,9.19725E-02,4.00000E-04
5,3.62080E+00,nonstructural,RMasonry,1.03120E-07,2.00000E-01
10,5.86176E+02,nonstructural,RMasonry,1.66942E-05,1.00000E-01
25,9.47343E+03,nonstructural,RMasonry,2.69802E-04,4.00000E-02
50,3.66045E+04,nonstructural,RMasonry,1.04249E-03,2.00000E-02
100,1.07963E+05,nonstructural,RMasonry,3.07477E-03,1.00000E-02
250,3.21166E+05,nonstructural,RMasonry,9.14678E-03,4.00000E-03
500,6.18684E+05,nonstructural,RMasonry,1.76200E-02,2.00000E-03
1000,1.07597E+06,nonstructural,RMasonry,3.06434E-02,1.00000E-03
2500,1.96372E+06,nonstructural,RMasonry,5.59265E-02,4.00000E-04
50,2.82426E-05,occupants,RMasonry,6.26528E-08,2.00000E-02
100,4.36202E-04,occupants,RMasonry,9.67660E-07,1.00000E-02
250,4.66940E-03,occupants,RMasonry,1.03585E-05,4.00000E-03
500,1.71380E-02,occupants,RMasonry,3.80186E-05,2.00000E-03
1000,5.00414E-02,occupants,RMasonry,1.11011E-04,1.00000E-03
2500,1.48148E-01,occupants,RMasonry,3.28649E-04,4.00000E-04
10,8.12429E+01,structural,RMasonry,4.70790E-06,1.00000E-01
25,3.15582E+03,structural,RMasonry,1.82875E-04,4.00000E-02
50,1.78592E+04,structural,RMasonry,1.03491E-03,2.00000E-02
100,6.25782E+04,structural,RMasonry,3.62631E-03,1.00000E-02
250,2.00537E+05,structural,RMasonry,1.16208E-02,4.00000E-03
500,3.89459E+05,structural,RMasonry,2.25685E-02,2.00000E-03
1000,6.74129E+05,structural,RMasonry,3.90647E-02,1.00000E-03
2500,1.22252E+06,structural,RMasonry,7.08431E-02,4.00000E-04
10,1.16788E+02,contents,Steel,4.85265E-06,1.00000E-01
25,3.44688E+03,contents,Steel,1.43222E-04,4.00000E-02
50,1.99187E+04,contents,Steel,8.27645E-04,2.00000E-02
100,7.96057E+04,contents,Steel,3.30771E-03,1.00000E-02
250,2.66563E+05,contents,Steel,1.10760E-02,4.00000E-03
500,5.15444E+05,contents,Steel,2.14173E-02,2.00000E-03
1000,8.54907E+05,contents,Steel,3.55224E-02,1.00000E-03
2500,1.44748E+06,contents,Steel,6.01443E-02,4.00000E-04
5,7.59829E+01,nonstructural,Steel,1.54521E-06,2.00000E-01
10,3.19966E+03,nonstructural,Steel,6.50694E-05,1.00000E-01
25,2.92690E+04,nonstructural,Steel,5.95224E-04,4.00000E-02
50,9.62436E+04,nonstructural,Steel,1.95724E-03,2.00000E-02
100,2.45324E+05,nonstructural,Steel,4.98899E-03,1.00000E-02
250,5.87010E+05,nonstructural,Steel,1.19376E-02,4.00000E-03
500,1.00223E+06,nonstructural,Steel,2.03817E-02,2.00000E-03
1000,1.56762E+06,nonstructural,Steel,3.18797E-02,1.00000E-03
2500,2.57790E+06,nonstructural,Steel,5.24249E-02,4.00000E-04
25,1.30423E-04,occupants,Steel,1.83425E-07,4.00000E-02
50,1.65623E-03,occupants,Steel,2.32930E-06,2.00000E-02
100,1.03800E-02,occupants,Steel,1.45983E-05,1.00000E-02
250,4.79045E-02,occupants,Steel,6.73724E-05,4.00000E-03
500,1.02477E-01,occupants,Steel,1.44123E-04,2.00000E-03
1000,1.82959E-01,occupants,Steel,2.57312E-04,1.00000E-03
2500,3.29812E-01,occupants,Steel,4.63844E-04,4.00000E-04
5,6.25129E+00,structural,Steel,2.26950E-07,2.00000E-01
10,1.37834E+03,structural,Steel,5.00399E-05,1.00000E-01
25,2.06790E+04,structural,Steel,7.50741E-04,4.00000E-02
50,9.04858E+04,structural,Steel,3.28504E-03,2.00000E-02
100,2.64033E+05,structural,Steel,9.58558E-03,1.00000E-02
250,6.93470E+05,structural,Steel,2.51761E-02,4.00000E-03
500,1.21682E+06,structural,Steel,4.41761E-02,2.00000E-03
1000,1.92836E+06,structural,Steel,7.00082E-02,1.00000E-03
2500,3.05706E+06,structural,Steel,1.10985E-01,4.00000E-04
25,9.01807E+01,contents,Precast,1.73326E-05,4.00000E-02
50,9.86072E+02,contents,Precast,1.89522E-04,2.00000E-02
100,5.90279E+03,contents,Precast,1.13451E-03,1.00000E-02
250,3.57317E+04,contents,Precast,6.86758E-03,4.00000E-03
500,1.01782E+05,contents,Precast,1.95623E-02,2.00000E-03
1000,2.36204E+05,contents,Precast,4.53981E-02,1.00000E-03
2500,5.46196E+05,contents,Precast,1.04978E-01,4.00000E-04
10,1.44212E+02,nonstructural,Precast,1.52892E-05,1.00000E-01
25,3.63826E+03,nonstructural,Precast,3.85725E-04,4.00000E-02
50,1.47897E+04,nonstructural,Precast,1.56799E-03,2.00000E-02
100,3.70332E+04,nonstructural,Precast,3.92624E-03,1.00000E-02
250,1.03255E+05,nonstructural,Precast,1.09470E-02,4.00000E-03
500,2.10702E+05,nonstructural,Precast,2.23385E-02,2.00000E-03
1000,4.12309E+05,nonstructural,Precast,4.37127E-02,1.00000E-03
2500,8.63260E+05,nonstructural,Precast,9.15222E-02,4.00000E-04
100,8.78123E-06,occupants,Precast,9.97073E-08,1.00000E-02
250,6.90446E-04,occupants,Precast,7.83974E-06,4.00000E-03
500,5.23611E-03,occupants,Precast,5.94539E-05,2.00000E-03
1000,2.34529E-02,occupants,Precast,2.66299E-04,1.00000E-03
2500,9.23523E-02,occupants,Precast,1.04862E-03,4.00000E-04
10,1.50575E+01,structural,Precast,2.60462E-06,1.00000E-01
25,1.14918E+03,structural,Precast,1.98783E-04,4.00000E-02
50,8.53581E+03,structural,Precast,1.47651E-03,2.00000E-02
100,3.09447E+04,structural,Precast,5.35278E-03,1.00000E-02
250,1.08007E+05,structural,Precast,1.86830E-02,4.00000E-03
500,2.26115E+05,structural,Precast,3.91131E-02,2.00000E-03
1000,4.18401E+05,structural,Precast,7.23746E-02,1.00000E-03
2500,8.11002E+05,structural,Precast,1.40286E-01,4.00000E-04
5,3.16487E+04,contents,*total*,1.31486E-04,2.00000E-01
10,2.68540E+05,contents,*total*,1.11566E-03,1.00000E-01
25,8.74490E+05,contents,*total*,3.63312E-03,4.00000E-02
50,1.63142E+06,contents,*total*,6.77782E-03,2.00000E-02
100,2.89007E+06,contents,*total*,1.20070E-02,1.00000E-02
250,5.31472E+06,contents,*total*,2.20803E-02,4.00000E-03
500,7.81029E+06,contents,*total*,3.24483E-02,2.00000E-03
1000,1.08834E+07,contents,*total*,4.52155E-02,1.00000E-03
2500,1.60500E+07,contents,*total*,6.66808E-02,4.00000E-04
5,3.75079E+04,nonstructural,*total*,4.96564E-05,2.00000E-01
10,3.55703E+05,nonstructural,*total*,4.70913E-04,1.00000E-01
25,1.86495E+06,nonstructural,*total*,2.46900E-03,4.00000E-02
50,4.65969E+06,nonstructural,*total*,6.16893E-03,2.00000E-02
100,9.94521E+06,nonstructural,*total*,1.31664E-02,1.00000E-02
250,2.03250E+07,nonstructural,*total*,2.69081E-02,4.00000E-03
500,3.09992E+07,nonstructural,*total*,4.10396E-02,2.00000E-03
1000,4.30009E+07,nonstructural,*total*,5.69286E-02,1.00000E-03
2500,6.23197E+07,nonstructural,*total*,8.25046E-02,4.00000E-04
25,1.84294E-03,occupants,*total*,2.90852E-07,4.00000E-02
50,2.43890E-02,occupants,*total*,3.84906E-06,2.00000E-02
100,1.58827E-01,occupants,*total*,2.50661E-05,1.00000E-02
250,7.15489E-01,occupants,*total*,1.12918E-04,4.00000E-03
500,1.50673E+00,occupants,*total*,2.37791E-04,2.00000E-03
1000,2.67978E+00,occupants,*total*,4.22922E-04,1.00000E-03
2500,4.90693E+00,occupants,*total*,7.74411E-04,4.00000E-04
5,1.55723E+05,structural,*total*,5.04859E-04,2.00000E-01
10,7.37577E+05,structural,*total*,2.39124E-03,1.00000E-01
25,1.91744E+06,structural,*total*,6.21639E-03,4.00000E-02
50,3.64371E+06,structural,*total*,1.18130E-02,2.00000E-02
100,7.16281E+06,structural,*total*,2.32220E-02,1.00000E-02
250,1.52481E+07,structural,*total*,4.94347E-02,4.00000E-03
500,2.39819E+07,structural,*total*,7.77499E-02,2.00000E-03
1000,3.52228E+07,structural,*total*,1.14193E-01,1.00000E-03
2500,5.30746E+07,structural,*total*,1.72069E-01,4.00000E-04
