#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-06-10T11:53:44', checksum=2932367083, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,fsauid,GenOcc,GenType,loss_ratio,annual_frequency_of_exceedence
10,9.42924E+01,contents,V6B,Residential-HD,URMasonry,1.62889E-04,1.00000E-01
25,2.22686E+03,contents,V6B,Residential-HD,URMasonry,3.84687E-03,4.00000E-02
50,6.59858E+03,contents,V6B,Residential-HD,URMasonry,1.13989E-02,2.00000E-02
100,1.33518E+04,contents,V6B,Residential-HD,URMasonry,2.30650E-02,1.00000E-02
250,2.70421E+04,contents,V6B,Residential-HD,URMasonry,4.67149E-02,4.00000E-03
500,4.08146E+04,contents,V6B,Residential-HD,URMasonry,7.05066E-02,2.00000E-03
1000,5.68671E+04,contents,V6B,Residential-HD,URMasonry,9.82370E-02,1.00000E-03
2500,8.05008E+04,contents,V6B,Residential-HD,URMasonry,1.39064E-01,4.00000E-04
10,4.36652E+02,nonstructural,V6B,Residential-HD,URMasonry,6.62320E-05,1.00000E-01
25,1.26369E+04,nonstructural,V6B,Residential-HD,URMasonry,1.91679E-03,4.00000E-02
50,4.83769E+04,nonstructural,V6B,Residential-HD,URMasonry,7.33788E-03,2.00000E-02
100,1.35032E+05,nonstructural,V6B,Residential-HD,URMasonry,2.04819E-02,1.00000E-02
250,4.05431E+05,nonstructural,V6B,Residential-HD,URMasonry,6.14964E-02,4.00000E-03
500,7.89651E+05,nonstructural,V6B,Residential-HD,URMasonry,1.19776E-01,2.00000E-03
1000,1.35097E+06,nonstructural,V6B,Residential-HD,URMasonry,2.04917E-01,1.00000E-03
2500,2.30140E+06,nonstructural,V6B,Residential-HD,URMasonry,3.49080E-01,4.00000E-04
100,6.12829E-07,occupants,V6B,Residential-HD,URMasonry,6.43728E-08,1.00000E-02
250,5.80412E-05,occupants,V6B,Residential-HD,URMasonry,6.09676E-06,4.00000E-03
500,5.30951E-04,occupants,V6B,Residential-HD,URMasonry,5.57722E-05,2.00000E-03
1000,2.75875E-03,occupants,V6B,Residential-HD,URMasonry,2.89784E-04,1.00000E-03
2500,1.27097E-02,occupants,V6B,Residential-HD,URMasonry,1.33505E-03,4.00000E-04
10,9.36514E-01,structural,V6B,Residential-HD,URMasonry,6.47126E-07,1.00000E-01
25,3.18949E+02,structural,V6B,Residential-HD,URMasonry,2.20392E-04,4.00000E-02
50,2.86874E+03,structural,V6B,Residential-HD,URMasonry,1.98228E-03,2.00000E-02
100,1.43067E+04,structural,V6B,Residential-HD,URMasonry,9.88586E-03,1.00000E-02
250,6.63217E+04,structural,V6B,Residential-HD,URMasonry,4.58279E-02,4.00000E-03
500,1.53982E+05,structural,V6B,Residential-HD,URMasonry,1.06401E-01,2.00000E-03
1000,2.90787E+05,structural,V6B,Residential-HD,URMasonry,2.00932E-01,1.00000E-03
2500,5.29625E+05,structural,V6B,Residential-HD,URMasonry,3.65968E-01,4.00000E-04
10,2.81072E-01,contents,V6B,Residential-HD,Concrete,3.37179E-07,1.00000E-01
25,1.59349E+01,contents,V6B,Residential-HD,Concrete,1.91158E-05,4.00000E-02
50,1.58789E+02,contents,V6B,Residential-HD,Concrete,1.90486E-04,2.00000E-02
100,1.02157E+03,contents,V6B,Residential-HD,Concrete,1.22549E-03,1.00000E-02
250,6.31051E+03,contents,V6B,Residential-HD,Concrete,7.57021E-03,4.00000E-03
500,1.68753E+04,contents,V6B,Residential-HD,Concrete,2.02439E-02,2.00000E-03
1000,3.52450E+04,contents,V6B,Residential-HD,Concrete,4.22806E-02,1.00000E-03
2500,7.12627E+04,contents,V6B,Residential-HD,Concrete,8.54881E-02,4.00000E-04
10,3.68054E+01,nonstructural,V6B,Residential-HD,Concrete,3.87680E-06,1.00000E-01
25,1.59379E+03,nonstructural,V6B,Residential-HD,Concrete,1.67878E-04,4.00000E-02
50,8.86039E+03,nonstructural,V6B,Residential-HD,Concrete,9.33286E-04,2.00000E-02
100,3.06832E+04,nonstructural,V6B,Residential-HD,Concrete,3.23194E-03,1.00000E-02
250,1.08888E+05,nonstructural,V6B,Residential-HD,Concrete,1.14694E-02,4.00000E-03
500,2.33401E+05,nonstructural,V6B,Residential-HD,Concrete,2.45847E-02,2.00000E-03
1000,4.35153E+05,nonstructural,V6B,Residential-HD,Concrete,4.58357E-02,1.00000E-03
2500,8.27886E+05,nonstructural,V6B,Residential-HD,Concrete,8.72033E-02,4.00000E-04
25,3.29527E-07,occupants,V6B,Residential-HD,Concrete,2.26013E-08,4.00000E-02
50,1.24220E-05,occupants,V6B,Residential-HD,Concrete,8.51989E-07,2.00000E-02
100,1.58003E-04,occupants,V6B,Residential-HD,Concrete,1.08370E-05,1.00000E-02
250,1.59691E-03,occupants,V6B,Residential-HD,Concrete,1.09528E-04,4.00000E-03
500,5.15244E-03,occupants,V6B,Residential-HD,Concrete,3.53391E-04,2.00000E-03
1000,1.17310E-02,occupants,V6B,Residential-HD,Concrete,8.04597E-04,1.00000E-03
