#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-02T21:45:15', checksum=1432318484, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,fsauid,GenOcc,GenType,loss_ratio,annual_frequency_of_exceedence
25,3.40343E+02,contents,V6B,Residential-HD,URMasonry,5.87938E-04,4.00000E-02
50,2.51852E+03,contents,V6B,Residential-HD,URMasonry,4.35070E-03,2.00000E-02
100,6.80380E+03,contents,V6B,Residential-HD,URMasonry,1.17535E-02,1.00000E-02
250,1.62124E+04,contents,V6B,Residential-HD,URMasonry,2.80066E-02,4.00000E-03
500,2.63140E+04,contents,V6B,Residential-HD,URMasonry,4.54571E-02,2.00000E-03
1000,3.87517E+04,contents,V6B,Residential-HD,URMasonry,6.69429E-02,1.00000E-03
2500,5.87895E+04,contents,V6B,Residential-HD,URMasonry,1.01558E-01,4.00000E-04
25,1.72808E+03,nonstructural,V6B,Residential-HD,URMasonry,2.62119E-04,4.00000E-02
50,1.58188E+04,nonstructural,V6B,Residential-HD,URMasonry,2.39941E-03,2.00000E-02
100,5.73022E+04,nonstructural,V6B,Residential-HD,URMasonry,8.69169E-03,1.00000E-02
250,2.09009E+05,nonstructural,V6B,Residential-HD,URMasonry,3.17028E-02,4.00000E-03
500,4.38786E+05,nonstructural,V6B,Residential-HD,URMasonry,6.65557E-02,2.00000E-03
1000,7.88452E+05,nonstructural,V6B,Residential-HD,URMasonry,1.19594E-01,1.00000E-03
2500,1.45797E+06,nonstructural,V6B,Residential-HD,URMasonry,2.21147E-01,4.00000E-04
250,4.51933E-07,occupants,V6B,Residential-HD,URMasonry,4.74720E-08,4.00000E-03
500,3.25331E-05,occupants,V6B,Residential-HD,URMasonry,3.41735E-06,2.00000E-03
1000,4.01521E-04,occupants,V6B,Residential-HD,URMasonry,4.21766E-05,1.00000E-03
2500,3.46441E-03,occupants,V6B,Residential-HD,URMasonry,3.63909E-04,4.00000E-04
25,2.01879E+01,structural,V6B,Residential-HD,URMasonry,1.39497E-05,4.00000E-02
50,6.26201E+02,structural,V6B,Residential-HD,URMasonry,4.32701E-04,2.00000E-02
100,4.82006E+03,structural,V6B,Residential-HD,URMasonry,3.33063E-03,1.00000E-02
250,3.06118E+04,structural,V6B,Residential-HD,URMasonry,2.11526E-02,4.00000E-03
500,7.83764E+04,structural,V6B,Residential-HD,URMasonry,5.41576E-02,2.00000E-03
1000,1.57971E+05,structural,V6B,Residential-HD,URMasonry,1.09157E-01,1.00000E-03
2500,3.19320E+05,structural,V6B,Residential-HD,URMasonry,2.20648E-01,4.00000E-04
25,1.28435E-01,contents,V6B,Residential-HD,Concrete,1.54074E-07,4.00000E-02
50,8.68363E+00,contents,V6B,Residential-HD,Concrete,1.04171E-05,2.00000E-02
100,1.12646E+02,contents,V6B,Residential-HD,Concrete,1.35132E-04,1.00000E-02
250,1.43246E+03,contents,V6B,Residential-HD,Concrete,1.71840E-03,4.00000E-03
500,5.67370E+03,contents,V6B,Residential-HD,Concrete,6.80628E-03,2.00000E-03
1000,1.57967E+04,contents,V6B,Residential-HD,Concrete,1.89500E-02,1.00000E-03
2500,4.13770E+04,contents,V6B,Residential-HD,Concrete,4.96366E-02,4.00000E-04
25,1.21575E+01,nonstructural,V6B,Residential-HD,Concrete,1.28058E-06,4.00000E-02
50,1.32923E+03,nonstructural,V6B,Residential-HD,Concrete,1.40011E-04,2.00000E-02
100,7.80995E+03,nonstructural,V6B,Residential-HD,Concrete,8.22641E-04,1.00000E-02
250,3.98956E+04,nonstructural,V6B,Residential-HD,Concrete,4.20229E-03,4.00000E-03
500,1.01992E+05,nonstructural,V6B,Residential-HD,Concrete,1.07431E-02,2.00000E-03
1000,2.23732E+05,nonstructural,V6B,Residential-HD,Concrete,2.35662E-02,1.00000E-03
2500,5.01634E+05,nonstructural,V6B,Residential-HD,Concrete,5.28383E-02,4.00000E-04
100,5.92956E-06,occupants,V6B,Residential-HD,Concrete,4.06692E-07,1.00000E-02
250,2.32724E-04,occupants,V6B,Residential-HD,Concrete,1.59619E-05,4.00000E-03
500,1.37946E-03,occupants,V6B,Residential-HD,Concrete,9.46134E-05,2.00000E-03
1000,4.84413E-03,occupants,V6B,Residential-HD,Concrete,3.32245E-04,1.00000E-03
2500,1.39739E-02,occupants,V6B,Residential-HD,Concrete,9.58427E-04,4.00000E-04
25,3.31746E-01,structural,V6B,Residential-HD,Concrete,1.59188E-07,4.00000E-02
50,1.30741E+02,structural,V6B,Residential-HD,Concrete,6.27359E-05,2.00000E-02
100,1.54579E+03,structural,V6B,Residential-HD,Concrete,7.41744E-04,1.00000E-02
250,1.46585E+04,structural,V6B,Residential-HD,Concrete,7.03384E-03,4.00000E-03
500,4.61977E+04,structural,V6B,Residential-HD,Concrete,2.21679E-02,2.00000E-03
1000,1.07345E+05,structural,V6B,Residential-HD,Concrete,5.15091E-02,1.00000E-03
