#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-02T23:58:04', checksum=1432318484, risk_investigation_time=1.0, kind='agg_curves-quantile-0.05'"
return_period,loss_value,loss_type,fsauid,GenOcc,GenType,loss_ratio,annual_frequency_of_exceedence
100,6.11435E+02,contents,V6B,Residential-HD,URMasonry,1.05624E-03,1.00000E-02
250,5.35274E+03,contents,V6B,Residential-HD,URMasonry,9.24677E-03,4.00000E-03
500,1.14033E+04,contents,V6B,Residential-HD,URMasonry,1.96991E-02,2.00000E-03
1000,2.06788E+04,contents,V6B,Residential-HD,URMasonry,3.57223E-02,1.00000E-03
2500,3.80770E+04,contents,V6B,Residential-HD,URMasonry,6.57774E-02,4.00000E-04
100,2.78625E+03,nonstructural,V6B,Residential-HD,URMasonry,4.22623E-04,1.00000E-02
250,3.28159E+04,nonstructural,V6B,Residential-HD,URMasonry,4.97756E-03,4.00000E-03
500,9.93315E+04,nonstructural,V6B,Residential-HD,URMasonry,1.50668E-02,2.00000E-03
1000,2.51470E+05,nonstructural,V6B,Residential-HD,URMasonry,3.81434E-02,1.00000E-03
2500,6.80254E+05,nonstructural,V6B,Residential-HD,URMasonry,1.03182E-01,4.00000E-04
1000,2.52294E-05,occupants,V6B,Residential-HD,URMasonry,2.65014E-06,1.00000E-03
2500,6.71955E-04,occupants,V6B,Residential-HD,URMasonry,7.05835E-05,4.00000E-04
100,2.11668E+00,structural,V6B,Residential-HD,URMasonry,1.46261E-06,1.00000E-02
250,1.07043E+03,structural,V6B,Residential-HD,URMasonry,7.39658E-04,4.00000E-03
500,7.90835E+03,structural,V6B,Residential-HD,URMasonry,5.46462E-03,2.00000E-03
1000,3.30744E+04,structural,V6B,Residential-HD,URMasonry,2.28542E-02,1.00000E-03
2500,1.26462E+05,structural,V6B,Residential-HD,URMasonry,8.73845E-02,4.00000E-04
100,1.90166E+00,contents,V6B,Residential-HD,Concrete,2.28127E-06,1.00000E-02
250,1.04191E+02,contents,V6B,Residential-HD,Concrete,1.24990E-04,4.00000E-03
500,9.70836E+02,contents,V6B,Residential-HD,Concrete,1.16463E-03,2.00000E-03
1000,5.71946E+03,contents,V6B,Residential-HD,Concrete,6.86117E-03,1.00000E-03
2500,2.18258E+04,contents,V6B,Residential-HD,Concrete,2.61826E-02,4.00000E-04
100,2.00183E+02,nonstructural,V6B,Residential-HD,Concrete,2.10858E-05,1.00000E-02
250,9.23858E+03,nonstructural,V6B,Residential-HD,Concrete,9.73122E-04,4.00000E-03
500,4.03032E+04,nonstructural,V6B,Residential-HD,Concrete,4.24524E-03,2.00000E-03
1000,1.15812E+05,nonstructural,V6B,Residential-HD,Concrete,1.21988E-02,1.00000E-03
2500,2.89573E+05,nonstructural,V6B,Residential-HD,Concrete,3.05014E-02,4.00000E-04
250,4.67376E-06,occupants,V6B,Residential-HD,Concrete,3.20559E-07,4.00000E-03
500,1.43602E-04,occupants,V6B,Residential-HD,Concrete,9.84928E-06,2.00000E-03
1000,1.47888E-03,occupants,V6B,Residential-HD,Concrete,1.01432E-04,1.00000E-03
2500,6.77264E-03,occupants,V6B,Residential-HD,Concrete,4.64516E-04,4.00000E-04
100,5.14485E+00,structural,V6B,Residential-HD,Concrete,2.46874E-06,1.00000E-02
250,1.96846E+03,structural,V6B,Residential-HD,Concrete,9.44561E-04,4.00000E-03
500,1.63991E+04,structural,V6B,Residential-HD,Concrete,7.86906E-03,2.00000E-03
1000,5.43953E+04,structural,V6B,Residential-HD,Concrete,2.61015E-02,1.00000E-03
2500,1.43497E+05,structural,V6B,Residential-HD,Concrete,6.88568E-02,4.00000E-04
100,8.27293E+04,contents,V6B,Commercial,URMasonry,2.49809E-03,1.00000E-02
250,4.10875E+05,contents,V6B,Commercial,URMasonry,1.24068E-02,4.00000E-03
500,8.38787E+05,contents,V6B,Commercial,URMasonry,2.53280E-02,2.00000E-03
1000,1.42225E+06,contents,V6B,Commercial,URMasonry,4.29463E-02,1.00000E-03
2500,2.28352E+06,contents,V6B,Commercial,URMasonry,6.89531E-02,4.00000E-04
100,6.99017E+04,nonstructural,V6B,Commercial,URMasonry,1.16432E-03,1.00000E-02
250,5.17180E+05,nonstructural,V6B,Commercial,URMasonry,8.61441E-03,4.00000E-03
500,1.58266E+06,nonstructural,V6B,Commercial,URMasonry,2.63616E-02,2.00000E-03
1000,3.65732E+06,nonstructural,V6B,Commercial,URMasonry,6.09181E-02,1.00000E-03
2500,7.81234E+06,nonstructural,V6B,Commercial,URMasonry,1.30126E-01,4.00000E-04
500,3.49520E-03,occupants,V6B,Commercial,URMasonry,3.06637E-06,2.00000E-03
1000,4.81169E-02,occupants,V6B,Commercial,URMasonry,4.22134E-05,1.00000E-03
2500,2.91105E-01,occupants,V6B,Commercial,URMasonry,2.55389E-04,4.00000E-04
100,2.90704E+03,structural,V6B,Commercial,URMasonry,7.90029E-05,1.00000E-02
250,1.02298E+05,structural,V6B,Commercial,URMasonry,2.78008E-03,4.00000E-03
500,5.72499E+05,structural,V6B,Commercial,URMasonry,1.55585E-02,2.00000E-03
1000,1.77114E+06,structural,V6B,Commercial,URMasonry,4.81332E-02,1.00000E-03
2500,4.52987E+06,structural,V6B,Commercial,URMasonry,1.23105E-01,4.00000E-04
100,7.28316E+01,contents,V6B,Commercial,Concrete,1.47014E-05,1.00000E-02
250,2.49776E+03,contents,V6B,Commercial,Concrete,5.04184E-04,4.00000E-03
500,2.42972E+04,contents,V6B,Commercial,Concrete,4.90452E-03,2.00000E-03
1000,9.92703E+04,contents,V6B,Commercial,Concrete,2.00382E-02,1.00000E-03
2500,2.81271E+05,contents,V6B,Commercial,Concrete,5.67759E-02,4.00000E-04
100,6.41121E+02,nonstructural,V6B,Commercial,Concrete,7.13861E-05,1.00000E-02
250,8.76467E+03,nonstructural,V6B,Commercial,Concrete,9.75909E-04,4.00000E-03
500,4.39548E+04,nonstructural,V6B,Commercial,Concrete,4.89419E-03,2.00000E-03
1000,1.35249E+05,nonstructural,V6B,Commercial,Concrete,1.50595E-02,1.00000E-03
2500,3.48034E+05,nonstructural,V6B,Commercial,Concrete,3.87521E-02,4.00000E-04
250,7.22594E-05,occupants,V6B,Commercial,Concrete,5.29683E-07,4.00000E-03
500,2.41212E-03,occupants,V6B,Commercial,Concrete,1.76816E-05,2.00000E-03
1000,1.85330E-02,occupants,V6B,Commercial,Concrete,1.35852E-04,1.00000E-03
2500,7.97475E-02,occupants,V6B,Commercial,Concrete,5.84573E-04,4.00000E-04
100,2.34890E+02,structural,V6B,Commercial,Concrete,4.26723E-05,1.00000E-02
250,6.01350E+03,structural,V6B,Commercial,Concrete,1.09247E-03,4.00000E-03
500,3.44114E+04,structural,V6B,Commercial,Concrete,6.25149E-03,2.00000E-03
1000,1.03911E+05,structural,V6B,Commercial,Concrete,1.88775E-02,1.00000E-03
2500,2.35906E+05,structural,V6B,Commercial,Concrete,4.28570E-02,4.00000E-04
100,1.77071E+01,contents,V6B,Commercial,Steel,9.03828E-06,1.00000E-02
250,6.61081E+02,contents,V6B,Commercial,Steel,3.37437E-04,4.00000E-03
500,5.46705E+03,contents,V6B,Commercial,Steel,2.79056E-03,2.00000E-03
1000,2.66763E+04,contents,V6B,Commercial,Steel,1.36164E-02,1.00000E-03
2500,1.03792E+05,contents,V6B,Commercial,Steel,5.29789E-02,4.00000E-04
100,8.36882E+01,nonstructural,V6B,Commercial,Steel,2.35633E-05,1.00000E-02
250,1.87698E+03,nonstructural,V6B,Commercial,Steel,5.28485E-04,4.00000E-03
500,9.45376E+03,nonstructural,V6B,Commercial,Steel,2.66181E-03,2.00000E-03
1000,3.37287E+04,nonstructural,V6B,Commercial,Steel,9.49668E-03,1.00000E-03
2500,1.15305E+05,nonstructural,V6B,Commercial,Steel,3.24653E-02,4.00000E-04
250,3.89947E-06,occupants,V6B,Commercial,Steel,5.73115E-08,4.00000E-03
500,4.18891E-04,occupants,V6B,Commercial,Steel,6.15654E-06,2.00000E-03
1000,3.66605E-03,occupants,V6B,Commercial,Steel,5.38808E-05,1.00000E-03
2500,2.18351E-02,occupants,V6B,Commercial,Steel,3.20915E-04,4.00000E-04
100,5.45992E+01,structural,V6B,Commercial,Steel,2.50823E-05,1.00000E-02
250,1.92108E+03,structural,V6B,Commercial,Steel,8.82522E-04,4.00000E-03
500,9.93533E+03,structural,V6B,Commercial,Steel,4.56418E-03,2.00000E-03
1000,3.18761E+04,structural,V6B,Commercial,Steel,1.46435E-02,1.00000E-03
2500,9.20557E+04,structural,V6B,Commercial,Steel,4.22894E-02,4.00000E-04
