#,,,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-06-15T08:13:42', checksum=2933677653, risk_investigation_time=1.0, kind='agg_curves-quantile-0.5'"
return_period,loss_value,loss_type,fsauid,GenOcc,GenType,loss_ratio,annual_frequency_of_exceedence
25,5.84586E+02,contents,V6B,Residential-HD,URMasonry,1.00986E-03,4.00000E-02
50,4.72707E+03,contents,V6B,Residential-HD,URMasonry,8.16594E-03,2.00000E-02
100,1.01885E+04,contents,V6B,Residential-HD,URMasonry,1.76005E-02,1.00000E-02
250,2.18823E+04,contents,V6B,Residential-HD,URMasonry,3.78013E-02,4.00000E-03
500,3.41357E+04,contents,V6B,Residential-HD,URMasonry,5.89688E-02,2.00000E-03
1000,4.90887E+04,contents,V6B,Residential-HD,URMasonry,8.47999E-02,1.00000E-03
2500,7.25603E+04,contents,V6B,Residential-HD,URMasonry,1.25347E-01,4.00000E-04
25,2.65456E+03,nonstructural,V6B,Residential-HD,URMasonry,4.02647E-04,4.00000E-02
50,2.72828E+04,nonstructural,V6B,Residential-HD,URMasonry,4.13830E-03,2.00000E-02
100,8.30214E+04,nonstructural,V6B,Residential-HD,URMasonry,1.25928E-02,1.00000E-02
250,2.73751E+05,nonstructural,V6B,Residential-HD,URMasonry,4.15230E-02,4.00000E-03
500,5.65101E+05,nonstructural,V6B,Residential-HD,URMasonry,8.57154E-02,2.00000E-03
1000,1.03810E+06,nonstructural,V6B,Residential-HD,URMasonry,1.57460E-01,1.00000E-03
2500,1.96198E+06,nonstructural,V6B,Residential-HD,URMasonry,2.97596E-01,4.00000E-04
500,8.94920E-05,occupants,V6B,Residential-HD,URMasonry,9.40042E-06,2.00000E-03
1000,9.19500E-04,occupants,V6B,Residential-HD,URMasonry,9.65862E-05,1.00000E-03
2500,7.41939E-03,occupants,V6B,Residential-HD,URMasonry,7.79348E-04,4.00000E-04
25,7.27332E-01,structural,V6B,Residential-HD,URMasonry,5.02582E-07,4.00000E-02
50,6.82927E+02,structural,V6B,Residential-HD,URMasonry,4.71899E-04,2.00000E-02
100,5.76299E+03,structural,V6B,Residential-HD,URMasonry,3.98219E-03,1.00000E-02
250,3.71654E+04,structural,V6B,Residential-HD,URMasonry,2.56810E-02,4.00000E-03
500,9.96728E+04,structural,V6B,Residential-HD,URMasonry,6.88733E-02,2.00000E-03
1000,2.12230E+05,structural,V6B,Residential-HD,URMasonry,1.46650E-01,1.00000E-03
2500,4.43192E+05,structural,V6B,Residential-HD,URMasonry,3.06243E-01,4.00000E-04
25,6.01342E-01,contents,V6B,Residential-HD,Concrete,7.21381E-07,4.00000E-02
50,2.76850E+01,contents,V6B,Residential-HD,Concrete,3.32115E-05,2.00000E-02
100,3.13300E+02,contents,V6B,Residential-HD,Concrete,3.75840E-04,1.00000E-02
250,3.00256E+03,contents,V6B,Residential-HD,Concrete,3.60193E-03,4.00000E-03
500,1.01720E+04,contents,V6B,Residential-HD,Concrete,1.22026E-02,2.00000E-03
1000,2.51073E+04,contents,V6B,Residential-HD,Concrete,3.01191E-02,1.00000E-03
2500,5.93907E+04,contents,V6B,Residential-HD,Concrete,7.12462E-02,4.00000E-04
25,8.21858E+01,nonstructural,V6B,Residential-HD,Concrete,8.65683E-06,4.00000E-02
50,3.80328E+03,nonstructural,V6B,Residential-HD,Concrete,4.00608E-04,2.00000E-02
100,1.63934E+04,nonstructural,V6B,Residential-HD,Concrete,1.72676E-03,1.00000E-02
250,6.72161E+04,nonstructural,V6B,Residential-HD,Concrete,7.08003E-03,4.00000E-03
500,1.57766E+05,nonstructural,V6B,Residential-HD,Concrete,1.66179E-02,2.00000E-03
1000,3.25633E+05,nonstructural,V6B,Residential-HD,Concrete,3.42997E-02,1.00000E-03
2500,6.95169E+05,nonstructural,V6B,Residential-HD,Concrete,7.32238E-02,4.00000E-04
100,2.01070E-05,occupants,V6B,Residential-HD,Concrete,1.37908E-06,1.00000E-02
250,5.70811E-04,occupants,V6B,Residential-HD,Concrete,3.91503E-05,4.00000E-03
500,2.73976E-03,occupants,V6B,Residential-HD,Concrete,1.87912E-04,2.00000E-03
1000,8.08911E-03,occupants,V6B,Residential-HD,Concrete,5.54809E-04,1.00000E-03
2500,2.03850E-02,occupants,V6B,Residential-HD,Concrete,1.39815E-03,4.00000E-04
25,1.27361E+00,structural,V6B,Residential-HD,Concrete,6.11138E-07,4.00000E-02
50,4.47695E+02,structural,V6B,Residential-HD,Concrete,2.14825E-04,2.00000E-02
100,3.90530E+03,structural,V6B,Residential-HD,Concrete,1.87395E-03,1.00000E-02
250,2.72578E+04,structural,V6B,Residential-HD,Concrete,1.30796E-02,4.00000E-03
500,7.36844E+04,structural,V6B,Residential-HD,Concrete,3.53573E-02,2.00000E-03
1000,1.56141E+05,structural,V6B,Residential-HD,Concrete,7.49237E-02,1.00000E-03
2500,3.43492E+05,structural,V6B,Residential-HD,Concrete,1.64824E-01,4.00000E-04
25,7.86186E+04,contents,V6B,Commercial,URMasonry,2.37397E-03,4.00000E-02
50,3.10733E+05,contents,V6B,Commercial,URMasonry,9.38289E-03,2.00000E-02
100,6.35906E+05,contents,V6B,Commercial,URMasonry,1.92018E-02,1.00000E-02
250,1.25577E+06,contents,V6B,Commercial,URMasonry,3.79192E-02,4.00000E-03
500,1.85706E+06,contents,V6B,Commercial,URMasonry,5.60758E-02,2.00000E-03
1000,2.56315E+06,contents,V6B,Commercial,URMasonry,7.73970E-02,1.00000E-03
2500,3.63205E+06,contents,V6B,Commercial,URMasonry,1.09673E-01,4.00000E-04
25,6.87020E+04,nonstructural,V6B,Commercial,URMasonry,1.14434E-03,4.00000E-02
