#,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-03T22:52:18', checksum=3195892295, investigation_time=1.0, risk_investigation_time=1.0"
loss_type,fsauid,GenOcc,GenType,loss_value,exposed_value,loss_ratio
contents,V6B,Residential-HD,URMasonry,4.72793E+02,5.78876E+05,8.16742E-04
nonstructural,V6B,Residential-HD,URMasonry,6.73058E+03,6.59276E+06,1.02090E-03
occupants,V6B,Residential-HD,URMasonry,1.83700E-05,9.52000E+00,1.92962E-06
structural,V6B,Residential-HD,URMasonry,1.12385E+03,1.44719E+06,7.76571E-04
contents,V6B,Residential-HD,Concrete,1.30078E+02,8.33598E+05,1.56044E-04
nonstructural,V6B,Residential-HD,Concrete,1.95377E+03,9.49376E+06,2.05795E-04
occupants,V6B,Residential-HD,Concrete,3.86165E-05,1.45800E+01,2.64860E-06
structural,V6B,Residential-HD,Concrete,8.59450E+02,2.08400E+06,4.12405E-04
contents,V6B,Commercial,URMasonry,2.84680E+04,3.31170E+07,8.59621E-04
nonstructural,V6B,Commercial,URMasonry,6.67189E+04,6.00366E+07,1.11130E-03
occupants,V6B,Commercial,URMasonry,2.35333E-03,1.13985E+03,2.06459E-06
structural,V6B,Commercial,URMasonry,3.17730E+04,3.67966E+07,8.63475E-04
contents,V6B,Commercial,Concrete,1.87622E+03,4.95405E+06,3.78724E-04
nonstructural,V6B,Commercial,Concrete,2.53674E+03,8.98103E+06,2.82455E-04
occupants,V6B,Commercial,Concrete,5.15123E-04,1.36420E+02,3.77601E-06
structural,V6B,Commercial,Concrete,1.72274E+03,5.50450E+06,3.12970E-04
contents,V6B,Commercial,Steel,8.33206E+02,1.95912E+06,4.25295E-04
nonstructural,V6B,Commercial,Steel,9.81667E+02,3.55163E+06,2.76399E-04
occupants,V6B,Commercial,Steel,1.67722E-04,6.80400E+01,2.46505E-06
structural,V6B,Commercial,Steel,7.86197E+02,2.17680E+06,3.61170E-04
contents,V6B,Commercial,Wood,3.63775E+02,7.61748E+05,4.77553E-04
nonstructural,V6B,Commercial,Wood,6.15906E+02,1.38095E+06,4.46003E-04
occupants,V6B,Commercial,Wood,3.12764E-05,4.75500E+01,6.57758E-07
structural,V6B,Commercial,Wood,1.58290E+03,8.46387E+05,1.87019E-03
contents,V6B,Commercial,RMasonry,8.36243E+01,1.99728E+05,4.18691E-04
nonstructural,V6B,Commercial,RMasonry,1.29247E+02,3.62080E+05,3.56956E-04
occupants,V6B,Commercial,RMasonry,1.79381E-05,5.32000E+00,3.37183E-06
structural,V6B,Commercial,RMasonry,6.17513E+01,2.21920E+05,2.78259E-04
contents,V6B,Industrial,URMasonry,4.40138E+03,4.91638E+06,8.95248E-04
nonstructural,V6B,Industrial,URMasonry,1.16868E+04,9.84624E+06,1.18693E-03
occupants,V6B,Industrial,URMasonry,1.31499E-04,5.89200E+01,2.23182E-06
structural,V6B,Industrial,URMasonry,3.41168E+03,3.64176E+06,9.36823E-04
contents,V6B,Industrial,Wood,5.87166E+02,1.22953E+06,4.77553E-04
nonstructural,V6B,Industrial,Wood,9.93454E+02,2.46244E+06,4.03444E-04
occupants,V6B,Industrial,Wood,7.03144E-06,1.06900E+01,6.57758E-07
structural,V6B,Industrial,Wood,1.91128E+03,9.10764E+05,2.09855E-03
contents,V6B,Residential-MD,URMasonry,9.20536E+01,1.02935E+05,8.94290E-04
nonstructural,V6B,Residential-MD,URMasonry,1.38889E+03,1.17231E+06,1.18474E-03
occupants,V6B,Residential-MD,URMasonry,2.95228E-06,1.34000E+00,2.20319E-06
structural,V6B,Residential-MD,URMasonry,2.40502E+02,2.57337E+05,9.34581E-04
contents,V6B,Civic,URMasonry,4.18176E+02,5.15531E+05,8.11156E-04
nonstructural,V6B,Civic,URMasonry,2.36916E+03,2.34853E+06,1.00878E-03
occupants,V6B,Civic,URMasonry,6.89750E-05,3.62400E+01,1.90328E-06
structural,V6B,Civic,URMasonry,3.94019E+02,5.15531E+05,7.64296E-04
contents,V6Z,Residential-HD,URMasonry,5.14084E+02,5.78876E+05,8.88072E-04
nonstructural,V6Z,Residential-HD,URMasonry,7.72243E+03,6.59276E+06,1.17135E-03
occupants,V6Z,Residential-HD,URMasonry,2.03503E-05,9.52000E+00,2.13764E-06
structural,V6Z,Residential-HD,URMasonry,1.33320E+03,1.44719E+06,9.21230E-04
contents,V6Z,Commercial,URMasonry,7.68462E+03,8.95089E+06,8.58531E-04
nonstructural,V6Z,Commercial,URMasonry,1.79886E+04,1.62268E+07,1.10858E-03
occupants,V6Z,Commercial,URMasonry,7.46256E-04,3.36000E+02,2.22100E-06
structural,V6Z,Commercial,URMasonry,8.55700E+03,9.94544E+06,8.60395E-04
