#,,,,,,"generated_by='OpenQuake engine 3.11.3-git0cccb86798', start_date='2021-06-03T06:26:06', checksum=3168367169, investigation_time=1.0, risk_investigation_time=1.0"
loss_type,fsauid,GenOcc,GenType,loss_value,exposed_value,loss_ratio
contents,V6B,Residential-HD,URMasonry,8.04161E+02,5.78876E+05,1.38918E-03
nonstructural,V6B,Residential-HD,URMasonry,1.10194E+04,6.59276E+06,1.67144E-03
occupants,V6B,Residential-HD,URMasonry,3.16408E-05,9.52000E+00,3.32361E-06
structural,V6B,Residential-HD,URMasonry,1.91355E+03,1.44719E+06,1.32225E-03
contents,V6B,Residential-HD,Concrete,2.19099E+02,8.33598E+05,2.62835E-04
nonstructural,V6B,Residential-HD,Concrete,3.19607E+03,9.49376E+06,3.36649E-04
occupants,V6B,Residential-HD,Concrete,6.58168E-05,1.45800E+01,4.51418E-06
structural,V6B,Residential-HD,Concrete,1.37762E+03,2.08400E+06,6.61050E-04
contents,V6B,Commercial,URMasonry,4.92128E+04,3.31170E+07,1.48603E-03
nonstructural,V6B,Commercial,URMasonry,1.12716E+05,6.00366E+07,1.87746E-03
occupants,V6B,Commercial,URMasonry,4.04287E-03,1.13985E+03,3.54685E-06
structural,V6B,Commercial,URMasonry,5.24614E+04,3.67966E+07,1.42571E-03
contents,V6B,Commercial,Concrete,3.08179E+03,4.95405E+06,6.22075E-04
nonstructural,V6B,Commercial,Concrete,4.23855E+03,8.98103E+06,4.71944E-04
occupants,V6B,Commercial,Concrete,8.66558E-04,1.36420E+02,6.35213E-06
structural,V6B,Commercial,Concrete,2.86326E+03,5.50450E+06,5.20168E-04
contents,V6B,Commercial,Steel,1.45737E+03,1.95912E+06,7.43890E-04
nonstructural,V6B,Commercial,Steel,1.69639E+03,3.55163E+06,4.77636E-04
occupants,V6B,Commercial,Steel,2.97339E-04,6.80400E+01,4.37006E-06
structural,V6B,Commercial,Steel,1.33865E+03,2.17680E+06,6.14959E-04
contents,V6B,Commercial,Wood,5.83832E+02,7.61748E+05,7.66438E-04
nonstructural,V6B,Commercial,Wood,1.00424E+03,1.38095E+06,7.27214E-04
occupants,V6B,Commercial,Wood,5.33713E-05,4.75500E+01,1.12243E-06
structural,V6B,Commercial,Wood,2.69234E+03,8.46387E+05,3.18098E-03
contents,V6B,Commercial,RMasonry,1.36730E+02,1.99728E+05,6.84581E-04
nonstructural,V6B,Commercial,RMasonry,2.13901E+02,3.62080E+05,5.90757E-04
occupants,V6B,Commercial,RMasonry,3.05999E-05,5.32000E+00,5.75185E-06
structural,V6B,Commercial,RMasonry,1.00238E+02,2.21920E+05,4.51684E-04
contents,V6B,Industrial,URMasonry,7.51591E+03,4.91638E+06,1.52875E-03
nonstructural,V6B,Industrial,URMasonry,1.95752E+04,9.84624E+06,1.98809E-03
occupants,V6B,Industrial,URMasonry,2.52318E-04,5.89200E+01,4.28239E-06
structural,V6B,Industrial,URMasonry,5.56795E+03,3.64176E+06,1.52892E-03
contents,V6B,Industrial,Wood,9.42359E+02,1.22953E+06,7.66438E-04
nonstructural,V6B,Industrial,Wood,1.62335E+03,2.46244E+06,6.59247E-04
occupants,V6B,Industrial,Wood,1.19987E-05,1.06900E+01,1.12243E-06
structural,V6B,Industrial,Wood,3.27186E+03,9.10764E+05,3.59244E-03
contents,V6B,Residential-MD,URMasonry,1.58416E+02,1.02935E+05,1.53899E-03
nonstructural,V6B,Residential-MD,URMasonry,2.32443E+03,1.17231E+06,1.98277E-03
occupants,V6B,Residential-MD,URMasonry,5.53786E-06,1.34000E+00,4.13273E-06
structural,V6B,Residential-MD,URMasonry,3.92801E+02,2.57337E+05,1.52641E-03
contents,V6B,Civic,URMasonry,7.17992E+02,5.15531E+05,1.39272E-03
nonstructural,V6B,Civic,URMasonry,3.94499E+03,2.34853E+06,1.67977E-03
occupants,V6B,Civic,URMasonry,1.17849E-04,3.62400E+01,3.25191E-06
structural,V6B,Civic,URMasonry,6.42594E+02,5.15531E+05,1.24647E-03
contents,V6Z,Residential-HD,URMasonry,9.03122E+02,5.78876E+05,1.56013E-03
nonstructural,V6Z,Residential-HD,URMasonry,1.31568E+04,6.59276E+06,1.99565E-03
occupants,V6Z,Residential-HD,URMasonry,3.49576E-05,9.52000E+00,3.67202E-06
structural,V6Z,Residential-HD,URMasonry,2.22770E+03,1.44719E+06,1.53932E-03
contents,V6Z,Commercial,URMasonry,1.35131E+04,8.95089E+06,1.50969E-03
nonstructural,V6Z,Commercial,URMasonry,3.06104E+04,1.62268E+07,1.88642E-03
occupants,V6Z,Commercial,URMasonry,1.25544E-03,3.36000E+02,3.73643E-06
structural,V6Z,Commercial,URMasonry,1.42047E+04,9.94544E+06,1.42827E-03
contents,V6Z,Commercial,Concrete,1.37422E+03,1.99629E+06,6.88387E-04
nonstructural,V6Z,Commercial,Concrete,1.84331E+03,3.61900E+06,5.09342E-04
occupants,V6Z,Commercial,Concrete,3.47558E-04,4.17700E+01,8.32076E-06
structural,V6Z,Commercial,Concrete,1.16080E+03,2.21810E+06,5.23330E-04
contents,V6Z,Commercial,Steel,6.74162E+02,4.67138E+06,1.44318E-04
nonstructural,V6Z,Commercial,Steel,1.10165E+03,8.46858E+06,1.30087E-04
occupants,V6Z,Commercial,Steel,6.30118E-05,7.27300E+01,8.66380E-07
structural,V6Z,Commercial,Steel,2.29201E+03,5.19042E+06,4.41584E-04
contents,V6Z,Commercial,Wood,1.53775E+02,1.99728E+05,7.69921E-04
nonstructural,V6Z,Commercial,Wood,2.60500E+02,3.62080E+05,7.19453E-04
