#,,,,,,"generated_by='OpenQuake engine 3.12.0-gitf8d01fc', start_date='2021-04-26T19:36:09', checksum=1546346122, investigation_time=1.0, risk_investigation_time=1.0"
loss_type,nation,SS_Region,prname,loss_value,exposed_value,loss_ratio
contents,Canada,West,British Columbia / Colombie-Britannique,2.74110E+07,2.07806E+11,1.31907E-04
nonstructural,Canada,West,British Columbia / Colombie-Britannique,1.12655E+08,8.95089E+11,1.25859E-04
occupants,Canada,West,British Columbia / Colombie-Britannique,3.64844E+00,4.57683E+06,7.97153E-07
structural,Canada,West,British Columbia / Colombie-Britannique,1.21891E+08,3.14437E+11,3.87649E-04
contents,Canada,West,Alberta,7.44095E+05,1.42212E+11,5.23228E-06
nonstructural,Canada,West,Alberta,3.03265E+06,5.93646E+11,5.10850E-06
occupants,Canada,West,Alberta,1.16817E-01,3.95820E+06,2.95127E-08
structural,Canada,West,Alberta,4.49161E+06,2.16212E+11,2.07741E-05
contents,Canada,West,Manitoba,1.17981E+05,3.80219E+10,3.10297E-06
nonstructural,Canada,West,Manitoba,4.89477E+05,1.68265E+11,2.90898E-06
occupants,Canada,West,Manitoba,1.19326E-02,1.11892E+06,1.06644E-08
structural,Canada,West,Manitoba,7.06922E+05,5.98374E+10,1.18140E-05
contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.93954E+03,2.22798E+09,2.21705E-06
nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.08063E+04,8.51074E+09,3.61969E-06
occupants,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.76508E-04,2.96028E+04,5.96257E-09
structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.22141E+04,3.11116E+09,1.35686E-05
contents,Canada,West,Saskatchewan,1.57695E+05,5.69299E+10,2.76999E-06
nonstructural,Canada,West,Saskatchewan,6.24293E+05,2.21114E+11,2.82340E-06
occupants,Canada,West,Saskatchewan,1.58305E-02,1.13027E+06,1.40060E-08
structural,Canada,West,Saskatchewan,1.12239E+06,8.42643E+10,1.33199E-05
contents,Canada,West,Yukon,1.01226E+05,1.79669E+09,5.63406E-05
nonstructural,Canada,West,Yukon,4.48031E+05,7.99670E+09,5.60270E-05
occupants,Canada,West,Yukon,1.37243E-02,3.84729E+04,3.56726E-07
structural,Canada,West,Yukon,6.30036E+05,2.75819E+09,2.28424E-04
contents,Canada,East,Manitoba,7.59342E+03,3.28233E+09,2.31342E-06
nonstructural,Canada,East,Manitoba,2.98732E+04,1.35975E+10,2.19696E-06
occupants,Canada,East,Manitoba,6.34964E-04,9.27780E+04,6.84391E-09
structural,Canada,East,Manitoba,4.51725E+04,4.89232E+09,9.23335E-06
contents,Canada,East,New Brunswick / Nouveau-Brunswick,5.58287E+05,2.20940E+10,2.52687E-05
nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,2.31783E+06,9.69713E+10,2.39022E-05
occupants,Canada,East,New Brunswick / Nouveau-Brunswick,9.95942E-02,7.53747E+05,1.32132E-07
structural,Canada,East,New Brunswick / Nouveau-Brunswick,3.43678E+06,3.41781E+10,1.00555E-04
contents,Canada,East,Nova Scotia / Nouvelle-Écosse,3.87153E+05,2.75125E+10,1.40719E-05
nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,1.66447E+06,1.20644E+11,1.37965E-05
occupants,Canada,East,Nova Scotia / Nouvelle-Écosse,7.32908E-02,9.25041E+05,7.92299E-08
structural,Canada,East,Nova Scotia / Nouvelle-Écosse,2.07603E+06,4.24680E+10,4.88845E-05
contents,Canada,East,Nunavut,5.29487E+01,3.48723E+07,1.51836E-06
nonstructural,Canada,East,Nunavut,1.97327E+02,1.36362E+08,1.44708E-06
occupants,Canada,East,Nunavut,1.29049E-05,1.21006E+03,1.06647E-08
structural,Canada,East,Nunavut,2.47549E+02,3.67238E+07,6.74084E-06
contents,Canada,East,Ontario,1.23726E+07,4.31237E+11,2.86909E-05
nonstructural,Canada,East,Ontario,5.18146E+07,1.80524E+12,2.87023E-05
occupants,Canada,East,Ontario,2.14360E+00,1.36011E+07,1.57606E-07
structural,Canada,East,Ontario,4.93930E+07,6.57250E+11,7.51510E-05
contents,Canada,East,Prince Edward Island / Île-du-Prince-Édouard,7.01707E+04,4.73046E+09,1.48338E-05
nonstructural,Canada,East,Prince Edward Island / Île-du-Prince-Édouard,2.98781E+05,2.02798E+10,1.47329E-05
occupants,Canada,East,Prince Edward Island / Île-du-Prince-Édouard,1.08603E-02,1.33517E+05,8.13398E-08
structural,Canada,East,Prince Edward Island / Île-du-Prince-Édouard,4.16986E+05,7.13117E+09,5.84737E-05
contents,Canada,East,Quebec / Québec,2.22883E+07,2.38742E+11,9.33573E-05
nonstructural,Canada,East,Quebec / Québec,1.10228E+08,1.18130E+12,9.33105E-05
occupants,Canada,East,Quebec / Québec,4.64652E+00,8.27825E+06,5.61293E-07
structural,Canada,East,Quebec / Québec,1.10401E+08,3.87637E+11,2.84804E-04
contents,Canada,East,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1.02308E+05,1.47026E+10,6.95848E-06
nonstructural,Canada,East,Newfoundland and Labrador / Terre-Neuve-et-Labrador,4.66630E+05,6.89008E+10,6.77249E-06
occupants,Canada,East,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1.64349E-02,4.69367E+05,3.50150E-08
structural,Canada,East,Newfoundland and Labrador / Terre-Neuve-et-Labrador,6.39299E+05,2.37144E+10,2.69582E-05
contents,Canada,East_Arctic,Manitoba,3.33467E+02,1.53238E+08,2.17614E-06
nonstructural,Canada,East_Arctic,Manitoba,1.34477E+03,6.97759E+08,1.92727E-06
occupants,Canada,East_Arctic,Manitoba,3.44555E-05,6.32560E+03,5.44699E-09
structural,Canada,East_Arctic,Manitoba,1.92586E+03,2.33634E+08,8.24307E-06
contents,Canada,East_Arctic,Northwest Territories / Territoires du Nord-Ouest,1.51040E+03,4.07023E+07,3.71085E-05
nonstructural,Canada,East_Arctic,Northwest Territories / Territoires du Nord-Ouest,1.24904E+04,3.47199E+08,3.59747E-05
occupants,Canada,East_Arctic,Northwest Territories / Territoires du Nord-Ouest,1.86829E-05,6.23339E+02,2.99723E-08
structural,Canada,East_Arctic,Northwest Territories / Territoires du Nord-Ouest,1.70475E+04,1.01756E+08,1.67534E-04
contents,Canada,East_Arctic,Nunavut,5.33376E+03,1.02369E+09,5.21031E-06
nonstructural,Canada,East_Arctic,Nunavut,2.13884E+04,4.42233E+09,4.83647E-06
occupants,Canada,East_Arctic,Nunavut,4.80086E-04,3.48064E+04,1.37930E-08
structural,Canada,East_Arctic,Nunavut,3.26567E+04,1.37711E+09,2.37140E-05
contents,Canada,East_Arctic,Quebec / Québec,1.53023E+02,6.25065E+07,2.44811E-06
nonstructural,Canada,East_Arctic,Quebec / Québec,1.36216E+03,6.16238E+08,2.21044E-06
occupants,Canada,East_Arctic,Quebec / Québec,5.83909E-06,2.70934E+03,2.15517E-09
structural,Canada,East_Arctic,Quebec / Québec,2.39584E+03,1.56266E+08,1.53318E-05
contents,*total*,*total*,*total*,6.43307E+07,1.19261E+12,5.39411E-05
nonstructural,*total*,*total*,*total*,2.84137E+08,5.20778E+12,5.45601E-05
occupants,*total*,*total*,*total*,1.07984E+01,3.51517E+07,3.07194E-07
structural,*total*,*total*,*total*,2.95347E+08,1.83980E+12,1.60532E-04
