#,,,,,,,"generated_by='OpenQuake engine 3.12.0-gitf8d01fc', start_date='2021-04-26T19:36:09', checksum=1546346122, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,nation,SS_Region,prname,loss_ratio,annual_frequency_of_exceedence
5,1.91952E+06,contents,Canada,West,British Columbia / Colombie-Britannique,9.23707E-06,2.00000E-01
10,1.12539E+07,contents,Canada,West,British Columbia / Colombie-Britannique,5.41557E-05,1.00000E-01
25,5.77400E+07,contents,Canada,West,British Columbia / Colombie-Britannique,2.77855E-04,4.00000E-02
50,1.76829E+08,contents,Canada,West,British Columbia / Colombie-Britannique,8.50934E-04,2.00000E-02
100,5.02792E+08,contents,Canada,West,British Columbia / Colombie-Britannique,2.41953E-03,1.00000E-02
250,1.56768E+09,contents,Canada,West,British Columbia / Colombie-Britannique,7.54395E-03,4.00000E-03
500,2.87988E+09,contents,Canada,West,British Columbia / Colombie-Britannique,1.38585E-02,2.00000E-03
1000,4.54714E+09,contents,Canada,West,British Columbia / Colombie-Britannique,2.18816E-02,1.00000E-03
2500,6.80373E+09,contents,Canada,West,British Columbia / Colombie-Britannique,3.27407E-02,4.00000E-04
5,4.98169E+06,nonstructural,Canada,West,British Columbia / Colombie-Britannique,5.56558E-06,2.00000E-01
10,3.14998E+07,nonstructural,Canada,West,British Columbia / Colombie-Britannique,3.51918E-05,1.00000E-01
25,2.08183E+08,nonstructural,Canada,West,British Columbia / Colombie-Britannique,2.32584E-04,4.00000E-02
50,7.24697E+08,nonstructural,Canada,West,British Columbia / Colombie-Britannique,8.09637E-04,2.00000E-02
100,2.15251E+09,nonstructural,Canada,West,British Columbia / Colombie-Britannique,2.40480E-03,1.00000E-02
250,6.72500E+09,nonstructural,Canada,West,British Columbia / Colombie-Britannique,7.51322E-03,4.00000E-03
500,1.22041E+10,nonstructural,Canada,West,British Columbia / Colombie-Britannique,1.36345E-02,2.00000E-03
1000,1.90081E+10,nonstructural,Canada,West,British Columbia / Colombie-Britannique,2.12360E-02,1.00000E-03
2500,2.82503E+10,nonstructural,Canada,West,British Columbia / Colombie-Britannique,3.15615E-02,4.00000E-04
5,8.84113E-03,occupants,Canada,West,British Columbia / Colombie-Britannique,1.93171E-09,2.00000E-01
10,1.86827E-01,occupants,Canada,West,British Columbia / Colombie-Britannique,4.08201E-08,1.00000E-01
25,2.75705E+00,occupants,Canada,West,British Columbia / Colombie-Britannique,6.02392E-07,4.00000E-02
50,1.34492E+01,occupants,Canada,West,British Columbia / Colombie-Britannique,2.93853E-06,2.00000E-02
100,5.44677E+01,occupants,Canada,West,British Columbia / Colombie-Britannique,1.19008E-05,1.00000E-02
250,2.22077E+02,occupants,Canada,West,British Columbia / Colombie-Britannique,4.85220E-05,4.00000E-03
500,4.50874E+02,occupants,Canada,West,British Columbia / Colombie-Britannique,9.85122E-05,2.00000E-03
1000,7.48717E+02,occupants,Canada,West,British Columbia / Colombie-Britannique,1.63589E-04,1.00000E-03
2500,1.22646E+03,occupants,Canada,West,British Columbia / Colombie-Britannique,2.67971E-04,4.00000E-04
5,2.98674E+07,structural,Canada,West,British Columbia / Colombie-Britannique,9.49869E-05,2.00000E-01
10,1.41159E+08,structural,Canada,West,British Columbia / Colombie-Britannique,4.48927E-04,1.00000E-01
25,5.14597E+08,structural,Canada,West,British Columbia / Colombie-Britannique,1.63657E-03,4.00000E-02
50,1.12065E+09,structural,Canada,West,British Columbia / Colombie-Britannique,3.56398E-03,2.00000E-02
100,2.28158E+09,structural,Canada,West,British Columbia / Colombie-Britannique,7.25607E-03,1.00000E-02
250,5.38784E+09,structural,Canada,West,British Columbia / Colombie-Britannique,1.71349E-02,4.00000E-03
500,8.93107E+09,structural,Canada,West,British Columbia / Colombie-Britannique,2.84033E-02,2.00000E-03
1000,1.31551E+10,structural,Canada,West,British Columbia / Colombie-Britannique,4.18370E-02,1.00000E-03
2500,1.93460E+10,structural,Canada,West,British Columbia / Colombie-Britannique,6.15256E-02,4.00000E-04
10,7.77656E+02,contents,Canada,West,Alberta,5.46828E-09,1.00000E-01
25,1.06075E+05,contents,Canada,West,Alberta,7.45889E-07,4.00000E-02
50,7.33892E+05,contents,Canada,West,Alberta,5.16054E-06,2.00000E-02
100,3.30296E+06,contents,Canada,West,Alberta,2.32256E-05,1.00000E-02
250,1.65243E+07,contents,Canada,West,Alberta,1.16194E-04,4.00000E-03
500,4.60687E+07,contents,Canada,West,Alberta,3.23943E-04,2.00000E-03
1000,1.11582E+08,contents,Canada,West,Alberta,7.84617E-04,1.00000E-03
2500,3.12100E+08,contents,Canada,West,Alberta,2.19461E-03,4.00000E-04
10,1.30976E+03,nonstructural,Canada,West,Alberta,2.20630E-09,1.00000E-01
25,2.60033E+05,nonstructural,Canada,West,Alberta,4.38027E-07,4.00000E-02
50,2.19650E+06,nonstructural,Canada,West,Alberta,3.70001E-06,2.00000E-02
100,1.13193E+07,nonstructural,Canada,West,Alberta,1.90674E-05,1.00000E-02
250,6.36279E+07,nonstructural,Canada,West,Alberta,1.07182E-04,4.00000E-03
500,1.85028E+08,nonstructural,Canada,West,Alberta,3.11681E-04,2.00000E-03
1000,4.57671E+08,nonstructural,Canada,West,Alberta,7.70948E-04,1.00000E-03
2500,1.31637E+09,nonstructural,Canada,West,Alberta,2.21744E-03,4.00000E-04
25,1.38688E-05,occupants,Canada,West,Alberta,3.50383E-12,4.00000E-02
50,3.34298E-03,occupants,Canada,West,Alberta,8.44571E-10,2.00000E-02
100,7.50394E-02,occupants,Canada,West,Alberta,1.89579E-08,1.00000E-02
250,1.12671E+00,occupants,Canada,West,Alberta,2.84653E-07,4.00000E-03
500,4.72998E+00,occupants,Canada,West,Alberta,1.19498E-06,2.00000E-03
1000,1.44491E+01,occupants,Canada,West,Alberta,3.65041E-06,1.00000E-03
2500,4.75285E+01,occupants,Canada,West,Alberta,1.20076E-05,4.00000E-04
10,9.62181E+04,structural,Canada,West,Alberta,4.45017E-07,1.00000E-01
25,4.63902E+06,structural,Canada,West,Alberta,2.14559E-05,4.00000E-02
50,2.23268E+07,structural,Canada,West,Alberta,1.03263E-04,2.00000E-02
100,7.31570E+07,structural,Canada,West,Alberta,3.38358E-04,1.00000E-02
250,2.23391E+08,structural,Canada,West,Alberta,1.03320E-03,4.00000E-03
500,4.12233E+08,structural,Canada,West,Alberta,1.90661E-03,2.00000E-03
1000,7.00108E+08,structural,Canada,West,Alberta,3.23806E-03,1.00000E-03
2500,1.36098E+09,structural,Canada,West,Alberta,6.29466E-03,4.00000E-04
25,1.38472E+01,contents,Canada,West,Manitoba,3.64190E-10,4.00000E-02
50,1.68272E+04,contents,Canada,West,Manitoba,4.42567E-07,2.00000E-02
100,2.77207E+05,contents,Canada,West,Manitoba,7.29071E-06,1.00000E-02
250,2.37286E+06,contents,Canada,West,Manitoba,6.24076E-05,4.00000E-03
500,6.82380E+06,contents,Canada,West,Manitoba,1.79470E-04,2.00000E-03
1000,1.64241E+07,contents,Canada,West,Manitoba,4.31964E-04,1.00000E-03
2500,4.86954E+07,contents,Canada,West,Manitoba,1.28072E-03,4.00000E-04
25,3.54275E+01,nonstructural,Canada,West,Manitoba,2.10546E-10,4.00000E-02
50,2.99017E+04,nonstructural,Canada,West,Manitoba,1.77706E-07,2.00000E-02
100,5.51915E+05,nonstructural,Canada,West,Manitoba,3.28004E-06,1.00000E-02
250,6.17463E+06,nonstructural,Canada,West,Manitoba,3.66960E-05,4.00000E-03
500,2.13410E+07,nonstructural,Canada,West,Manitoba,1.26830E-04,2.00000E-03
1000,6.09086E+07,nonstructural,Canada,West,Manitoba,3.61981E-04,1.00000E-03
2500,2.03086E+08,nonstructural,Canada,West,Manitoba,1.20694E-03,4.00000E-04
100,2.60762E-05,occupants,Canada,West,Manitoba,2.33049E-11,1.00000E-02
250,7.39110E-03,occupants,Canada,West,Manitoba,6.60557E-09,4.00000E-03
500,8.31000E-02,occupants,Canada,West,Manitoba,7.42681E-08,2.00000E-03
1000,4.44489E-01,occupants,Canada,West,Manitoba,3.97248E-07,1.00000E-03
2500,3.25876E+00,occupants,Canada,West,Manitoba,2.91242E-06,4.00000E-04
25,1.13990E+03,structural,Canada,West,Manitoba,1.90499E-08,4.00000E-02
50,4.41208E+05,structural,Canada,West,Manitoba,7.37345E-06,2.00000E-02
100,5.65294E+06,structural,Canada,West,Manitoba,9.44717E-05,1.00000E-02
250,3.53709E+07,structural,Canada,West,Manitoba,5.91116E-04,4.00000E-03
500,7.86395E+07,structural,Canada,West,Manitoba,1.31422E-03,2.00000E-03
1000,1.42056E+08,structural,Canada,West,Manitoba,2.37403E-03,1.00000E-03
2500,2.76916E+08,structural,Canada,West,Manitoba,4.62780E-03,4.00000E-04
5,8.15308E+01,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.65941E-08,2.00000E-01
10,5.19847E+02,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,2.33327E-07,1.00000E-01
25,3.03964E+03,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.36430E-06,4.00000E-02
50,1.14768E+04,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,5.15123E-06,2.00000E-02
100,4.23763E+04,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.90201E-05,1.00000E-02
250,1.77893E+05,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,7.98452E-05,4.00000E-03
500,4.11003E+05,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.84474E-04,2.00000E-03
1000,8.35303E+05,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.74916E-04,1.00000E-03
2500,1.78296E+06,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,8.00262E-04,4.00000E-04
5,3.06365E+02,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.59975E-08,2.00000E-01
10,2.44115E+03,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,2.86831E-07,1.00000E-01
25,2.28693E+04,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,2.68711E-06,4.00000E-02
50,9.46640E+04,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.11229E-05,2.00000E-02
