#,,,,,,,"generated_by='OpenQuake engine 3.12.0-gitf8d01fc', start_date='2021-04-26T19:36:09', checksum=1546346122, risk_investigation_time=1.0, kind='agg_curves-quantile-0.05'"
return_period,loss_value,loss_type,nation,SS_Region,prname,loss_ratio,annual_frequency_of_exceedence
5,1.24848E+05,contents,Canada,West,British Columbia / Colombie-Britannique,6.00790E-07,2.00000E-01
10,1.35133E+06,contents,Canada,West,British Columbia / Colombie-Britannique,6.50285E-06,1.00000E-01
25,1.19822E+07,contents,Canada,West,British Columbia / Colombie-Britannique,5.76606E-05,4.00000E-02
50,4.36064E+07,contents,Canada,West,British Columbia / Colombie-Britannique,2.09842E-04,2.00000E-02
100,1.49142E+08,contents,Canada,West,British Columbia / Colombie-Britannique,7.17699E-04,1.00000E-02
250,6.56329E+08,contents,Canada,West,British Columbia / Colombie-Britannique,3.15837E-03,4.00000E-03
500,1.55252E+09,contents,Canada,West,British Columbia / Colombie-Britannique,7.47098E-03,2.00000E-03
1000,2.97419E+09,contents,Canada,West,British Columbia / Colombie-Britannique,1.43124E-02,1.00000E-03
2500,4.13038E+09,contents,Canada,West,British Columbia / Colombie-Britannique,1.98761E-02,4.00000E-04
5,3.62536E+05,nonstructural,Canada,West,British Columbia / Colombie-Britannique,4.05028E-07,2.00000E-01
10,3.49996E+06,nonstructural,Canada,West,British Columbia / Colombie-Britannique,3.91018E-06,1.00000E-01
25,3.65744E+07,nonstructural,Canada,West,British Columbia / Colombie-Britannique,4.08612E-05,4.00000E-02
50,1.51795E+08,nonstructural,Canada,West,British Columbia / Colombie-Britannique,1.69586E-04,2.00000E-02
100,6.05487E+08,nonstructural,Canada,West,British Columbia / Colombie-Britannique,6.76454E-04,1.00000E-02
250,2.81055E+09,nonstructural,Canada,West,British Columbia / Colombie-Britannique,3.13997E-03,4.00000E-03
500,6.66537E+09,nonstructural,Canada,West,British Columbia / Colombie-Britannique,7.44660E-03,2.00000E-03
1000,1.27839E+10,nonstructural,Canada,West,British Columbia / Colombie-Britannique,1.42823E-02,1.00000E-03
2500,1.70867E+10,nonstructural,Canada,West,British Columbia / Colombie-Britannique,1.90893E-02,4.00000E-04
5,3.95692E-05,occupants,Canada,West,British Columbia / Colombie-Britannique,8.64555E-12,2.00000E-01
10,4.63811E-03,occupants,Canada,West,British Columbia / Colombie-Britannique,1.01339E-09,1.00000E-01
25,2.71326E-01,occupants,Canada,West,British Columbia / Colombie-Britannique,5.92825E-08,4.00000E-02
50,2.21943E+00,occupants,Canada,West,British Columbia / Colombie-Britannique,4.84927E-07,2.00000E-02
100,1.12376E+01,occupants,Canada,West,British Columbia / Colombie-Britannique,2.45533E-06,1.00000E-02
250,7.71286E+01,occupants,Canada,West,British Columbia / Colombie-Britannique,1.68520E-05,4.00000E-03
500,2.24430E+02,occupants,Canada,West,British Columbia / Colombie-Britannique,4.90361E-05,2.00000E-03
1000,4.80433E+02,occupants,Canada,West,British Columbia / Colombie-Britannique,1.04971E-04,1.00000E-03
2500,7.12001E+02,occupants,Canada,West,British Columbia / Colombie-Britannique,1.55566E-04,4.00000E-04
5,3.06194E+06,structural,Canada,West,British Columbia / Colombie-Britannique,9.73785E-06,2.00000E-01
10,2.16358E+07,structural,Canada,West,British Columbia / Colombie-Britannique,6.88079E-05,1.00000E-01
25,1.43444E+08,structural,Canada,West,British Columbia / Colombie-Britannique,4.56191E-04,4.00000E-02
50,4.05207E+08,structural,Canada,West,British Columbia / Colombie-Britannique,1.28867E-03,2.00000E-02
100,9.77084E+08,structural,Canada,West,British Columbia / Colombie-Britannique,3.10740E-03,1.00000E-02
250,2.64234E+09,structural,Canada,West,British Columbia / Colombie-Britannique,8.40338E-03,4.00000E-03
500,5.44424E+09,structural,Canada,West,British Columbia / Colombie-Britannique,1.73142E-02,2.00000E-03
1000,9.58412E+09,structural,Canada,West,British Columbia / Colombie-Britannique,3.04802E-02,1.00000E-03
2500,1.24758E+10,structural,Canada,West,British Columbia / Colombie-Britannique,3.96766E-02,4.00000E-04
25,5.88521E+03,contents,Canada,West,Alberta,4.13833E-08,4.00000E-02
50,1.28080E+05,contents,Canada,West,Alberta,9.00624E-07,2.00000E-02
100,8.01552E+05,contents,Canada,West,Alberta,5.63631E-06,1.00000E-02
250,4.45714E+06,contents,Canada,West,Alberta,3.13414E-05,4.00000E-03
500,1.46343E+07,contents,Canada,West,Alberta,1.02905E-04,2.00000E-03
1000,3.80137E+07,contents,Canada,West,Alberta,2.67302E-04,1.00000E-03
2500,1.17826E+08,contents,Canada,West,Alberta,8.28520E-04,4.00000E-04
25,9.84922E+03,nonstructural,Canada,West,Alberta,1.65911E-08,4.00000E-02
50,2.89845E+05,nonstructural,Canada,West,Alberta,4.88246E-07,2.00000E-02
100,2.14334E+06,nonstructural,Canada,West,Alberta,3.61046E-06,1.00000E-02
250,1.53162E+07,nonstructural,Canada,West,Alberta,2.58003E-05,4.00000E-03
500,5.37468E+07,nonstructural,Canada,West,Alberta,9.05368E-05,2.00000E-03
1000,1.54852E+08,nonstructural,Canada,West,Alberta,2.60850E-04,1.00000E-03
2500,5.02400E+08,nonstructural,Canada,West,Alberta,8.46295E-04,4.00000E-04
50,6.27409E-08,occupants,Canada,West,Alberta,1.58509E-14,2.00000E-02
100,2.21653E-03,occupants,Canada,West,Alberta,5.59985E-10,1.00000E-02
250,9.35654E-02,occupants,Canada,West,Alberta,2.36384E-08,4.00000E-03
500,9.67169E-01,occupants,Canada,West,Alberta,2.44346E-07,2.00000E-03
1000,3.67692E+00,occupants,Canada,West,Alberta,9.28938E-07,1.00000E-03
2500,1.69196E+01,occupants,Canada,West,Alberta,4.27457E-06,4.00000E-04
25,4.75110E+05,structural,Canada,West,Alberta,2.19743E-06,4.00000E-02
50,5.44271E+06,structural,Canada,West,Alberta,2.51730E-05,2.00000E-02
100,2.36270E+07,structural,Canada,West,Alberta,1.09277E-04,1.00000E-02
250,9.93848E+07,structural,Canada,West,Alberta,4.59664E-04,4.00000E-03
500,2.11599E+08,structural,Canada,West,Alberta,9.78662E-04,2.00000E-03
1000,3.68274E+08,structural,Canada,West,Alberta,1.70330E-03,1.00000E-03
2500,7.28952E+08,structural,Canada,West,Alberta,3.37147E-03,4.00000E-04
100,9.21929E+02,contents,Canada,West,Manitoba,2.42473E-08,1.00000E-02
250,1.54522E+05,contents,Canada,West,Manitoba,4.06402E-06,4.00000E-03
500,8.20722E+05,contents,Canada,West,Manitoba,2.15855E-05,2.00000E-03
1000,2.41570E+06,contents,Canada,West,Manitoba,6.35345E-05,1.00000E-03
2500,9.37352E+06,contents,Canada,West,Manitoba,2.46530E-04,4.00000E-04
100,2.01541E+03,nonstructural,Canada,West,Manitoba,1.19776E-08,1.00000E-02
250,3.02065E+05,nonstructural,Canada,West,Manitoba,1.79518E-06,4.00000E-03
500,1.73333E+06,nonstructural,Canada,West,Manitoba,1.03012E-05,2.00000E-03
1000,5.63208E+06,nonstructural,Canada,West,Manitoba,3.34716E-05,1.00000E-03
2500,2.58595E+07,nonstructural,Canada,West,Manitoba,1.53684E-04,4.00000E-04
500,1.04469E-05,occupants,Canada,West,Manitoba,9.33661E-12,2.00000E-03
1000,1.58371E-03,occupants,Canada,West,Manitoba,1.41539E-09,1.00000E-03
2500,5.59650E-02,occupants,Canada,West,Manitoba,5.00170E-08,4.00000E-04
100,6.13362E+04,structural,Canada,West,Manitoba,1.02505E-06,1.00000E-02
250,3.48785E+06,structural,Canada,West,Manitoba,5.82887E-05,4.00000E-03
500,1.77462E+07,structural,Canada,West,Manitoba,2.96574E-04,2.00000E-03
1000,4.47068E+07,structural,Canada,West,Manitoba,7.47138E-04,1.00000E-03
2500,1.18669E+08,structural,Canada,West,Manitoba,1.98319E-03,4.00000E-04
10,9.56899E+01,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.29493E-08,1.00000E-01
25,9.13179E+02,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.09869E-07,4.00000E-02
50,2.92996E+03,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.31508E-06,2.00000E-02
100,1.07361E+04,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.81877E-06,1.00000E-02
250,5.77863E+04,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,2.59367E-05,4.00000E-03
500,1.58598E+05,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,7.11846E-05,2.00000E-03
1000,3.68128E+05,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.65230E-04,1.00000E-03
2500,9.28134E+05,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.16582E-04,4.00000E-04
10,3.55472E+02,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.17674E-08,1.00000E-01
25,4.32078E+03,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,5.07685E-07,4.00000E-02
50,2.02968E+04,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,2.38484E-06,2.00000E-02
100,8.34682E+04,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,9.80740E-06,1.00000E-02
250,4.16527E+05,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.89413E-05,4.00000E-03
500,1.16963E+06,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.37429E-04,2.00000E-03
1000,2.59373E+06,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.04760E-04,1.00000E-03
2500,6.01494E+06,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,7.06747E-04,4.00000E-04
250,5.26372E-05,occupants,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.77812E-09,4.00000E-03
500,5.29649E-04,occupants,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.78919E-08,2.00000E-03
