#,,,,,,"generated_by='OpenQuake engine 3.12.0-gitf8d01fc', start_date='2021-04-26T19:36:09', checksum=1546346122, investigation_time=1.0, risk_investigation_time=1.0"
loss_type,nation,SS_Region,prname,loss_value,exposed_value,loss_ratio
contents,Canada,West,British Columbia / Colombie-Britannique,4.23552E+07,2.07806E+11,2.03821E-04
nonstructural,Canada,West,British Columbia / Colombie-Britannique,1.74402E+08,8.95089E+11,1.94843E-04
occupants,Canada,West,British Columbia / Colombie-Britannique,5.87895E+00,4.57683E+06,1.28450E-06
structural,Canada,West,British Columbia / Colombie-Britannique,1.85895E+08,3.14437E+11,5.91200E-04
contents,Canada,West,Alberta,1.57364E+06,1.42212E+11,1.10655E-05
nonstructural,Canada,West,Alberta,6.48590E+06,5.93646E+11,1.09255E-05
occupants,Canada,West,Alberta,2.80499E-01,3.95820E+06,7.08653E-08
structural,Canada,West,Alberta,8.14160E+06,2.16212E+11,3.76556E-05
contents,Canada,West,Manitoba,3.40736E+05,3.80219E+10,8.96156E-06
nonstructural,Canada,West,Manitoba,1.45805E+06,1.68265E+11,8.66521E-06
occupants,Canada,West,Manitoba,4.52383E-02,1.11892E+06,4.04303E-08
structural,Canada,West,Manitoba,1.87688E+06,5.98374E+10,3.13663E-05
contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,9.63535E+03,2.22798E+09,4.32471E-06
nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,5.15435E+04,8.51074E+09,6.05629E-06
occupants,Canada,West,Northwest Territories / Territoires du Nord-Ouest,5.48823E-04,2.96028E+04,1.85396E-08
structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,6.62935E+04,3.11116E+09,2.13083E-05
contents,Canada,West,Saskatchewan,3.93121E+05,5.69299E+10,6.90536E-06
nonstructural,Canada,West,Saskatchewan,1.58333E+06,2.21114E+11,7.16070E-06
occupants,Canada,West,Saskatchewan,4.12275E-02,1.13027E+06,3.64759E-08
structural,Canada,West,Saskatchewan,2.73674E+06,8.42643E+10,3.24781E-05
contents,Canada,West,Yukon,1.61202E+05,1.79669E+09,8.97216E-05
nonstructural,Canada,West,Yukon,7.32873E+05,7.99670E+09,9.16469E-05
occupants,Canada,West,Yukon,2.05112E-02,3.84729E+04,5.33134E-07
structural,Canada,West,Yukon,8.82204E+05,2.75819E+09,3.19849E-04
contents,Canada,East,Manitoba,2.40200E+04,3.28233E+09,7.31797E-06
nonstructural,Canada,East,Manitoba,9.49789E+04,1.35975E+10,6.98503E-06
occupants,Canada,East,Manitoba,2.71695E-03,9.27780E+04,2.92845E-08
